  **  PHYSICAL PARAMETERS  **


   RADIUS      n(Htot)     TEMP        A_UV EFF    RAD. EFF    C K(PH)     C K(IP)     C K(AP)     CO K(PH)    CO K(IP)    CO K(AP)    DELTA_AUV   
   1.000E+014  4.508E+006  6.111E+002  1.121E+000  1.632E-001  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.682E+000
   1.072E+014  3.927E+006  5.762E+002  1.046E+000  1.812E-001  5.351E-011  0.000E+000  0.000E+000  1.148E-013  0.000E+000  0.000E+000  1.756E+000
   1.148E+014  3.420E+006  5.434E+002  9.764E-001  1.999E-001  5.973E-011  0.000E+000  0.000E+000  1.359E-013  0.000E+000  0.000E+000  1.826E+000
   1.230E+014  2.979E+006  5.124E+002  9.112E-001  2.192E-001  6.636E-011  0.000E+000  0.000E+000  1.603E-013  0.000E+000  0.000E+000  1.891E+000
   1.318E+014  2.594E+006  4.832E+002  8.504E-001  2.393E-001  7.361E-011  0.000E+000  0.000E+000  1.895E-013  0.000E+000  0.000E+000  1.952E+000
   1.413E+014  2.259E+006  4.556E+002  7.936E-001  2.598E-001  8.011E-011  0.000E+000  0.000E+000  2.180E-013  0.000E+000  0.000E+000  2.009E+000
   1.514E+014  1.968E+006  4.296E+002  7.407E-001  2.808E-001  8.722E-011  0.000E+000  0.000E+000  2.519E-013  0.000E+000  0.000E+000  2.062E+000
   1.622E+014  1.714E+006  4.051E+002  6.912E-001  3.021E-001  9.547E-011  0.000E+000  0.000E+000  2.952E-013  0.000E+000  0.000E+000  2.111E+000
   1.738E+014  1.493E+006  3.820E+002  6.451E-001  3.238E-001  1.030E-010  0.000E+000  0.000E+000  3.386E-013  0.000E+000  0.000E+000  2.157E+000
   1.862E+014  1.300E+006  3.602E+002  6.020E-001  3.456E-001  1.098E-010  0.000E+000  0.000E+000  3.813E-013  0.000E+000  0.000E+000  2.201E+000
   1.995E+014  1.132E+006  3.397E+002  5.618E-001  3.676E-001  1.176E-010  0.000E+000  0.000E+000  4.349E-013  0.000E+000  0.000E+000  2.241E+000
   2.138E+014  9.863E+005  3.203E+002  5.243E-001  3.896E-001  1.260E-010  0.000E+000  0.000E+000  4.978E-013  0.000E+000  0.000E+000  2.278E+000
   2.291E+014  8.590E+005  3.021E+002  4.893E-001  4.117E-001  1.332E-010  0.000E+000  0.000E+000  5.577E-013  0.000E+000  0.000E+000  2.313E+000
   2.455E+014  7.482E+005  2.848E+002  4.567E-001  4.336E-001  1.418E-010  0.000E+000  0.000E+000  6.365E-013  0.000E+000  0.000E+000  2.346E+000
   2.630E+014  6.516E+005  2.686E+002  4.262E-001  4.553E-001  1.496E-010  0.000E+000  0.000E+000  7.154E-013  0.000E+000  0.000E+000  2.376E+000
   2.818E+014  5.676E+005  2.533E+002  3.978E-001  4.769E-001  1.568E-010  0.000E+000  0.000E+000  7.960E-013  0.000E+000  0.000E+000  2.405E+000
   3.020E+014  4.943E+005  2.388E+002  3.712E-001  4.981E-001  1.644E-010  0.000E+000  0.000E+000  8.894E-013  0.000E+000  0.000E+000  2.431E+000
   3.236E+014  4.305E+005  2.252E+002  3.464E-001  5.191E-001  1.719E-010  0.000E+000  0.000E+000  9.907E-013  0.000E+000  0.000E+000  2.456E+000
   3.467E+014  3.750E+005  2.124E+002  3.233E-001  5.397E-001  1.793E-010  0.000E+000  0.000E+000  1.102E-012  0.000E+000  0.000E+000  2.479E+000
   3.715E+014  3.266E+005  2.003E+002  3.017E-001  5.598E-001  1.866E-010  0.000E+000  0.000E+000  1.223E-012  0.000E+000  0.000E+000  2.501E+000
   3.981E+014  2.845E+005  1.888E+002  2.816E-001  5.795E-001  1.943E-010  0.000E+000  0.000E+000  1.366E-012  0.000E+000  0.000E+000  2.521E+000
   4.266E+014  2.477E+005  1.781E+002  2.628E-001  5.987E-001  2.012E-010  0.000E+000  0.000E+000  1.507E-012  0.000E+000  0.000E+000  2.540E+000
   4.571E+014  2.158E+005  1.679E+002  2.453E-001  6.174E-001  2.087E-010  0.000E+000  0.000E+000  1.680E-012  0.000E+000  0.000E+000  2.557E+000
   4.898E+014  1.879E+005  1.583E+002  2.289E-001  6.355E-001  2.155E-010  0.000E+000  0.000E+000  1.855E-012  0.000E+000  0.000E+000  2.574E+000
   5.248E+014  1.637E+005  1.493E+002  2.136E-001  6.531E-001  2.210E-010  0.000E+000  0.000E+000  2.013E-012  0.000E+000  0.000E+000  2.589E+000
   5.623E+014  1.426E+005  1.408E+002  1.994E-001  6.700E-001  2.274E-010  0.000E+000  0.000E+000  2.218E-012  0.000E+000  0.000E+000  2.603E+000
   6.026E+014  1.242E+005  1.328E+002  1.860E-001  6.864E-001  2.332E-010  0.000E+000  0.000E+000  2.426E-012  0.000E+000  0.000E+000  2.617E+000
   6.457E+014  1.081E+005  1.252E+002  1.736E-001  7.022E-001  2.391E-010  0.000E+000  0.000E+000  2.657E-012  0.000E+000  0.000E+000  2.629E+000
   6.918E+014  9.419E+004  1.181E+002  1.620E-001  7.174E-001  2.455E-010  0.000E+000  0.000E+000  2.947E-012  0.000E+000  0.000E+000  2.641E+000
   7.413E+014  8.204E+004  1.113E+002  1.512E-001  7.320E-001  2.503E-010  0.000E+000  0.000E+000  3.191E-012  0.000E+000  0.000E+000  2.651E+000
   7.943E+014  7.145E+004  1.050E+002  1.411E-001  7.460E-001  2.555E-010  0.000E+000  0.000E+000  3.483E-012  0.000E+000  0.000E+000  2.661E+000
   8.511E+014  6.223E+004  9.899E+001  1.317E-001  7.595E-001  2.607E-010  0.000E+000  0.000E+000  3.813E-012  0.000E+000  0.000E+000  2.671E+000
   9.120E+014  5.420E+004  9.334E+001  1.229E-001  7.723E-001  2.656E-010  0.000E+000  0.000E+000  4.163E-012  0.000E+000  0.000E+000  2.680E+000
   9.772E+014  4.721E+004  8.802E+001  1.147E-001  7.846E-001  2.696E-010  0.000E+000  0.000E+000  4.487E-012  0.000E+000  0.000E+000  2.688E+000
   1.047E+015  4.112E+004  8.300E+001  1.071E-001  7.963E-001  2.741E-010  0.000E+000  0.000E+000  4.894E-012  0.000E+000  0.000E+000  2.696E+000
   1.122E+015  3.581E+004  7.827E+001  9.991E-002  8.075E-001  2.781E-010  0.000E+000  0.000E+000  5.298E-012  0.000E+000  0.000E+000  2.703E+000
   1.202E+015  3.119E+004  7.381E+001  9.324E-002  8.181E-001  2.827E-010  0.000E+000  0.000E+000  5.831E-012  0.000E+000  0.000E+000  2.709E+000
   1.288E+015  2.716E+004  6.960E+001  8.702E-002  8.283E-001  2.859E-010  0.000E+000  0.000E+000  6.256E-012  0.000E+000  0.000E+000  2.716E+000
   1.380E+015  2.366E+004  6.563E+001  8.121E-002  8.379E-001  2.895E-010  0.000E+000  0.000E+000  6.789E-012  0.000E+000  0.000E+000  2.721E+000
   1.479E+015  2.061E+004  6.189E+001  7.579E-002  8.471E-001  2.931E-010  0.000E+000  0.000E+000  7.392E-012  0.000E+000  0.000E+000  2.727E+000
   1.585E+015  1.795E+004  5.836E+001  7.073E-002  8.558E-001  2.963E-010  0.000E+000  0.000E+000  7.988E-012  0.000E+000  0.000E+000  2.732E+000
   1.698E+015  1.563E+004  5.503E+001  6.601E-002  8.641E-001  2.993E-010  0.000E+000  0.000E+000  8.631E-012  0.000E+000  0.000E+000  2.737E+000
   1.820E+015  1.361E+004  5.189E+001  6.161E-002  8.719E-001  3.025E-010  0.000E+000  0.000E+000  9.409E-012  0.000E+000  0.000E+000  2.741E+000
   1.950E+015  1.186E+004  4.893E+001  5.749E-002  8.794E-001  3.049E-010  0.000E+000  0.000E+000  1.009E-011  0.000E+000  0.000E+000  2.745E+000
   2.089E+015  1.033E+004  4.614E+001  5.366E-002  8.865E-001  3.078E-010  0.000E+000  0.000E+000  1.098E-011  0.000E+000  0.000E+000  2.749E+000
   2.239E+015  8.995E+003  4.351E+001  5.007E-002  8.931E-001  3.104E-010  0.000E+000  0.000E+000  1.191E-011  0.000E+000  0.000E+000  2.753E+000
   2.399E+015  7.834E+003  4.103E+001  4.673E-002  8.995E-001  3.125E-010  0.000E+000  0.000E+000  1.277E-011  0.000E+000  0.000E+000  2.756E+000
   2.570E+015  6.824E+003  3.869E+001  4.361E-002  9.055E-001  3.149E-010  0.000E+000  0.000E+000  1.392E-011  0.000E+000  0.000E+000  2.759E+000
   2.754E+015  5.943E+003  3.648E+001  4.070E-002  9.111E-001  3.168E-010  0.000E+000  0.000E+000  1.491E-011  0.000E+000  0.000E+000  2.762E+000
   2.951E+015  5.176E+003  3.440E+001  3.799E-002  9.165E-001  3.188E-010  0.000E+000  0.000E+000  1.615E-011  0.000E+000  0.000E+000  2.765E+000
   3.162E+015  4.508E+003  3.244E+001  3.545E-002  9.215E-001  3.207E-010  0.000E+000  0.000E+000  1.743E-011  0.000E+000  0.000E+000  2.767E+000
   3.388E+015  3.927E+003  3.059E+001  3.308E-002  9.263E-001  3.225E-010  0.000E+000  0.000E+000  1.888E-011  0.000E+000  0.000E+000  2.769E+000
   3.631E+015  3.420E+003  2.885E+001  3.088E-002  9.308E-001  3.242E-010  0.000E+000  0.000E+000  2.039E-011  0.000E+000  0.000E+000  2.772E+000
   3.890E+015  2.979E+003  2.720E+001  2.881E-002  9.351E-001  3.260E-010  0.000E+000  0.000E+000  2.236E-011  0.000E+000  0.000E+000  2.774E+000
   4.169E+015  2.594E+003  2.565E+001  2.689E-002  9.391E-001  3.272E-010  0.000E+000  0.000E+000  2.390E-011  0.000E+000  0.000E+000  2.776E+000
   4.467E+015  2.259E+003  2.419E+001  2.510E-002  9.429E-001  3.287E-010  0.000E+000  0.000E+000  2.594E-011  0.000E+000  0.000E+000  2.777E+000
   4.786E+015  1.968E+003  2.281E+001  2.342E-002  9.464E-001  3.301E-010  0.000E+000  0.000E+000  2.832E-011  0.000E+000  0.000E+000  2.779E+000
   5.129E+015  1.714E+003  2.151E+001  2.186E-002  9.498E-001  3.313E-010  0.000E+000  0.000E+000  3.074E-011  0.000E+000  0.000E+000  2.781E+000
   5.495E+015  1.493E+003  2.028E+001  2.040E-002  9.529E-001  3.324E-010  0.000E+000  0.000E+000  3.321E-011  0.000E+000  0.000E+000  2.782E+000
   5.888E+015  1.300E+003  1.912E+001  1.904E-002  9.559E-001  3.336E-010  0.000E+000  0.000E+000  3.623E-011  0.000E+000  0.000E+000  2.784E+000
   6.310E+015  1.132E+003  1.803E+001  1.777E-002  9.587E-001  3.346E-010  0.000E+000  0.000E+000  3.940E-011  0.000E+000  0.000E+000  2.785E+000
   6.761E+015  9.863E+002  1.701E+001  1.658E-002  9.613E-001  3.356E-010  0.000E+000  0.000E+000  4.330E-011  0.000E+000  0.000E+000  2.786E+000
   7.244E+015  8.590E+002  1.604E+001  1.547E-002  9.637E-001  3.365E-010  0.000E+000  0.000E+000  4.721E-011  0.000E+000  0.000E+000  2.787E+000
   7.762E+015  7.482E+002  1.512E+001  1.444E-002  9.661E-001  3.374E-010  0.000E+000  0.000E+000  5.202E-011  0.000E+000  0.000E+000  2.788E+000
   8.318E+015  6.516E+002  1.426E+001  1.348E-002  9.682E-001  3.381E-010  0.000E+000  0.000E+000  5.692E-011  0.000E+000  0.000E+000  2.789E+000
   8.913E+015  5.676E+002  1.345E+001  1.258E-002  9.703E-001  3.389E-010  0.000E+000  0.000E+000  6.265E-011  0.000E+000  0.000E+000  2.790E+000
   9.550E+015  4.943E+002  1.268E+001  1.174E-002  9.722E-001  3.396E-010  0.000E+000  0.000E+000  6.947E-011  0.000E+000  0.000E+000  2.791E+000
   1.023E+016  4.305E+002  1.196E+001  1.096E-002  9.740E-001  3.403E-010  0.000E+000  0.000E+000  7.742E-011  0.000E+000  0.000E+000  2.792E+000
   1.096E+016  3.750E+002  1.127E+001  1.022E-002  9.756E-001  3.409E-010  0.000E+000  0.000E+000  8.557E-011  0.000E+000  0.000E+000  2.792E+000
   1.175E+016  3.266E+002  1.063E+001  9.542E-003  9.772E-001  3.415E-010  0.000E+000  0.000E+000  9.502E-011  0.000E+000  0.000E+000  2.793E+000
   1.259E+016  2.845E+002  1.003E+001  8.905E-003  9.787E-001  3.420E-010  0.000E+000  0.000E+000  1.056E-010  0.000E+000  0.000E+000  2.794E+000
   1.349E+016  2.477E+002  1.000E+001  8.310E-003  9.801E-001  3.426E-010  0.000E+000  0.000E+000  1.181E-010  0.000E+000  0.000E+000  2.794E+000
   1.445E+016  2.158E+002  1.000E+001  7.756E-003  9.814E-001  3.431E-010  0.000E+000  0.000E+000  1.315E-010  0.000E+000  0.000E+000  2.795E+000
   1.549E+016  1.879E+002  1.000E+001  7.238E-003  9.826E-001  3.435E-010  0.000E+000  0.000E+000  1.449E-010  0.000E+000  0.000E+000  2.795E+000
   1.660E+016  1.637E+002  1.000E+001  6.755E-003  9.837E-001  3.439E-010  0.000E+000  0.000E+000  1.599E-010  0.000E+000  0.000E+000  2.796E+000
   1.778E+016  1.426E+002  1.000E+001  6.304E-003  9.848E-001  3.443E-010  0.000E+000  0.000E+000  1.739E-010  0.000E+000  0.000E+000  2.796E+000
   1.905E+016  1.242E+002  1.000E+001  5.883E-003  9.858E-001  3.447E-010  0.000E+000  0.000E+000  1.875E-010  0.000E+000  0.000E+000  2.797E+000
   2.042E+016  1.081E+002  1.000E+001  5.491E-003  9.867E-001  3.451E-010  0.000E+000  0.000E+000  2.003E-010  0.000E+000  0.000E+000  2.797E+000
