  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.500E-002  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.072E+014  8.420E-011  1.671E-016  3.524E-018  1.453E-018  1.437E-015  8.500E-002  1.680E-016  2.140E-020  7.019E-026  1.138E-016
   1.148E+014  1.288E-010  1.907E-016  4.076E-018  1.668E-018  1.644E-015  8.500E-002  1.927E-016  2.457E-020  1.917E-025  1.482E-016
   1.230E+014  1.599E-010  2.176E-016  4.715E-018  1.915E-018  1.882E-015  8.500E-002  2.209E-016  2.822E-020  3.721E-025  1.933E-016
   1.318E+014  1.867E-010  2.484E-016  5.454E-018  2.199E-018  2.153E-015  8.500E-002  2.533E-016  3.240E-020  6.135E-025  2.526E-016
   1.413E+014  2.125E-010  2.834E-016  6.311E-018  2.524E-018  2.464E-015  8.500E-002  2.904E-016  3.719E-020  9.142E-025  3.304E-016
   1.514E+014  2.389E-010  3.234E-016  7.302E-018  2.898E-018  2.820E-015  8.500E-002  3.330E-016  4.271E-020  1.271E-024  4.324E-016
   1.622E+014  2.669E-010  3.689E-016  8.450E-018  3.328E-018  3.227E-015  8.500E-002  3.818E-016  4.903E-020  1.680E-024  5.657E-016
   1.738E+014  2.976E-010  4.209E-016  9.779E-018  3.821E-018  3.692E-015  8.500E-002  4.378E-016  5.630E-020  2.143E-024  7.392E-016
   1.862E+014  3.319E-010  4.802E-016  1.132E-017  4.387E-018  4.224E-015  8.500E-002  5.019E-016  6.464E-020  2.664E-024  9.638E-016
   1.995E+014  3.707E-010  5.478E-016  1.310E-017  5.037E-018  4.833E-015  8.500E-002  5.754E-016  7.421E-020  3.252E-024  1.252E-015
   2.138E+014  4.147E-010  6.250E-016  1.517E-017  5.783E-018  5.530E-015  8.500E-002  6.596E-016  8.521E-020  3.922E-024  1.619E-015
   2.291E+014  4.645E-010  7.129E-016  1.756E-017  6.640E-018  6.326E-015  8.500E-002  7.562E-016  9.783E-020  4.692E-024  2.081E-015
   2.455E+014  5.208E-010  8.132E-016  2.033E-017  7.623E-018  7.237E-015  8.500E-002  8.669E-016  1.123E-019  5.585E-024  2.654E-015
   2.630E+014  5.840E-010  9.276E-016  2.354E-017  8.753E-018  8.279E-015  8.500E-002  9.938E-016  1.290E-019  6.627E-024  3.356E-015
   2.818E+014  6.548E-010  1.058E-015  2.726E-017  1.005E-017  9.470E-015  8.500E-002  1.139E-015  1.481E-019  7.849E-024  4.203E-015
   3.020E+014  7.337E-010  1.207E-015  3.157E-017  1.154E-017  1.083E-014  8.500E-002  1.306E-015  1.700E-019  9.285E-024  5.209E-015
   3.236E+014  8.215E-010  1.376E-015  3.657E-017  1.325E-017  1.239E-014  8.500E-002  1.497E-015  1.952E-019  1.098E-023  6.386E-015
   3.467E+014  9.190E-010  1.569E-015  4.236E-017  1.521E-017  1.417E-014  8.500E-002  1.716E-015  2.241E-019  1.297E-023  7.745E-015
   3.715E+014  1.027E-009  1.790E-015  4.907E-017  1.746E-017  1.621E-014  8.500E-002  1.967E-015  2.573E-019  1.532E-023  9.297E-015
   3.981E+014  1.146E-009  2.041E-015  5.684E-017  2.005E-017  1.854E-014  8.500E-002  2.254E-015  2.954E-019  1.810E-023  1.105E-014
   4.266E+014  1.278E-009  2.327E-015  6.585E-017  2.302E-017  2.120E-014  8.500E-002  2.584E-015  3.392E-019  2.138E-023  1.302E-014
   4.571E+014  1.423E-009  2.654E-015  7.630E-017  2.643E-017  2.424E-014  8.500E-002  2.961E-015  3.895E-019  2.525E-023  1.523E-014
   4.898E+014  1.582E-009  3.026E-015  8.840E-017  3.035E-017  2.772E-014  8.500E-002  3.394E-015  4.472E-019  2.981E-023  1.769E-014
   5.248E+014  1.756E-009  3.450E-015  1.024E-016  3.484E-017  3.170E-014  8.500E-002  3.889E-015  5.134E-019  3.520E-023  2.043E-014
   5.623E+014  1.946E-009  3.933E-015  1.187E-016  4.001E-017  3.624E-014  8.500E-002  4.457E-015  5.895E-019  4.156E-023  2.350E-014
   6.026E+014  2.153E-009  4.484E-015  1.376E-016  4.593E-017  4.144E-014  8.500E-002  5.108E-015  6.768E-019  4.905E-023  2.692E-014
   6.457E+014  2.379E-009  5.112E-015  1.594E-016  5.274E-017  4.738E-014  8.500E-002  5.853E-015  7.771E-019  5.790E-023  3.076E-014
   6.918E+014  2.625E-009  5.827E-015  1.847E-016  6.055E-017  5.416E-014  8.500E-002  6.708E-015  8.922E-019  6.833E-023  3.506E-014
   7.413E+014  2.894E-009  6.643E-015  2.141E-016  6.952E-017  6.192E-014  8.500E-002  7.686E-015  1.024E-018  8.064E-023  3.990E-014
   7.943E+014  3.187E-009  7.572E-015  2.481E-016  7.982E-017  7.079E-014  8.500E-002  8.807E-015  1.176E-018  9.516E-023  4.535E-014
   8.511E+014  3.508E-009  8.630E-015  2.876E-016  9.165E-017  8.092E-014  8.500E-002  1.009E-014  1.350E-018  1.123E-022  5.149E-014
   9.120E+014  3.859E-009  9.836E-015  3.333E-016  1.052E-016  9.249E-014  8.500E-002  1.156E-014  1.550E-018  1.325E-022  5.842E-014
   9.772E+014  4.245E-009  1.121E-014  3.863E-016  1.208E-016  1.057E-013  8.500E-002  1.325E-014  1.780E-018  1.563E-022  6.625E-014
   1.047E+015  4.668E-009  1.278E-014  4.476E-016  1.387E-016  1.208E-013  8.500E-002  1.518E-014  2.044E-018  1.845E-022  7.509E-014
   1.122E+015  5.133E-009  1.456E-014  5.187E-016  1.593E-016  1.381E-013  8.500E-002  1.739E-014  2.347E-018  2.177E-022  8.509E-014
   1.202E+015  5.643E-009  1.659E-014  6.011E-016  1.829E-016  1.578E-013  8.500E-002  1.992E-014  2.694E-018  2.569E-022  9.639E-014
   1.288E+015  6.202E-009  1.891E-014  6.965E-016  2.100E-016  1.804E-013  8.500E-002  2.282E-014  3.094E-018  3.032E-022  1.092E-013
   1.380E+015  6.815E-009  2.154E-014  8.069E-016  2.411E-016  2.061E-013  8.500E-002  2.614E-014  3.552E-018  3.578E-022  1.236E-013
   1.479E+015  7.485E-009  2.455E-014  9.348E-016  2.768E-016  2.355E-013  8.500E-002  2.995E-014  4.078E-018  4.223E-022  1.400E-013
   1.585E+015  8.218E-009  2.797E-014  1.083E-015  3.178E-016  2.691E-013  8.500E-002  3.431E-014  4.682E-018  4.984E-022  1.585E-013
   1.698E+015  9.018E-009  3.186E-014  1.254E-015  3.649E-016  3.074E-013  8.500E-002  3.930E-014  5.376E-018  5.883E-022  1.794E-013
   1.820E+015  9.891E-009  3.630E-014  1.453E-015  4.189E-016  3.513E-013  8.500E-002  4.501E-014  6.172E-018  6.946E-022  2.031E-013
   1.950E+015  1.084E-008  4.135E-014  1.682E-015  4.810E-016  4.013E-013  8.500E-002  5.155E-014  7.087E-018  8.200E-022  2.299E-013
   2.089E+015  1.187E-008  4.710E-014  1.947E-015  5.522E-016  4.584E-013  8.500E-002  5.905E-014  8.137E-018  9.683E-022  2.602E-013
   2.239E+015  1.300E-008  5.365E-014  2.254E-015  6.340E-016  5.237E-013  8.500E-002  6.762E-014  9.342E-018  1.144E-021  2.944E-013
   2.399E+015  1.422E-008  6.111E-014  2.609E-015  7.280E-016  5.982E-013  8.500E-002  7.745E-014  1.073E-017  1.351E-021  3.331E-013
   2.570E+015  1.554E-008  6.961E-014  3.019E-015  8.358E-016  6.832E-013  8.500E-002  8.869E-014  1.232E-017  1.595E-021  3.769E-013
   2.754E+015  1.698E-008  7.928E-014  3.492E-015  9.597E-016  7.803E-013  8.500E-002  1.016E-013  1.414E-017  1.885E-021  4.264E-013
   2.951E+015  1.853E-008  9.028E-014  4.039E-015  1.102E-015  8.912E-013  8.500E-002  1.163E-013  1.623E-017  2.227E-021  4.824E-013
   3.162E+015  2.021E-008  1.028E-013  4.670E-015  1.265E-015  1.018E-012  8.500E-002  1.332E-013  1.864E-017  2.632E-021  5.456E-013
   3.388E+015  2.202E-008  1.171E-013  5.399E-015  1.453E-015  1.162E-012  8.500E-002  1.525E-013  2.140E-017  3.111E-021  6.171E-013
