  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.500E-002  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.122E+014  1.612E-010  3.148E-016  6.917E-018  2.787E-018  2.730E-015  8.500E-002  3.211E-016  4.107E-020  5.224E-025  3.223E-016
   1.259E+014  2.459E-010  3.914E-016  8.844E-018  3.509E-018  3.413E-015  8.500E-002  4.032E-016  5.170E-020  1.427E-024  5.269E-016
   1.413E+014  3.187E-010  4.865E-016  1.131E-017  4.418E-018  4.268E-015  8.500E-002  5.061E-016  6.509E-020  2.526E-024  8.602E-016
   1.585E+014  3.970E-010  6.047E-016  1.447E-017  5.561E-018  5.336E-015  8.500E-002  6.353E-016  8.194E-020  3.730E-024  1.391E-015
   1.778E+014  4.880E-010  7.515E-016  1.852E-017  7.001E-018  6.669E-015  8.500E-002  7.974E-016  1.032E-019  5.094E-024  2.206E-015
   1.995E+014  5.964E-010  9.338E-016  2.372E-017  8.814E-018  8.335E-015  8.500E-002  1.001E-015  1.299E-019  6.742E-024  3.395E-015
   2.239E+014  7.256E-010  1.160E-015  3.038E-017  1.110E-017  1.042E-014  8.500E-002  1.256E-015  1.635E-019  8.818E-024  5.027E-015
   2.512E+014  8.791E-010  1.441E-015  3.892E-017  1.397E-017  1.301E-014  8.500E-002  1.576E-015  2.058E-019  1.149E-023  7.131E-015
   2.818E+014  1.061E-009  1.790E-015  4.988E-017  1.759E-017  1.625E-014  8.500E-002  1.977E-015  2.591E-019  1.494E-023  9.708E-015
   3.162E+014  1.275E-009  2.222E-015  6.394E-017  2.214E-017  2.030E-014  8.500E-002  2.480E-015  3.262E-019  1.941E-023  1.276E-014
   3.548E+014  1.525E-009  2.759E-015  8.199E-017  2.787E-017  2.535E-014  8.500E-002  3.111E-015  4.107E-019  2.522E-023  1.635E-014
   3.981E+014  1.814E-009  3.424E-015  1.051E-016  3.509E-017  3.165E-014  8.500E-002  3.902E-015  5.170E-019  3.276E-023  2.057E-014
   4.467E+014  2.149E-009  4.250E-015  1.349E-016  4.417E-017  3.951E-014  8.500E-002  4.893E-015  6.509E-019  4.254E-023  2.557E-014
   5.012E+014  2.538E-009  5.273E-015  1.730E-016  5.561E-017  4.931E-014  8.500E-002  6.135E-015  8.194E-019  5.524E-023  3.158E-014
   5.623E+014  2.992E-009  6.543E-015  2.219E-016  7.001E-017  6.153E-014  8.500E-002  7.692E-015  1.032E-018  7.173E-023  3.885E-014
   6.310E+014  3.527E-009  8.116E-015  2.847E-016  8.814E-017  7.676E-014  8.500E-002  9.643E-015  1.299E-018  9.317E-023  4.769E-014
   7.079E+014  4.159E-009  1.007E-014  3.651E-016  1.110E-016  9.575E-014  8.500E-002  1.209E-014  1.635E-018  1.211E-022  5.847E-014
   7.943E+014  4.903E-009  1.248E-014  4.681E-016  1.397E-016  1.194E-013  8.500E-002  1.515E-014  2.058E-018  1.574E-022  7.162E-014
   8.913E+014  5.778E-009  1.547E-014  6.000E-016  1.759E-016  1.489E-013  8.500E-002  1.898E-014  2.591E-018  2.047E-022  8.769E-014
   1.000E+015  6.802E-009  1.918E-014  7.687E-016  2.214E-016  1.856E-013  8.500E-002  2.379E-014  3.262E-018  2.664E-022  1.073E-013
   1.122E+015  7.994E-009  2.377E-014  9.844E-016  2.787E-016  2.313E-013  8.500E-002  2.980E-014  4.107E-018  3.469E-022  1.313E-013
   1.259E+015  9.376E-009  2.945E-014  1.260E-015  3.509E-016  2.883E-013  8.500E-002  3.733E-014  5.170E-018  4.522E-022  1.606E-013
   1.413E+015  1.097E-008  3.649E-014  1.611E-015  4.417E-016  3.591E-013  8.500E-002  4.675E-014  6.509E-018  5.898E-022  1.963E-013
   1.585E+015  1.281E-008  4.519E-014  2.058E-015  5.561E-016  4.473E-013  8.500E-002  5.854E-014  8.194E-018  7.701E-022  2.399E-013
   1.778E+015  1.492E-008  5.597E-014  2.627E-015  7.001E-016  5.571E-013  8.500E-002  7.330E-014  1.032E-017  1.006E-021  2.931E-013
   1.995E+015  1.732E-008  6.929E-014  3.350E-015  8.814E-016  6.936E-013  8.500E-002  9.175E-014  1.299E-017  1.317E-021  3.579E-013
   2.239E+015  2.007E-008  8.578E-014  4.267E-015  1.110E-015  8.634E-013  8.500E-002  1.148E-013  1.635E-017  1.724E-021  4.369E-013
   2.512E+015  2.320E-008  1.062E-013  5.429E-015  1.397E-015  1.074E-012  8.500E-002  1.437E-013  2.058E-017  2.261E-021  5.332E-013
   2.818E+015  2.677E-008  1.314E-013  6.899E-015  1.759E-015  1.337E-012  8.500E-002  1.798E-013  2.591E-017  2.968E-021  6.505E-013
   3.162E+015  3.083E-008  1.625E-013  8.756E-015  2.214E-015  1.663E-012  8.500E-002  2.250E-013  3.262E-017  3.900E-021  7.933E-013
   3.548E+015  3.544E-008  2.010E-013  1.110E-014  2.787E-015  2.068E-012  8.500E-002  2.814E-013  4.107E-017  5.131E-021  9.672E-013
   3.981E+015  4.066E-008  2.486E-013  1.405E-014  3.509E-015  2.571E-012  8.500E-002  3.519E-013  5.170E-017  6.758E-021  1.179E-012
   4.467E+015  4.658E-008  3.073E-013  1.777E-014  4.417E-015  3.196E-012  8.500E-002  4.399E-013  6.508E-017  8.911E-021  1.436E-012
   5.012E+015  5.327E-008  3.799E-013  2.245E-014  5.561E-015  3.972E-012  8.500E-002  5.499E-013  8.193E-017  1.177E-020  1.749E-012
   5.623E+015  6.089E-008  4.695E-013  2.832E-014  7.001E-015  4.934E-012  8.500E-002  6.873E-013  1.031E-016  1.559E-020  2.129E-012
   6.310E+015  6.968E-008  5.801E-013  3.568E-014  8.813E-015  6.128E-012  8.500E-002  8.588E-013  1.299E-016  2.083E-020  2.591E-012
   7.079E+015  8.027E-008  7.166E-013  4.488E-014  1.109E-014  7.609E-012  8.500E-002  1.073E-012  1.635E-016  2.846E-020  3.153E-012
   7.943E+015  9.428E-008  8.850E-013  5.634E-014  1.397E-014  9.446E-012  8.500E-002  1.340E-012  2.058E-016  4.097E-020  3.835E-012
   8.913E+015  1.157E-007  1.093E-012  7.040E-014  1.758E-014  1.172E-011  8.500E-002  1.673E-012  2.591E-016  6.526E-020  4.662E-012
   1.000E+016  1.539E-007  1.349E-012  8.732E-014  2.214E-014  1.454E-011  8.500E-002  2.089E-012  3.262E-016  1.206E-019  5.667E-012
   1.122E+016  2.288E-007  1.665E-012  1.068E-013  2.787E-014  1.804E-011  8.500E-002  2.608E-012  4.106E-016  2.615E-019  6.887E-012
   1.259E+016  3.806E-007  2.055E-012  1.276E-013  3.508E-014  2.237E-011  8.500E-002  3.255E-012  5.169E-016  6.451E-019  8.374E-012
   1.413E+016  6.846E-007  2.537E-012  1.471E-013  4.417E-014  2.773E-011  8.500E-002  4.061E-012  6.508E-016  1.712E-018  1.021E-011
   1.585E+016  1.272E-006  3.132E-012  1.610E-013  5.560E-014  3.437E-011  8.500E-002  5.067E-012  8.193E-016  4.603E-018  1.256E-011
   1.778E+016  2.356E-006  3.869E-012  1.656E-013  7.000E-014  4.262E-011  8.500E-002  6.321E-012  1.031E-015  1.198E-017  1.594E-011
   1.995E+016  4.257E-006  4.788E-012  1.598E-013  8.813E-014  5.289E-011  8.500E-002  7.885E-012  1.298E-015  2.967E-017  2.210E-011
   2.239E+016  7.400E-006  5.942E-012  1.458E-013  1.109E-013  6.573E-011  8.500E-002  9.837E-012  1.635E-015  7.120E-017  3.729E-011
   2.512E+016  1.226E-005  7.417E-012  1.276E-013  1.397E-013  8.189E-011  8.500E-002  1.227E-011  2.058E-015  1.737E-016  8.535E-011
