  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.500E-002  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.072E+014  6.077E-011  9.969E-015  3.006E-016  1.017E-016  9.202E-014  8.500E-002  1.132E-014  1.498E-018  5.726E-024  5.944E-014
   1.148E+014  1.287E-010  1.129E-014  3.511E-016  1.167E-016  1.048E-013  8.500E-002  1.295E-014  1.720E-018  1.635E-023  6.776E-014
   1.230E+014  2.004E-010  1.279E-014  4.102E-016  1.340E-016  1.194E-013  8.500E-002  1.481E-014  1.975E-018  2.855E-023  7.662E-014
   1.318E+014  2.762E-010  1.448E-014  4.792E-016  1.539E-016  1.359E-013  8.500E-002  1.694E-014  2.268E-018  4.255E-023  8.622E-014
   1.413E+014  3.573E-010  1.639E-014  5.598E-016  1.767E-016  1.547E-013  8.500E-002  1.937E-014  2.604E-018  5.884E-023  9.674E-014
   1.514E+014  4.459E-010  1.856E-014  6.538E-016  2.029E-016  1.761E-013  8.500E-002  2.215E-014  2.989E-018  7.791E-023  1.084E-013
   1.622E+014  5.452E-010  2.100E-014  7.635E-016  2.329E-016  2.004E-013  8.500E-002  2.533E-014  3.432E-018  1.004E-022  1.213E-013
   1.738E+014  6.611E-010  2.376E-014  8.914E-016  2.674E-016  2.280E-013  8.500E-002  2.895E-014  3.941E-018  1.272E-022  1.356E-013
   1.862E+014  8.033E-010  2.689E-014  1.040E-015  3.071E-016  2.594E-013  8.500E-002  3.309E-014  4.524E-018  1.598E-022  1.516E-013
   1.995E+014  9.895E-010  3.041E-014  1.214E-015  3.526E-016  2.951E-013  8.500E-002  3.782E-014  5.195E-018  2.010E-022  1.694E-013
   2.138E+014  1.249E-009  3.440E-014  1.415E-015  4.048E-016  3.356E-013  8.500E-002  4.322E-014  5.964E-018  2.558E-022  1.892E-013
   2.291E+014  1.632E-009  3.890E-014  1.648E-015  4.647E-016  3.815E-013  8.500E-002  4.939E-014  6.848E-018  3.336E-022  2.113E-013
   2.455E+014  2.218E-009  4.398E-014  1.919E-015  5.336E-016  4.337E-013  8.500E-002  5.642E-014  7.862E-018  4.519E-022  2.359E-013
   2.630E+014  3.132E-009  4.971E-014  2.232E-015  6.127E-016  4.930E-013  8.500E-002  6.445E-014  9.027E-018  6.431E-022  2.632E-013
   2.818E+014  4.565E-009  5.618E-014  2.593E-015  7.034E-016  5.602E-013  8.500E-002  7.361E-014  1.036E-017  9.676E-022  2.937E-013
   3.020E+014  6.799E-009  6.348E-014  3.010E-015  8.076E-016  6.364E-013  8.500E-002  8.406E-014  1.190E-017  1.540E-021  3.275E-013
   3.236E+014  1.024E-008  7.172E-014  3.488E-015  9.273E-016  7.229E-013  8.500E-002  9.597E-014  1.366E-017  2.578E-021  3.651E-013
   3.467E+014  1.546E-008  8.102E-014  4.037E-015  1.065E-015  8.210E-013  8.500E-002  1.096E-013  1.569E-017  4.508E-021  4.070E-013
   3.715E+014  2.323E-008  9.150E-014  4.663E-015  1.222E-015  9.322E-013  8.500E-002  1.251E-013  1.801E-017  8.163E-021  4.535E-013
   3.981E+014  3.460E-008  1.033E-013  5.375E-015  1.403E-015  1.058E-012  8.500E-002  1.427E-013  2.068E-017  1.517E-020  5.053E-013
   4.266E+014  5.091E-008  1.167E-013  6.181E-015  1.611E-015  1.201E-012  8.500E-002  1.629E-013  2.374E-017  2.865E-020  5.629E-013
   4.571E+014  7.393E-008  1.317E-013  7.089E-015  1.850E-015  1.363E-012  8.500E-002  1.858E-013  2.726E-017  5.442E-020  6.272E-013
   4.898E+014  1.059E-007  1.486E-013  8.103E-015  2.124E-015  1.546E-012  8.500E-002  2.119E-013  3.130E-017  1.029E-019  6.994E-013
   5.248E+014  1.495E-007  1.677E-013  9.227E-015  2.439E-015  1.753E-012  8.500E-002  2.417E-013  3.594E-017  1.921E-019  7.809E-013
   5.623E+014  2.083E-007  1.892E-013  1.046E-014  2.800E-015  1.988E-012  8.500E-002  2.756E-013  4.126E-017  3.510E-019  8.743E-013
   6.026E+014  2.866E-007  2.135E-013  1.180E-014  3.215E-015  2.253E-012  8.500E-002  3.143E-013  4.737E-017  6.245E-019  9.835E-013
   6.457E+014  3.895E-007  2.408E-013  1.323E-014  3.691E-015  2.554E-012  8.500E-002  3.582E-013  5.439E-017  1.079E-018  1.115E-012
   6.918E+014  5.234E-007  2.716E-013  1.475E-014  4.238E-015  2.894E-012  8.500E-002  4.083E-013  6.245E-017  1.808E-018  1.281E-012
   7.413E+014  6.956E-007  3.063E-013  1.631E-014  4.866E-015  3.278E-012  8.500E-002  4.652E-013  7.170E-017  2.941E-018  1.499E-012
   7.943E+014  9.151E-007  3.454E-013  1.791E-014  5.587E-015  3.713E-012  8.500E-002  5.301E-013  8.232E-017  4.653E-018  1.801E-012
   8.511E+014  1.192E-006  3.895E-013  1.949E-014  6.415E-015  4.205E-012  8.500E-002  6.038E-013  9.452E-017  7.179E-018  2.240E-012
   9.120E+014  1.538E-006  4.392E-013  2.101E-014  7.365E-015  4.761E-012  8.500E-002  6.877E-013  1.085E-016  1.083E-017  2.904E-012
   9.772E+014  1.967E-006  4.953E-013  2.242E-014  8.456E-015  5.389E-012  8.500E-002  7.831E-013  1.246E-016  1.600E-017  3.934E-012
   1.047E+015  2.493E-006  5.586E-013  2.369E-014  9.709E-015  6.100E-012  8.500E-002  8.916E-013  1.431E-016  2.323E-017  5.560E-012
   1.122E+015  3.132E-006  6.301E-013  2.477E-014  1.115E-014  6.904E-012  8.500E-002  1.015E-012  1.642E-016  3.319E-017  8.151E-012
   1.202E+015  3.902E-006  7.109E-013  2.563E-014  1.280E-014  7.813E-012  8.500E-002  1.155E-012  1.886E-016  4.679E-017  1.230E-011
   1.288E+015  4.820E-006  8.023E-013  2.627E-014  1.469E-014  8.842E-012  8.500E-002  1.314E-012  2.165E-016  6.522E-017  1.893E-011
   1.380E+015  5.904E-006  9.059E-013  2.667E-014  1.687E-014  1.001E-011  8.500E-002  1.496E-012  2.486E-016  9.009E-017  2.955E-011
   1.479E+015  7.171E-006  1.023E-012  2.685E-014  1.937E-014  1.132E-011  8.500E-002  1.701E-012  2.854E-016  1.237E-016  4.652E-011
   1.585E+015  8.637E-006  1.157E-012  2.683E-014  2.224E-014  1.282E-011  8.500E-002  1.935E-012  3.277E-016  1.691E-016  7.363E-011
   1.698E+015  1.032E-005  1.309E-012  2.664E-014  2.554E-014  1.451E-011  8.500E-002  2.201E-012  3.762E-016  2.313E-016  1.169E-010
   1.820E+015  1.222E-005  1.483E-012  2.629E-014  2.932E-014  1.642E-011  8.500E-002  2.503E-012  4.320E-016  3.173E-016  1.861E-010
   1.950E+015  1.436E-005  1.682E-012  2.581E-014  3.366E-014  1.859E-011  8.500E-002  2.846E-012  4.960E-016  4.379E-016  2.968E-010
   2.089E+015  1.673E-005  1.911E-012  2.524E-014  3.865E-014  2.104E-011  8.500E-002  3.236E-012  5.695E-016  6.090E-016  4.743E-010
   2.239E+015  1.934E-005  2.175E-012  2.460E-014  4.438E-014  2.382E-011  8.500E-002  3.678E-012  6.538E-016  8.542E-016  7.593E-010
   2.399E+015  2.218E-005  2.482E-012  2.390E-014  5.095E-014  2.694E-011  8.500E-002  4.181E-012  7.507E-016  1.206E-015  1.217E-009
   2.570E+015  2.524E-005  2.839E-012  2.317E-014  5.850E-014  3.045E-011  8.500E-002  4.751E-012  8.619E-016  1.707E-015  1.954E-009
   2.754E+015  2.851E-005  3.256E-012  2.243E-014  6.716E-014  3.437E-011  8.500E-002  5.397E-012  9.895E-016  2.410E-015  3.135E-009
   2.951E+015  3.199E-005  3.746E-012  2.169E-014  7.711E-014  3.874E-011  8.500E-002  6.131E-012  1.136E-015  3.378E-015  5.025E-009
   3.162E+015  3.566E-005  4.323E-012  2.097E-014  8.854E-014  4.355E-011  8.500E-002  6.963E-012  1.304E-015  4.682E-015  8.032E-009
   3.388E+015  3.952E-005  5.007E-012  2.028E-014  1.017E-013  4.882E-011  8.500E-002  7.909E-012  1.498E-015  6.401E-015  1.278E-008
   3.631E+015  4.356E-005  5.818E-012  1.961E-014  1.167E-013  5.450E-011  8.500E-002  8.985E-012  1.719E-015  8.623E-015  2.020E-008
   3.890E+015  4.780E-005  6.783E-012  1.897E-014  1.340E-013  6.056E-011  8.500E-002  1.021E-011  1.974E-015  1.144E-014  3.168E-008
   4.169E+015  5.222E-005  7.931E-012  1.836E-014  1.538E-013  6.688E-011  8.500E-002  1.162E-011  2.266E-015  1.492E-014  4.920E-008
   4.467E+015  5.686E-005  9.302E-012  1.777E-014  1.766E-013  7.334E-011  8.500E-002  1.324E-011  2.602E-015  1.916E-014  7.555E-008
   4.786E+015  6.172E-005  1.094E-011  1.721E-014  2.028E-013  7.977E-011  8.500E-002  1.511E-011  2.987E-015  2.418E-014  1.145E-007
   5.129E+015  6.684E-005  1.290E-011  1.668E-014  2.328E-013  8.596E-011  8.500E-002  1.729E-011  3.430E-015  3.002E-014  1.714E-007
   5.495E+015  7.225E-005  1.525E-011  1.616E-014  2.673E-013  9.171E-011  8.500E-002  1.983E-011  3.937E-015  3.665E-014  2.528E-007
   5.888E+015  7.799E-005  1.810E-011  1.566E-014  3.069E-013  9.680E-011  8.500E-002  2.281E-011  4.520E-015  4.405E-014  3.676E-007
   6.310E+015  8.414E-005  2.157E-011  1.518E-014  3.523E-013  1.010E-010  8.500E-002  2.632E-011  5.189E-015  5.215E-014  5.271E-007
   6.761E+015  9.073E-005  2.593E-011  1.479E-014  4.045E-013  1.055E-010  8.500E-002  3.059E-011  5.957E-015  6.142E-014  7.471E-007
   7.244E+015  9.783E-005  3.183E-011  1.450E-014  4.644E-013  1.106E-010  8.500E-002  3.597E-011  6.838E-015  7.252E-014  1.057E-006
   7.762E+015  1.055E-004  3.950E-011  1.424E-014  5.332E-013  1.148E-010  8.500E-002  4.240E-011  7.849E-015  8.462E-014  1.481E-006
   8.318E+015  1.138E-004  4.942E-011  1.401E-014  6.121E-013  1.180E-010  8.500E-002  5.006E-011  9.009E-015  9.755E-014  2.050E-006
   8.913E+015  1.227E-004  6.232E-011  1.382E-014  7.027E-013  1.204E-010  8.500E-002  5.917E-011  1.034E-014  1.111E-013  2.801E-006
   9.550E+015  1.322E-004  7.915E-011  1.366E-014  8.067E-013  1.222E-010  8.500E-002  6.997E-011  1.187E-014  1.252E-013  3.779E-006
   1.023E+016  1.424E-004  1.011E-010  1.353E-014  9.261E-013  1.236E-010  8.500E-002  8.274E-011  1.362E-014  1.394E-013  5.036E-006
   1.096E+016  1.531E-004  1.297E-010  1.343E-014  1.063E-012  1.247E-010  8.500E-002  9.778E-011  1.563E-014  1.535E-013  6.629E-006
   1.175E+016  1.642E-004  1.666E-010  1.336E-014  1.220E-012  1.257E-010  8.500E-002  1.155E-010  1.794E-014  1.672E-013  8.620E-006
   1.259E+016  1.755E-004  2.138E-010  1.331E-014  1.401E-012  1.266E-010  8.500E-002  1.362E-010  2.058E-014  1.800E-013  1.108E-005
   1.349E+016  1.869E-004  2.735E-010  1.328E-014  1.608E-012  1.277E-010  8.500E-002  1.604E-010  2.361E-014  1.918E-013  1.406E-005
   1.445E+016  1.982E-004  3.476E-010  1.327E-014  1.845E-012  1.289E-010  8.500E-002  1.886E-010  2.709E-014  2.020E-013  1.764E-005
   1.549E+016  2.090E-004  4.379E-010  1.327E-014  2.118E-012  1.302E-010  8.500E-002  2.216E-010  3.108E-014  2.103E-013  2.187E-005
   1.660E+016  2.193E-004  5.455E-010  1.327E-014  2.431E-012  1.319E-010  8.500E-002  2.599E-010  3.564E-014  2.164E-013  2.680E-005
   1.778E+016  2.286E-004  6.704E-010  1.327E-014  2.790E-012  1.339E-010  8.500E-002  3.044E-010  4.088E-014  2.200E-013  3.246E-005
   1.905E+016  2.369E-004  8.115E-010  1.328E-014  3.201E-012  1.364E-010  8.500E-002  3.560E-010  4.688E-014  2.211E-013  3.885E-005
   2.042E+016  2.441E-004  9.662E-010  1.328E-014  3.674E-012  1.395E-010  8.500E-002  4.157E-010  5.375E-014  2.195E-013  4.597E-005
   2.188E+016  2.502E-004  1.131E-009  1.328E-014  4.215E-012  1.432E-010  8.500E-002  4.847E-010  6.162E-014  2.156E-013  5.381E-005
   2.344E+016  2.551E-004  1.303E-009  1.327E-014  4.837E-012  1.476E-010  8.500E-002  5.644E-010  7.064E-014  2.096E-013  6.232E-005
   2.512E+016  2.589E-004  1.477E-009  1.326E-014  5.550E-012  1.528E-010  8.500E-002  6.564E-010  8.097E-014  2.022E-013  7.150E-005
   2.692E+016  2.619E-004  1.652E-009  1.325E-014  6.367E-012  1.588E-010  8.500E-002  7.627E-010  9.281E-014  1.939E-013  8.135E-005
   2.884E+016  2.641E-004  1.828E-009  1.323E-014  7.305E-012  1.657E-010  8.500E-002  8.858E-010  1.064E-013  1.854E-013  9.188E-005
   3.090E+016  2.657E-004  2.004E-009  1.322E-014  8.380E-012  1.733E-010  8.500E-002  1.028E-009  1.219E-013  1.774E-013  1.032E-004
   3.311E+016  2.669E-004  2.183E-009  1.320E-014  9.613E-012  1.815E-010  8.500E-002  1.194E-009  1.396E-013  1.704E-013  1.154E-004
   3.548E+016  2.678E-004  2.371E-009  1.318E-014  1.103E-011  1.903E-010  8.500E-002  1.388E-009  1.599E-013  1.647E-013  1.286E-004
   3.802E+016  2.685E-004  2.570E-009  1.316E-014  1.265E-011  1.996E-010  8.500E-002  1.614E-009  1.831E-013  1.607E-013  1.431E-004
   4.074E+016  2.691E-004  2.787E-009  1.314E-014  1.450E-011  2.090E-010  8.500E-002  1.880E-009  2.097E-013  1.584E-013  1.592E-004
   4.365E+016  2.696E-004  3.026E-009  1.311E-014  1.663E-011  2.184E-010  8.500E-002  2.194E-009  2.400E-013  1.577E-013  1.773E-004
   4.677E+016  2.700E-004  3.290E-009  1.309E-014  1.906E-011  2.277E-010  8.500E-002  2.566E-009  2.745E-013  1.586E-013  1.976E-004
   5.012E+016  2.705E-004  3.585E-009  1.307E-014  2.185E-011  2.367E-010  8.500E-002  3.009E-009  3.139E-013  1.606E-013  2.206E-004
   5.370E+016  2.709E-004  3.912E-009  1.305E-014  2.504E-011  2.454E-010  8.500E-002  3.539E-009  3.588E-013  1.632E-013  2.467E-004
   5.754E+016  2.713E-004  4.276E-009  1.303E-014  2.868E-011  2.539E-010  8.500E-002  4.176E-009  4.098E-013  1.650E-013  2.761E-004
   6.166E+016  2.718E-004  4.679E-009  1.301E-014  3.285E-011  2.626E-010  8.500E-002  4.943E-009  4.679E-013  1.640E-013  3.087E-004
   6.607E+016  2.722E-004  5.125E-009  1.299E-014  3.762E-011  2.722E-010  8.500E-002  5.865E-009  5.339E-013  1.572E-013  3.437E-004
   7.079E+016  2.727E-004  5.617E-009  1.298E-014  4.308E-011  2.843E-010  8.500E-002  6.964E-009  6.092E-013  1.410E-013  3.794E-004
   7.586E+016  2.731E-004  6.161E-009  1.297E-014  4.933E-011  3.008E-010  8.500E-002  8.252E-009  6.952E-013  1.147E-013  4.127E-004
   8.128E+016  2.736E-004  6.762E-009  1.297E-014  5.650E-011  3.240E-010  8.500E-002  9.730E-009  7.941E-013  8.281E-014  4.404E-004
   8.710E+016  2.740E-004  7.425E-009  1.297E-014  6.473E-011  3.558E-010  8.500E-002  1.139E-008  9.081E-013  5.318E-014  4.605E-004
   9.333E+016  2.744E-004  8.159E-009  1.298E-014  7.420E-011  3.971E-010  8.500E-002  1.321E-008  1.039E-012  3.125E-014  4.735E-004
   1.000E+017  2.749E-004  8.973E-009  1.298E-014  8.506E-011  4.485E-010  8.500E-002  1.519E-008  1.191E-012  1.767E-014  4.809E-004
