  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.500E-002  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.072E+014  2.408E-010  2.076E-014  4.398E-016  1.816E-016  1.792E-013  8.500E-002  2.097E-014  2.675E-018  1.571E-023  1.517E-014
   1.148E+014  5.493E-010  2.372E-014  5.077E-016  2.085E-016  2.052E-013  8.500E-002  2.405E-014  3.072E-018  4.733E-023  1.926E-014
   1.230E+014  9.315E-010  2.709E-014  5.862E-016  2.394E-016  2.349E-013  8.500E-002  2.758E-014  3.527E-018  9.903E-023  2.449E-014
   1.318E+014  1.440E-009  3.095E-014  6.767E-016  2.748E-016  2.690E-013  8.500E-002  3.163E-014  4.049E-018  1.820E-022  3.117E-014
   1.413E+014  2.160E-009  3.535E-014  7.813E-016  3.155E-016  3.080E-013  8.500E-002  3.628E-014  4.649E-018  3.138E-022  3.970E-014
   1.514E+014  3.227E-009  4.037E-014  9.019E-016  3.623E-016  3.527E-013  8.500E-002  4.160E-014  5.338E-018  5.252E-022  5.058E-014
   1.622E+014  4.846E-009  4.611E-014  1.041E-015  4.160E-016  4.039E-013  8.500E-002  4.771E-014  6.129E-018  8.725E-022  6.444E-014
   1.738E+014  7.320E-009  5.266E-014  1.202E-015  4.776E-016  4.624E-013  8.500E-002  5.471E-014  7.037E-018  1.463E-021  8.205E-014
   1.862E+014  1.109E-008  6.014E-014  1.387E-015  5.483E-016  5.294E-013  8.500E-002  6.274E-014  8.080E-018  2.505E-021  1.044E-013
   1.995E+014  1.676E-008  6.867E-014  1.600E-015  6.296E-016  6.061E-013  8.500E-002  7.194E-014  9.277E-018  4.406E-021  1.326E-013
   2.138E+014  2.520E-008  7.842E-014  1.846E-015  7.229E-016  6.939E-013  8.500E-002  8.250E-014  1.065E-017  7.971E-021  1.681E-013
   2.291E+014  3.756E-008  8.954E-014  2.128E-015  8.300E-016  7.943E-013  8.500E-002  9.459E-014  1.223E-017  1.477E-020  2.125E-013
   2.455E+014  5.537E-008  1.022E-013  2.453E-015  9.529E-016  9.093E-013  8.500E-002  1.085E-013  1.404E-017  2.784E-020  2.677E-013
   2.630E+014  8.065E-008  1.167E-013  2.825E-015  1.094E-015  1.041E-012  8.500E-002  1.244E-013  1.612E-017  5.292E-020  3.361E-013
   2.818E+014  1.160E-007  1.333E-013  3.250E-015  1.256E-015  1.191E-012  8.500E-002  1.426E-013  1.851E-017  1.005E-019  4.202E-013
   3.020E+014  1.647E-007  1.521E-013  3.734E-015  1.442E-015  1.364E-012  8.500E-002  1.635E-013  2.125E-017  1.894E-019  5.232E-013
   3.236E+014  2.309E-007  1.737E-013  4.285E-015  1.656E-015  1.561E-012  8.500E-002  1.874E-013  2.440E-017  3.513E-019  6.493E-013
   3.467E+014  3.197E-007  1.983E-013  4.907E-015  1.901E-015  1.786E-012  8.500E-002  2.149E-013  2.801E-017  6.389E-019  8.038E-013
   3.715E+014  4.373E-007  2.263E-013  5.607E-015  2.183E-015  2.044E-012  8.500E-002  2.464E-013  3.216E-017  1.135E-018  9.948E-013
   3.981E+014  5.915E-007  2.583E-013  6.389E-015  2.506E-015  2.340E-012  8.500E-002  2.825E-013  3.693E-017  1.966E-018  1.235E-012
   4.266E+014  7.912E-007  2.948E-013  7.255E-015  2.878E-015  2.677E-012  8.500E-002  3.238E-013  4.240E-017  3.318E-018  1.545E-012
   4.571E+014  1.047E-006  3.365E-013  8.207E-015  3.304E-015  3.063E-012  8.500E-002  3.712E-013  4.868E-017  5.457E-018  1.960E-012
   4.898E+014  1.372E-006  3.841E-013  9.241E-015  3.794E-015  3.505E-012  8.500E-002  4.256E-013  5.590E-017  8.753E-018  2.536E-012
   5.248E+014  1.781E-006  4.384E-013  1.035E-014  4.356E-015  4.010E-012  8.500E-002  4.878E-013  6.418E-017  1.371E-017  3.368E-012
   5.623E+014  2.290E-006  5.003E-013  1.152E-014  5.001E-015  4.587E-012  8.500E-002  5.592E-013  7.368E-017  2.100E-017  4.611E-012
   6.026E+014  2.918E-006  5.710E-013  1.275E-014  5.742E-015  5.247E-012  8.500E-002  6.410E-013  8.460E-017  3.150E-017  6.511E-012
   6.457E+014  3.688E-006  6.517E-013  1.399E-014  6.592E-015  6.001E-012  8.500E-002  7.348E-013  9.713E-017  4.637E-017  9.458E-012
   6.918E+014  4.624E-006  7.438E-013  1.525E-014  7.569E-015  6.864E-012  8.500E-002  8.423E-013  1.115E-016  6.709E-017  1.406E-011
   7.413E+014  5.752E-006  8.491E-013  1.648E-014  8.690E-015  7.849E-012  8.500E-002  9.655E-013  1.280E-016  9.556E-017  2.125E-011
   7.943E+014  7.104E-006  9.694E-013  1.767E-014  9.978E-015  8.975E-012  8.500E-002  1.107E-012  1.470E-016  1.342E-016  3.247E-011
   8.511E+014  8.712E-006  1.107E-012  1.881E-014  1.146E-014  1.026E-011  8.500E-002  1.269E-012  1.688E-016  1.861E-016  4.986E-011
   9.120E+014  1.061E-005  1.264E-012  1.988E-014  1.315E-014  1.173E-011  8.500E-002  1.454E-012  1.938E-016  2.551E-016  7.667E-011
   9.772E+014  1.284E-005  1.444E-012  2.088E-014  1.510E-014  1.341E-011  8.500E-002  1.667E-012  2.225E-016  3.464E-016  1.177E-010
   1.047E+015  1.545E-005  1.651E-012  2.183E-014  1.734E-014  1.533E-011  8.500E-002  1.910E-012  2.555E-016  4.666E-016  1.803E-010
   1.122E+015  1.847E-005  1.889E-012  2.273E-014  1.991E-014  1.752E-011  8.500E-002  2.190E-012  2.933E-016  6.242E-016  2.750E-010
   1.202E+015  2.195E-005  2.162E-012  2.361E-014  2.286E-014  2.001E-011  8.500E-002  2.510E-012  3.368E-016  8.307E-016  4.178E-010
   1.288E+015  2.595E-005  2.477E-012  2.451E-014  2.624E-014  2.286E-011  8.500E-002  2.878E-012  3.867E-016  1.101E-015  6.323E-010
   1.380E+015  3.051E-005  2.842E-012  2.546E-014  3.013E-014  2.610E-011  8.500E-002  3.299E-012  4.440E-016  1.457E-015  9.537E-010
   1.479E+015  3.567E-005  3.265E-012  2.650E-014  3.460E-014  2.980E-011  8.500E-002  3.782E-012  5.097E-016  1.925E-015  1.435E-009
