  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.500E-002  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.122E+014  1.004E-010  3.280E-016  8.899E-018  3.185E-018  2.964E-015  8.500E-002  3.591E-016  4.694E-020  5.028E-025  1.648E-015
   1.259E+014  1.812E-010  4.054E-016  1.147E-017  4.010E-018  3.693E-015  8.500E-002  4.500E-016  5.909E-020  1.052E-024  2.269E-015
   1.413E+014  2.630E-010  5.011E-016  1.480E-017  5.049E-018  4.599E-015  8.500E-002  5.639E-016  7.439E-020  1.589E-024  2.957E-015
   1.585E+014  3.496E-010  6.191E-016  1.910E-017  6.356E-018  5.726E-015  8.500E-002  7.063E-016  9.365E-020  2.143E-024  3.722E-015
   1.778E+014  4.430E-010  7.646E-016  2.466E-017  8.001E-018  7.127E-015  8.500E-002  8.846E-016  1.179E-019  2.773E-024  4.594E-015
   1.995E+014  5.476E-010  9.441E-016  3.183E-017  1.007E-017  8.868E-015  8.500E-002  1.108E-015  1.484E-019  3.536E-024  5.618E-015
   2.239E+014  6.696E-010  1.165E-015  4.109E-017  1.268E-017  1.103E-014  8.500E-002  1.387E-015  1.869E-019  4.488E-024  6.839E-015
   2.512E+014  8.156E-010  1.438E-015  5.303E-017  1.596E-017  1.372E-014  8.500E-002  1.736E-015  2.352E-019  5.691E-024  8.308E-015
   2.818E+014  9.914E-010  1.774E-015  6.841E-017  2.010E-017  1.705E-014  8.500E-002  2.172E-015  2.961E-019  7.220E-024  1.008E-014
   3.162E+014  1.203E-009  2.188E-015  8.820E-017  2.530E-017  2.118E-014  8.500E-002  2.717E-015  3.728E-019  9.170E-024  1.222E-014
   3.548E+014  1.455E-009  2.697E-015  1.136E-016  3.185E-017  2.631E-014  8.500E-002  3.398E-015  4.693E-019  1.166E-023  1.481E-014
   3.981E+014  1.754E-009  3.324E-015  1.461E-016  4.010E-017  3.267E-014  8.500E-002  4.249E-015  5.909E-019  1.486E-023  1.793E-014
   4.467E+014  2.107E-009  4.095E-015  1.877E-016  5.048E-017  4.055E-014  8.500E-002  5.311E-015  7.438E-019  1.897E-023  2.170E-014
   5.012E+014  2.520E-009  5.043E-015  2.408E-016  6.355E-017  5.032E-014  8.500E-002  6.637E-015  9.364E-019  2.426E-023  2.625E-014
   5.623E+014  3.003E-009  6.209E-015  3.083E-016  8.001E-017  6.241E-014  8.500E-002  8.292E-015  1.179E-018  3.109E-023  3.173E-014
   6.310E+014  3.565E-009  7.641E-015  3.940E-016  1.007E-016  7.737E-014  8.500E-002  1.036E-014  1.484E-018  3.993E-023  3.833E-014
   7.079E+014  4.219E-009  9.401E-015  5.024E-016  1.268E-016  9.588E-014  8.500E-002  1.293E-014  1.868E-018  5.140E-023  4.628E-014
   7.943E+014  4.976E-009  1.156E-014  6.395E-016  1.596E-016  1.188E-013  8.500E-002  1.614E-014  2.352E-018  6.632E-023  5.584E-014
   8.913E+014  5.853E-009  1.421E-014  8.124E-016  2.010E-016  1.471E-013  8.500E-002  2.014E-014  2.961E-018  8.579E-023  6.734E-014
   1.000E+015  6.863E-009  1.747E-014  1.030E-015  2.530E-016  1.820E-013  8.500E-002  2.513E-014  3.728E-018  1.112E-022  8.117E-014
   1.122E+015  8.024E-009  2.146E-014  1.304E-015  3.185E-016  2.252E-013  8.500E-002  3.133E-014  4.693E-018  1.446E-022  9.777E-014
   1.259E+015  9.355E-009  2.636E-014  1.649E-015  4.010E-016  2.785E-013  8.500E-002  3.906E-014  5.908E-018  1.884E-022  1.177E-013
   1.413E+015  1.088E-008  3.235E-014  2.081E-015  5.048E-016  3.442E-013  8.500E-002  4.867E-014  7.438E-018  2.462E-022  1.416E-013
   1.585E+015  1.261E-008  3.971E-014  2.625E-015  6.355E-016  4.252E-013  8.500E-002  6.063E-014  9.364E-018  3.224E-022  1.703E-013
   1.778E+015  1.459E-008  4.871E-014  3.307E-015  8.000E-016  5.250E-013  8.500E-002  7.549E-014  1.179E-017  4.233E-022  2.047E-013
   1.995E+015  1.684E-008  5.973E-014  4.165E-015  1.007E-015  6.479E-013  8.500E-002  9.396E-014  1.484E-017  5.569E-022  2.459E-013
   2.239E+015  1.939E-008  7.323E-014  5.242E-015  1.268E-015  7.992E-013  8.500E-002  1.169E-013  1.868E-017  7.342E-022  2.952E-013
   2.512E+015  2.229E-008  8.974E-014  6.595E-015  1.596E-015  9.852E-013  8.500E-002  1.454E-013  2.352E-017  9.700E-022  3.542E-013
   2.818E+015  2.557E-008  1.099E-013  8.295E-015  2.010E-015  1.214E-012  8.500E-002  1.807E-013  2.961E-017  1.284E-021  4.247E-013
   3.162E+015  2.928E-008  1.346E-013  1.043E-014  2.530E-015  1.495E-012  8.500E-002  2.246E-013  3.728E-017  1.702E-021  5.091E-013
   3.548E+015  3.347E-008  1.648E-013  1.311E-014  3.185E-015  1.839E-012  8.500E-002  2.789E-013  4.693E-017  2.260E-021  6.099E-013
   3.981E+015  3.820E-008  2.018E-013  1.648E-014  4.009E-015  2.262E-012  8.500E-002  3.463E-013  5.908E-017  3.005E-021  7.302E-013
   4.467E+015  4.355E-008  2.469E-013  2.072E-014  5.047E-015  2.780E-012  8.500E-002  4.297E-013  7.437E-017  4.003E-021  8.738E-013
   5.012E+015  4.962E-008  3.020E-013  2.602E-014  6.354E-015  3.415E-012  8.500E-002  5.329E-013  9.363E-017  5.360E-021  1.045E-012
   5.623E+015  5.663E-008  3.694E-013  3.268E-014  7.999E-015  4.191E-012  8.500E-002  6.606E-013  1.179E-016  7.277E-021  1.249E-012
   6.310E+015  6.511E-008  4.517E-013  4.099E-014  1.007E-014  5.140E-012  8.500E-002  8.185E-013  1.484E-016  1.024E-020  1.493E-012
   7.079E+015  7.643E-008  5.523E-013  5.132E-014  1.268E-014  6.298E-012  8.500E-002  1.014E-012  1.868E-016  1.556E-020  1.783E-012
   7.943E+015  9.403E-008  6.750E-013  6.404E-014  1.596E-014  7.711E-012  8.500E-002  1.254E-012  2.352E-016  2.695E-020  2.128E-012
   8.913E+015  1.259E-007  8.250E-013  7.934E-014  2.009E-014  9.432E-012  8.500E-002  1.552E-012  2.961E-016  5.491E-020  2.539E-012
   1.000E+016  1.890E-007  1.008E-012  9.707E-014  2.529E-014  1.153E-011  8.500E-002  1.918E-012  3.727E-016  1.292E-019  3.028E-012
   1.122E+016  3.171E-007  1.232E-012  1.162E-013  3.184E-014  1.407E-011  8.500E-002  2.370E-012  4.692E-016  3.349E-019  3.612E-012
   1.259E+016  5.729E-007  1.506E-012  1.346E-013  4.009E-014  1.716E-011  8.500E-002  2.926E-012  5.907E-016  9.050E-019  4.320E-012
   1.413E+016  1.064E-006  1.840E-012  1.488E-013  5.047E-014  2.092E-011  8.500E-002  3.611E-012  7.436E-016  2.429E-018  5.218E-012
   1.585E+016  1.962E-006  2.251E-012  1.552E-013  6.353E-014  2.547E-011  8.500E-002  4.453E-012  9.361E-016  6.298E-018  6.518E-012
   1.778E+016  3.524E-006  2.757E-012  1.522E-013  7.998E-014  3.102E-011  8.500E-002  5.486E-012  1.178E-015  1.583E-017  8.944E-012
   1.995E+016  6.091E-006  3.388E-012  1.407E-013  1.007E-013  3.782E-011  8.500E-002  6.759E-012  1.484E-015  3.983E-017  1.508E-011
   2.239E+016  1.007E-005  4.309E-012  1.236E-013  1.268E-013  4.790E-011  8.500E-002  8.498E-012  1.868E-015  1.070E-016  3.599E-011
   2.512E+016  1.585E-005  5.521E-012  1.049E-013  1.596E-013  6.081E-011  8.500E-002  1.067E-011  2.351E-015  2.988E-016  1.129E-010
   2.818E+016  2.361E-005  7.170E-012  8.773E-014  2.009E-013  7.740E-011  8.500E-002  1.334E-011  2.960E-015  8.126E-016  4.208E-010
   3.162E+016  3.323E-005  9.532E-012  7.347E-014  2.529E-013  9.867E-011  8.500E-002  1.661E-011  3.727E-015  2.104E-015  1.695E-009
   3.548E+016  4.431E-005  1.309E-011  6.183E-014  3.184E-013  1.251E-010  8.500E-002  2.071E-011  4.691E-015  5.292E-015  6.829E-009
   3.981E+016  5.643E-005  1.856E-011  5.221E-014  4.009E-013  1.548E-010  8.500E-002  2.616E-011  5.906E-015  1.266E-014  2.583E-008
   4.467E+016  6.963E-005  2.676E-011  4.428E-014  5.046E-013  1.829E-010  8.500E-002  3.394E-011  7.434E-015  2.716E-014  8.753E-008
   5.012E+016  8.475E-005  3.847E-011  3.786E-014  6.353E-013  2.026E-010  8.500E-002  4.550E-011  9.356E-015  5.080E-014  2.597E-007
   5.623E+016  1.033E-004  5.497E-011  3.279E-014  7.996E-013  2.095E-010  8.500E-002  6.261E-011  1.177E-014  8.392E-014  6.777E-007
