  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.500E-002  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.122E+014  1.240E-009  8.753E-015  2.043E-016  7.964E-017  7.686E-014  8.500E-002  9.119E-015  1.173E-018  1.281E-022  1.610E-014
   1.259E+014  2.490E-009  1.088E-014  2.614E-016  1.003E-016  9.608E-014  8.500E-002  1.145E-014  1.477E-018  2.743E-022  2.598E-014
   1.413E+014  3.825E-009  1.352E-014  3.346E-016  1.262E-016  1.201E-013  8.500E-002  1.437E-014  1.860E-018  4.201E-022  4.104E-014
   1.585E+014  5.256E-009  1.680E-014  4.283E-016  1.589E-016  1.501E-013  8.500E-002  1.803E-014  2.341E-018  5.782E-022  6.282E-014
   1.778E+014  6.811E-009  2.087E-014  5.485E-016  2.000E-016  1.875E-013  8.500E-002  2.263E-014  2.947E-018  7.658E-022  9.243E-014
   1.995E+014  8.535E-009  2.592E-014  7.027E-016  2.518E-016  2.343E-013  8.500E-002  2.839E-014  3.711E-018  1.000E-021  1.303E-013
   2.239E+014  1.051E-008  3.219E-014  9.004E-016  3.170E-016  2.926E-013  8.500E-002  3.562E-014  4.671E-018  1.304E-021  1.763E-013
   2.512E+014  1.296E-008  3.996E-014  1.154E-015  3.991E-016  3.655E-013  8.500E-002  4.468E-014  5.881E-018  1.713E-021  2.308E-013
   2.818E+014  1.641E-008  4.961E-014  1.479E-015  5.025E-016  4.564E-013  8.500E-002  5.604E-014  7.404E-018  2.311E-021  2.947E-013
   3.162E+014  2.224E-008  6.158E-014  1.896E-015  6.326E-016  5.697E-013  8.500E-002  7.029E-014  9.320E-018  3.313E-021  3.699E-013
   3.548E+014  3.369E-008  7.642E-014  2.430E-015  7.964E-016  7.112E-013  8.500E-002  8.814E-014  1.173E-017  5.308E-021  4.594E-013
   3.981E+014  5.772E-008  9.482E-014  3.111E-015  1.003E-015  8.875E-013  8.500E-002  1.105E-013  1.477E-017  9.976E-021  5.669E-013
   4.467E+014  1.083E-007  1.176E-013  3.977E-015  1.262E-015  1.107E-012  8.500E-002  1.386E-013  1.860E-017  2.226E-020  6.971E-013
