  **  PHYSICAL PARAMETERS  **


   RADIUS      n(Htot)     TEMP        A_UV EFF    RAD. EFF    C K(PH)     C K(IP)     C K(AP)     CO K(PH)    CO K(IP)    CO K(AP)    DELTA_AUV   
   1.000E+014  3.005E+007  8.752E+002  7.474E+000  8.777E-005  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.121E+001
   1.072E+014  2.618E+007  8.338E+002  6.975E+000  1.527E-004  1.739E-014  0.000E+000  0.000E+000  1.163E-017  0.000E+000  0.000E+000  1.171E+001
   1.148E+014  2.280E+007  7.945E+002  6.509E+000  2.569E-004  3.196E-014  0.000E+000  0.000E+000  2.088E-017  0.000E+000  0.000E+000  1.217E+001
   1.230E+014  1.986E+007  7.570E+002  6.075E+000  4.184E-004  5.513E-014  0.000E+000  0.000E+000  3.551E-017  0.000E+000  0.000E+000  1.261E+001
   1.318E+014  1.729E+007  7.212E+002  5.669E+000  6.615E-004  9.217E-014  0.000E+000  0.000E+000  5.891E-017  0.000E+000  0.000E+000  1.301E+001
   1.413E+014  1.506E+007  6.872E+002  5.291E+000  1.017E-003  1.533E-013  0.000E+000  0.000E+000  9.789E-017  0.000E+000  0.000E+000  1.339E+001
   1.514E+014  1.312E+007  6.548E+002  4.938E+000  1.522E-003  2.440E-013  0.000E+000  0.000E+000  1.566E-016  0.000E+000  0.000E+000  1.375E+001
   1.622E+014  1.143E+007  6.239E+002  4.608E+000  2.224E-003  3.669E-013  0.000E+000  0.000E+000  2.380E-016  0.000E+000  0.000E+000  1.408E+001
   1.738E+014  9.952E+006  5.944E+002  4.301E+000  3.175E-003  5.635E-013  0.000E+000  0.000E+000  3.716E-016  0.000E+000  0.000E+000  1.438E+001
   1.862E+014  8.668E+006  5.663E+002  4.014E+000  4.436E-003  8.261E-013  0.000E+000  0.000E+000  5.562E-016  0.000E+000  0.000E+000  1.467E+001
   1.995E+014  7.549E+006  5.396E+002  3.746E+000  6.074E-003  1.177E-012  0.000E+000  0.000E+000  8.119E-016  0.000E+000  0.000E+000  1.494E+001
   2.138E+014  6.575E+006  5.141E+002  3.496E+000  8.162E-003  1.633E-012  0.000E+000  0.000E+000  1.158E-015  0.000E+000  0.000E+000  1.519E+001
   2.291E+014  5.727E+006  4.899E+002  3.262E+000  1.078E-002  2.265E-012  0.000E+000  0.000E+000  1.660E-015  0.000E+000  0.000E+000  1.542E+001
   2.455E+014  4.988E+006  4.668E+002  3.045E+000  1.400E-002  2.980E-012  0.000E+000  0.000E+000  2.254E-015  0.000E+000  0.000E+000  1.564E+001
   2.630E+014  4.344E+006  4.447E+002  2.841E+000  1.790E-002  3.983E-012  0.000E+000  0.000E+000  3.129E-015  0.000E+000  0.000E+000  1.584E+001
   2.818E+014  3.784E+006  4.237E+002  2.652E+000  2.257E-002  5.287E-012  0.000E+000  0.000E+000  4.336E-015  0.000E+000  0.000E+000  1.603E+001
   3.020E+014  3.295E+006  4.037E+002  2.475E+000  2.807E-002  6.771E-012  0.000E+000  0.000E+000  5.790E-015  0.000E+000  0.000E+000  1.621E+001
