  **  PHYSICAL PARAMETERS  **


   RADIUS      n(Htot)     TEMP        A_UV EFF    RAD. EFF    C K(PH)     C K(IP)     C K(AP)     CO K(PH)    CO K(IP)    CO K(AP)    DELTA_AUV   
   1.000E+014  2.254E+009  4.200E+002  5.605E+002  1.850E-246  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.408E+002
   1.122E+014  1.791E+009  3.743E+002  4.996E+002  6.161E-220  5.005E-264  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  9.017E+002
   1.259E+014  1.422E+009  3.336E+002  4.452E+002  2.678E-196  1.355E-235  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  9.561E+002
   1.413E+014  1.130E+009  2.973E+002  3.968E+002  3.128E-175  1.855E-211  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.004E+003
   1.585E+014  8.974E+008  2.650E+002  3.537E+002  1.870E-156  1.681E-190  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.048E+003
   1.778E+014  7.128E+008  2.362E+002  3.152E+002  1.015E-139  2.129E-171  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.086E+003
   1.995E+014  5.662E+008  2.105E+002  2.809E+002  8.336E-125  3.470E-154  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.120E+003
   2.239E+014  4.498E+008  1.876E+002  2.504E+002  1.636E-111  3.153E-137  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.151E+003
   2.512E+014  3.573E+008  1.672E+002  2.231E+002  1.151E-099  2.276E-124  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.178E+003
   2.818E+014  2.838E+008  1.490E+002  1.989E+002  4.168E-089  1.124E-111  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.202E+003
   3.162E+014  2.254E+008  1.328E+002  1.773E+002  1.074E-079  1.483E-101  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.224E+003
   3.548E+014  1.791E+008  1.184E+002  1.580E+002  2.629E-071  4.741E-091  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.243E+003
   3.981E+014  1.422E+008  1.055E+002  1.408E+002  7.908E-064  2.530E-082  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.260E+003
   4.467E+014  1.130E+008  9.403E+001  1.255E+002  3.684E-057  5.117E-075  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.276E+003
   5.012E+014  8.974E+007  8.380E+001  1.118E+002  3.269E-051  9.090E-068  0.000E+000  0.000E+000  2.241E-055  0.000E+000  0.000E+000  1.289E+003
   5.623E+014  7.128E+007  7.469E+001  9.968E+001  6.650E-046  2.617E-062  0.000E+000  0.000E+000  6.903E-052  0.000E+000  0.000E+000  1.302E+003
   6.310E+014  5.662E+007  6.657E+001  8.884E+001  3.658E-041  1.363E-056  0.000E+000  0.000E+000  3.530E-048  0.000E+000  0.000E+000  1.312E+003
   7.079E+014  4.498E+007  5.933E+001  7.918E+001  6.298E-037  1.579E-051  0.000E+000  0.000E+000  7.692E-045  0.000E+000  0.000E+000  1.322E+003
   7.943E+014  3.573E+007  5.287E+001  7.056E+001  3.857E-033  5.043E-047  0.000E+000  0.000E+000  7.979E-042  0.000E+000  0.000E+000  1.331E+003
   8.913E+014  2.838E+007  4.712E+001  6.289E+001  9.400E-030  4.412E-043  0.000E+000  0.000E+000  3.821E-039  0.000E+000  0.000E+000  1.338E+003
   1.000E+015  2.254E+007  4.200E+001  5.605E+001  1.005E-026  8.105E-040  0.000E+000  0.000E+000  6.833E-037  0.000E+000  0.000E+000  1.345E+003
   1.122E+015  1.791E+007  3.743E+001  4.996E+001  5.144E-024  1.226E-036  0.000E+000  0.000E+000  1.155E-034  0.000E+000  0.000E+000  1.351E+003
   1.259E+015  1.422E+007  3.336E+001  4.452E+001  1.359E-021  1.546E-033  0.000E+000  0.000E+000  1.871E-032  0.000E+000  0.000E+000  1.357E+003
   1.413E+015  1.130E+007  2.973E+001  3.968E+001  1.983E-019  1.160E-031  0.000E+000  0.000E+000  4.262E-031  0.000E+000  0.000E+000  1.362E+003
   1.585E+015  8.974E+006  2.650E+001  3.537E+001  1.702E-017  3.821E-029  0.000E+000  0.000E+000  3.031E-029  0.000E+000  0.000E+000  1.366E+003
   1.778E+015  7.128E+006  2.362E+001  3.152E+001  9.073E-016  2.052E-027  0.000E+000  0.000E+000  5.983E-028  0.000E+000  0.000E+000  1.370E+003
   1.995E+015  5.662E+006  2.105E+001  2.809E+001  3.160E-014  2.064E-025  0.000E+000  0.000E+000  2.011E-026  0.000E+000  0.000E+000  1.373E+003
   2.239E+015  4.498E+006  1.876E+001  2.504E+001  7.522E-013  7.641E-024  0.000E+000  0.000E+000  3.334E-025  0.000E+000  0.000E+000  1.376E+003
   2.512E+015  3.573E+006  1.672E+001  2.231E+001  1.276E-011  1.179E-022  0.000E+000  0.000E+000  2.905E-024  0.000E+000  0.000E+000  1.379E+003
   2.818E+015  2.838E+006  1.490E+001  1.989E+001  1.599E-010  2.368E-021  0.000E+000  0.000E+000  3.249E-023  0.000E+000  0.000E+000  1.381E+003
   3.162E+015  2.254E+006  1.328E+001  1.773E+001  1.533E-009  4.217E-020  0.000E+000  0.000E+000  3.457E-022  0.000E+000  0.000E+000  1.384E+003
   3.548E+015  1.791E+006  1.184E+001  1.580E+001  1.159E-008  3.201E-019  0.000E+000  0.000E+000  1.883E-021  0.000E+000  0.000E+000  1.385E+003
   3.981E+015  1.422E+006  1.055E+001  1.408E+001  7.092E-008  2.830E-018  0.000E+000  0.000E+000  1.203E-020  0.000E+000  0.000E+000  1.387E+003
   4.467E+015  1.130E+006  1.000E+001  1.255E+001  3.600E-007  1.762E-017  0.000E+000  0.000E+000  5.860E-020  0.000E+000  0.000E+000  1.389E+003
   5.012E+015  8.974E+005  1.000E+001  1.118E+001  1.547E-006  1.042E-016  0.000E+000  0.000E+000  2.807E-019  0.000E+000  0.000E+000  1.390E+003
   5.623E+015  7.128E+005  1.000E+001  9.968E+000  5.736E-006  5.273E-016  0.000E+000  0.000E+000  1.204E-018  0.000E+000  0.000E+000  1.391E+003
   6.310E+015  5.662E+005  1.000E+001  8.884E+000  1.863E-005  1.693E-015  0.000E+000  0.000E+000  3.493E-018  0.000E+000  0.000E+000  1.392E+003
   7.079E+015  4.498E+005  1.000E+001  7.918E+000  5.375E-005  5.321E-015  0.000E+000  0.000E+000  1.011E-017  0.000E+000  0.000E+000  1.393E+003
   7.943E+015  3.573E+005  1.000E+001  7.056E+000  1.394E-004  1.579E-014  0.000E+000  0.000E+000  2.828E-017  0.000E+000  0.000E+000  1.394E+003
   8.913E+015  2.838E+005  1.000E+001  6.289E+000  3.288E-004  4.228E-014  0.000E+000  0.000E+000  7.306E-017  0.000E+000  0.000E+000  1.395E+003
   1.000E+016  2.254E+005  1.000E+001  5.605E+000  7.113E-004  1.018E-013  0.000E+000  0.000E+000  1.734E-016  0.000E+000  0.000E+000  1.396E+003
   1.122E+016  1.791E+005  1.000E+001  4.996E+000  1.425E-003  2.212E-013  0.000E+000  0.000E+000  3.782E-016  0.000E+000  0.000E+000  1.396E+003
   1.259E+016  1.422E+005  1.000E+001  4.452E+000  2.663E-003  4.611E-013  0.000E+000  0.000E+000  8.041E-016  0.000E+000  0.000E+000  1.397E+003
   1.413E+016  1.130E+005  1.000E+001  3.968E+000  4.678E-003  8.685E-013  0.000E+000  0.000E+000  1.564E-015  0.000E+000  0.000E+000  1.397E+003
   1.585E+016  8.974E+004  1.000E+001  3.537E+000  7.775E-003  1.553E-012  0.000E+000  0.000E+000  2.922E-015  0.000E+000  0.000E+000  1.398E+003
   1.778E+016  7.128E+004  1.000E+001  3.152E+000  1.230E-002  2.618E-012  0.000E+000  0.000E+000  5.199E-015  0.000E+000  0.000E+000  1.398E+003
   1.995E+016  5.662E+004  1.000E+001  2.809E+000  1.862E-002  4.214E-012  0.000E+000  0.000E+000  8.902E-015  0.000E+000  0.000E+000  1.398E+003
   2.239E+016  4.498E+004  1.000E+001  2.504E+000  2.708E-002  6.321E-012  0.000E+000  0.000E+000  1.424E-014  0.000E+000  0.000E+000  1.399E+003
   2.512E+016  3.573E+004  1.000E+001  2.231E+000  3.802E-002  9.415E-012  0.000E+000  0.000E+000  2.288E-014  0.000E+000  0.000E+000  1.399E+003
   2.818E+016  2.838E+004  1.000E+001  1.989E+000  5.169E-002  1.315E-011  0.000E+000  0.000E+000  3.444E-014  0.000E+000  0.000E+000  1.399E+003
   3.162E+016  2.254E+004  1.000E+001  1.773E+000  6.828E-002  1.793E-011  0.000E+000  0.000E+000  5.088E-014  0.000E+000  0.000E+000  1.400E+003
   3.548E+016  1.791E+004  1.000E+001  1.580E+000  8.787E-002  2.383E-011  0.000E+000  0.000E+000  7.363E-014  0.000E+000  0.000E+000  1.400E+003
   3.981E+016  1.422E+004  1.000E+001  1.408E+000  1.104E-001  3.095E-011  0.000E+000  0.000E+000  1.047E-013  0.000E+000  0.000E+000  1.400E+003
   4.467E+016  1.130E+004  1.000E+001  1.255E+000  1.358E-001  3.894E-011  0.000E+000  0.000E+000  1.441E-013  0.000E+000  0.000E+000  1.400E+003
   5.012E+016  8.974E+003  1.000E+001  1.118E+000  1.638E-001  4.791E-011  0.000E+000  0.000E+000  1.945E-013  0.000E+000  0.000E+000  1.400E+003
   5.623E+016  7.128E+003  1.000E+001  9.968E-001  1.942E-001  5.790E-011  0.000E+000  0.000E+000  2.586E-013  0.000E+000  0.000E+000  1.400E+003
   6.310E+016  5.662E+003  1.000E+001  8.884E-001  2.265E-001  6.889E-011  0.000E+000  0.000E+000  3.398E-013  0.000E+000  0.000E+000  1.400E+003
   7.079E+016  4.498E+003  1.000E+001  7.918E-001  2.605E-001  8.052E-011  0.000E+000  0.000E+000  4.393E-013  0.000E+000  0.000E+000  1.401E+003
   7.943E+016  3.573E+003  1.000E+001  7.056E-001  2.957E-001  9.228E-011  0.000E+000  0.000E+000  5.562E-013  0.000E+000  0.000E+000  1.401E+003
   8.913E+016  2.838E+003  1.000E+001  6.289E-001  3.318E-001  1.049E-010  0.000E+000  0.000E+000  7.021E-013  0.000E+000  0.000E+000  1.401E+003
   1.000E+017  2.254E+003  1.000E+001  5.605E-001  3.684E-001  1.178E-010  0.000E+000  0.000E+000  8.780E-013  0.000E+000  0.000E+000  1.401E+003
   1.122E+017  1.791E+003  1.000E+001  4.996E-001  4.051E-001  1.309E-010  0.000E+000  0.000E+000  1.091E-012  0.000E+000  0.000E+000  1.401E+003
   1.259E+017  1.422E+003  1.000E+001  4.452E-001  4.416E-001  1.442E-010  0.000E+000  0.000E+000  1.349E-012  0.000E+000  0.000E+000  1.401E+003
   1.413E+017  1.130E+003  1.000E+001  3.968E-001  4.776E-001  1.572E-010  0.000E+000  0.000E+000  1.654E-012  0.000E+000  0.000E+000  1.401E+003
