  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.500E-002  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.122E+014  7.741E-011  2.948E-016  1.023E-017  3.185E-018  2.783E-015  8.500E-002  3.490E-016  4.693E-020  2.770E-025  1.740E-015
   1.259E+014  1.526E-010  3.621E-016  1.329E-017  4.010E-018  3.450E-015  8.500E-002  4.363E-016  5.909E-020  5.453E-025  2.096E-015
   1.413E+014  2.377E-010  4.444E-016  1.725E-017  5.048E-018  4.275E-015  8.500E-002  5.451E-016  7.439E-020  7.768E-025  2.520E-015
   1.585E+014  3.339E-010  5.451E-016  2.236E-017  6.356E-018  5.294E-015  8.500E-002  6.807E-016  9.365E-020  1.004E-024  3.026E-015
   1.778E+014  4.432E-010  6.684E-016  2.895E-017  8.001E-018  6.552E-015  8.500E-002  8.499E-016  1.179E-019  1.263E-024  3.630E-015
   1.995E+014  5.692E-010  8.191E-016  3.740E-017  1.007E-017  8.105E-015  8.500E-002  1.061E-015  1.484E-019  1.578E-024  4.351E-015
   2.239E+014  7.161E-010  1.003E-015  4.820E-017  1.268E-017  1.002E-014  8.500E-002  1.323E-015  1.868E-019  1.973E-024  5.210E-015
   2.512E+014  8.885E-010  1.228E-015  6.195E-017  1.596E-017  1.238E-014  8.500E-002  1.650E-015  2.352E-019  2.472E-024  6.233E-015
   2.818E+014  1.092E-009  1.503E-015  7.937E-017  2.010E-017  1.528E-014  8.500E-002  2.056E-015  2.961E-019  3.108E-024  7.450E-015
   3.162E+014  1.333E-009  1.838E-015  1.014E-016  2.530E-017  1.886E-014  8.500E-002  2.561E-015  3.728E-019  3.921E-024  8.897E-015
   3.548E+014  1.616E-009  2.246E-015  1.291E-016  3.185E-017  2.326E-014  8.500E-002  3.189E-015  4.693E-019  4.966E-024  1.062E-014
   3.981E+014  1.950E-009  2.743E-015  1.640E-016  4.010E-017  2.866E-014  8.500E-002  3.968E-015  5.908E-019  6.315E-024  1.265E-014
   4.467E+014  2.341E-009  3.349E-015  2.078E-016  5.048E-017  3.529E-014  8.500E-002  4.935E-015  7.438E-019  8.063E-024  1.507E-014
   5.012E+014  2.798E-009  4.086E-015  2.627E-016  6.355E-017  4.342E-014  8.500E-002  6.135E-015  9.364E-019  1.034E-023  1.793E-014
   5.623E+014  3.328E-009  4.983E-015  3.317E-016  8.000E-017  5.339E-014  8.500E-002  7.622E-015  1.179E-018  1.330E-023  2.132E-014
   6.310E+014  3.943E-009  6.073E-015  4.182E-016  1.007E-016  6.560E-014  8.500E-002  9.464E-015  1.484E-018  1.719E-023  2.533E-014
   7.079E+014  4.654E-009  7.397E-015  5.269E-016  1.268E-016  8.053E-014  8.500E-002  1.174E-014  1.868E-018  2.230E-023  3.006E-014
   7.943E+014  5.472E-009  9.006E-015  6.635E-016  1.596E-016  9.878E-014  8.500E-002  1.456E-014  2.352E-018  2.903E-023  3.565E-014
   8.913E+014  6.413E-009  1.096E-014  8.352E-016  2.010E-016  1.211E-013  8.500E-002  1.805E-014  2.961E-018  3.791E-023  4.224E-014
   1.000E+015  7.490E-009  1.333E-014  1.051E-015  2.530E-016  1.482E-013  8.500E-002  2.235E-014  3.728E-018  4.967E-023  5.001E-014
   1.122E+015  8.723E-009  1.620E-014  1.323E-015  3.185E-016  1.813E-013  8.500E-002  2.766E-014  4.693E-018  6.526E-023  5.916E-014
   1.259E+015  1.013E-008  1.969E-014  1.665E-015  4.009E-016  2.215E-013  8.500E-002  3.420E-014  5.908E-018  8.597E-023  6.993E-014
   1.413E+015  1.173E-008  2.392E-014  2.094E-015  5.047E-016  2.704E-013  8.500E-002  4.227E-014  7.437E-018  1.135E-022  8.260E-014
   1.585E+015  1.355E-008  2.905E-014  2.635E-015  6.354E-016  3.297E-013  8.500E-002  5.219E-014  9.362E-018  1.502E-022  9.747E-014
   1.778E+015  1.561E-008  3.526E-014  3.315E-015  7.999E-016  4.016E-013  8.500E-002  6.438E-014  1.179E-017  1.991E-022  1.149E-013
   1.995E+015  1.795E-008  4.279E-014  4.170E-015  1.007E-015  4.884E-013  8.500E-002  7.936E-014  1.484E-017  2.644E-022  1.354E-013
   2.239E+015  2.059E-008  5.192E-014  5.245E-015  1.268E-015  5.932E-013  8.500E-002  9.775E-014  1.868E-017  3.515E-022  1.595E-013
   2.512E+015  2.358E-008  6.298E-014  6.596E-015  1.596E-015  7.193E-013  8.500E-002  1.203E-013  2.352E-017  4.679E-022  1.876E-013
   2.818E+015  2.694E-008  7.638E-014  8.294E-015  2.009E-015  8.709E-013  8.500E-002  1.479E-013  2.960E-017  6.234E-022  2.206E-013
   3.162E+015  3.074E-008  9.261E-014  1.043E-014  2.529E-015  1.053E-012  8.500E-002  1.817E-013  3.727E-017  8.313E-022  2.591E-013
   3.548E+015  3.500E-008  1.123E-013  1.311E-014  3.184E-015  1.270E-012  8.500E-002  2.230E-013  4.692E-017  1.109E-021  3.042E-013
   3.981E+015  3.978E-008  1.361E-013  1.648E-014  4.009E-015  1.528E-012  8.500E-002  2.734E-013  5.906E-017  1.480E-021  3.569E-013
   4.467E+015  4.516E-008  1.683E-013  2.071E-014  5.046E-015  1.882E-012  8.500E-002  3.399E-013  7.436E-017  1.999E-021  4.344E-013
   5.012E+015  5.120E-008  2.118E-013  2.601E-014  6.353E-015  2.370E-012  8.500E-002  4.278E-013  9.361E-017  2.821E-021  5.468E-013
   5.623E+015  5.816E-008  2.666E-013  3.266E-014  7.998E-015  2.983E-012  8.500E-002  5.386E-013  1.178E-016  4.066E-021  6.881E-013
   6.310E+015  6.657E-008  3.356E-013  4.097E-014  1.007E-014  3.755E-012  8.500E-002  6.780E-013  1.484E-016  6.099E-021  8.661E-013
   7.079E+015  7.781E-008  4.224E-013  5.131E-014  1.268E-014  4.727E-012  8.500E-002  8.534E-013  1.868E-016  9.951E-021  1.090E-012
   7.943E+015  9.532E-008  5.317E-013  6.402E-014  1.596E-014  5.951E-012  8.500E-002  1.074E-012  2.351E-016  1.859E-020  1.372E-012
   8.913E+015  1.270E-007  6.692E-013  7.933E-014  2.009E-014  7.491E-012  8.500E-002  1.352E-012  2.960E-016  4.065E-020  1.726E-012
   1.000E+016  1.899E-007  8.424E-013  9.708E-014  2.529E-014  9.430E-012  8.500E-002  1.702E-012  3.727E-016  1.015E-019  2.173E-012
   1.122E+016  3.175E-007  1.060E-012  1.163E-013  3.184E-014  1.187E-011  8.500E-002  2.143E-012  4.692E-016  2.756E-019  2.737E-012
   1.259E+016  5.721E-007  1.335E-012  1.348E-013  4.009E-014  1.495E-011  8.500E-002  2.697E-012  5.906E-016  7.754E-019  3.459E-012
   1.413E+016  1.061E-006  1.682E-012  1.491E-013  5.046E-014  1.882E-011  8.500E-002  3.394E-012  7.436E-016  2.167E-018  4.418E-012
   1.585E+016  1.956E-006  2.121E-012  1.556E-013  6.353E-014  2.372E-011  8.500E-002  4.272E-012  9.361E-016  5.871E-018  5.839E-012
   1.778E+016  3.513E-006  2.678E-012  1.524E-013  7.998E-014  2.993E-011  8.500E-002  5.375E-012  1.178E-015  1.545E-017  8.482E-012
   1.995E+016  6.081E-006  3.390E-012  1.406E-013  1.007E-013  3.782E-011  8.500E-002  6.762E-012  1.484E-015  4.047E-017  1.509E-011
   2.239E+016  1.007E-005  4.310E-012  1.234E-013  1.268E-013  4.790E-011  8.500E-002  8.501E-012  1.868E-015  1.091E-016  3.605E-011
   2.512E+016  1.585E-005  5.521E-012  1.048E-013  1.596E-013  6.080E-011  8.500E-002  1.067E-011  2.351E-015  3.024E-016  1.131E-010
   2.818E+016  2.361E-005  7.169E-012  8.767E-014  2.009E-013  7.739E-011  8.500E-002  1.334E-011  2.960E-015  8.174E-016  4.214E-010
   3.162E+016  3.324E-005  9.530E-012  7.344E-014  2.529E-013  9.866E-011  8.500E-002  1.661E-011  3.727E-015  2.110E-015  1.697E-009
   3.548E+016  4.431E-005  1.309E-011  6.182E-014  3.184E-013  1.250E-010  8.500E-002  2.071E-011  4.691E-015  5.301E-015  6.834E-009
   3.981E+016  5.644E-005  1.856E-011  5.221E-014  4.009E-013  1.548E-010  8.500E-002  2.615E-011  5.906E-015  1.268E-014  2.584E-008
   4.467E+016  6.964E-005  2.676E-011  4.428E-014  5.046E-013  1.829E-010  8.500E-002  3.394E-011  7.434E-015  2.718E-014  8.755E-008
   5.012E+016  8.476E-005  3.846E-011  3.786E-014  6.353E-013  2.026E-010  8.500E-002  4.550E-011  9.356E-015  5.081E-014  2.597E-007
   5.623E+016  1.033E-004  5.496E-011  3.279E-014  7.996E-013  2.095E-010  8.500E-002  6.260E-011  1.177E-014  8.392E-014  6.776E-007
   6.310E+016  1.268E-004  7.889E-011  2.894E-014  1.006E-012  2.054E-010  8.500E-002  8.699E-011  1.482E-014  1.247E-013  1.579E-006
   7.079E+016  1.552E-004  1.148E-010  2.619E-014  1.267E-012  1.971E-010  8.500E-002  1.198E-010  1.864E-014  1.690E-013  3.301E-006
   7.943E+016  1.863E-004  1.693E-010  2.426E-014  1.594E-012  1.893E-010  8.500E-002  1.625E-010  2.344E-014  2.111E-013  6.242E-006
   8.913E+016  2.158E-004  2.505E-010  2.284E-014  2.006E-012  1.828E-010  8.500E-002  2.174E-010  2.948E-014  2.443E-013  1.083E-005
   1.000E+017  2.397E-004  3.656E-010  2.172E-014  2.524E-012  1.780E-010  8.500E-002  2.877E-010  3.706E-014  2.622E-013  1.742E-005
   1.122E+017  2.560E-004  5.208E-010  2.077E-014  3.175E-012  1.754E-010  8.500E-002  3.778E-010  4.657E-014  2.608E-013  2.624E-005
   1.259E+017  2.657E-004  7.301E-010  1.994E-014  3.994E-012  1.750E-010  8.500E-002  4.943E-010  5.850E-014  2.410E-013  3.748E-005
   1.413E+017  2.714E-004  1.028E-009  1.921E-014  5.023E-012  1.767E-010  8.500E-002  6.470E-010  7.346E-014  2.069E-013  5.135E-005
   1.585E+017  2.753E-004  1.473E-009  1.858E-014  6.316E-012  1.809E-010  8.500E-002  8.493E-010  9.220E-014  1.643E-013  6.788E-005
   1.778E+017  2.787E-004  2.146E-009  1.804E-014  7.941E-012  1.887E-010  8.500E-002  1.118E-009  1.157E-013  1.202E-013  8.656E-005
   1.995E+017  2.819E-004  3.126E-009  1.759E-014  9.983E-012  2.013E-010  8.500E-002  1.474E-009  1.451E-013  8.306E-014  1.063E-004
   2.239E+017  2.850E-004  4.466E-009  1.719E-014  1.255E-011  2.191E-010  8.500E-002  1.945E-009  1.821E-013  5.831E-014  1.268E-004
   2.512E+017  2.879E-004  6.185E-009  1.683E-014  1.577E-011  2.406E-010  8.500E-002  2.574E-009  2.283E-013  4.550E-014  1.489E-004
   2.818E+017  2.908E-004  8.284E-009  1.649E-014  1.982E-011  2.631E-010  8.500E-002  3.438E-009  2.861E-013  4.050E-014  1.751E-004
   3.162E+017  2.937E-004  1.076E-008  1.616E-014  2.489E-011  2.842E-010  8.500E-002  4.670E-009  3.582E-013  3.969E-014  2.080E-004
   3.548E+017  2.966E-004  1.364E-008  1.585E-014  3.124E-011  3.023E-010  8.500E-002  6.510E-009  4.476E-013  4.116E-014  2.503E-004
   3.981E+017  2.997E-004  1.694E-008  1.555E-014  3.917E-011  3.165E-010  8.500E-002  9.439E-009  5.582E-013  4.409E-014  3.052E-004
   4.467E+017  3.029E-004  2.069E-008  1.528E-014  4.906E-011  3.265E-010  8.500E-002  1.452E-008  6.942E-013  4.811E-014  3.763E-004
   5.012E+017  3.064E-004  2.496E-008  1.504E-014  6.138E-011  3.371E-010  8.500E-002  2.426E-008  8.614E-013  3.982E-014  4.618E-004
   5.623E+017  3.099E-004  2.993E-008  1.488E-014  7.708E-011  4.021E-010  8.500E-002  3.929E-008  1.079E-012  8.034E-015  4.873E-004
   6.310E+017  3.134E-004  3.591E-008  1.473E-014  9.689E-011  5.046E-010  8.500E-002  5.625E-008  1.356E-012  5.224E-015  4.881E-004
   7.079E+017  3.169E-004  4.318E-008  1.458E-014  1.217E-010  6.333E-010  8.500E-002  7.507E-008  1.704E-012  3.550E-015  4.886E-004
   7.943E+017  3.203E-004  5.209E-008  1.444E-014  1.528E-010  7.944E-010  8.500E-002  9.610E-008  2.139E-012  2.386E-015  4.889E-004
   8.913E+017  3.238E-004  6.308E-008  1.429E-014  1.917E-010  9.959E-010  8.500E-002  1.197E-007  2.683E-012  1.587E-015  4.892E-004
   1.000E+018  3.273E-004  7.679E-008  1.416E-014  2.403E-010  1.247E-009  8.500E-002  1.462E-007  3.362E-012  1.045E-015  4.894E-004
   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          



   RADIUS      C           CH-         CH+         CH          CH2+        N+          CH2         N           CH3         NH          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.122E+014  1.537E-013  1.984E-020  1.759E-020  4.154E-017  1.407E-020  2.028E-020  2.019E-014  3.202E-013  1.260E-014  1.327E-015
   1.259E+014  1.711E-013  9.378E-020  2.190E-020  2.118E-016  1.755E-020  2.632E-020  4.042E-014  6.673E-013  4.540E-014  2.804E-015
   1.413E+014  1.910E-013  2.340E-019  2.788E-020  6.916E-016  2.235E-020  3.428E-020  5.612E-014  1.068E-012  9.824E-014  4.459E-015
   1.585E+014  2.140E-013  4.497E-019  3.568E-020  2.073E-015  2.860E-020  4.483E-020  6.766E-014  1.538E-012  1.654E-013  6.321E-015
   1.778E+014  2.405E-013  7.521E-019  4.573E-020  6.085E-015  3.664E-020  5.888E-020  7.388E-014  2.089E-012  2.453E-013  8.416E-015
   1.995E+014  2.713E-013  1.154E-018  5.864E-020  1.650E-014  4.697E-020  7.771E-020  6.929E-014  2.728E-012  3.407E-013  1.078E-014
   2.239E+014  3.072E-013  1.671E-018  7.522E-020  3.632E-014  6.025E-020  1.031E-019  5.153E-014  3.466E-012  4.581E-013  1.344E-014
   2.512E+014  3.494E-013  2.317E-018  9.653E-020  6.081E-014  7.731E-020  1.377E-019  3.298E-014  4.313E-012  6.052E-013  1.645E-014
