  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.500E-002  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.122E+014  1.648E-010  3.160E-016  6.884E-018  2.787E-018  2.735E-015  8.500E-002  3.214E-016  4.107E-020  4.806E-025  2.966E-016
   1.259E+014  2.564E-010  3.946E-016  8.755E-018  3.509E-018  3.429E-015  8.500E-002  4.039E-016  5.170E-020  1.292E-024  4.440E-016
   1.413E+014  3.355E-010  4.926E-016  1.114E-017  4.418E-018  4.297E-015  8.500E-002  5.075E-016  6.509E-020  2.389E-024  6.656E-016
   1.585E+014  4.170E-010  6.150E-016  1.417E-017  5.561E-018  5.385E-015  8.500E-002  6.377E-016  8.194E-020  3.782E-024  9.970E-016
   1.778E+014  5.086E-010  7.677E-016  1.803E-017  7.001E-018  6.748E-015  8.500E-002  8.013E-016  1.032E-019  5.544E-024  1.489E-015
   1.995E+014  6.163E-010  9.582E-016  2.294E-017  8.814E-018  8.456E-015  8.500E-002  1.007E-015  1.299E-019  7.798E-024  2.211E-015
   2.239E+014  7.455E-010  1.196E-015  2.920E-017  1.110E-017  1.059E-014  8.500E-002  1.265E-015  1.635E-019  1.072E-023  3.256E-015
   2.512E+014  9.010E-010  1.493E-015  3.717E-017  1.397E-017  1.327E-014  8.500E-002  1.589E-015  2.058E-019  1.456E-023  4.737E-015
   2.818E+014  1.088E-009  1.863E-015  4.733E-017  1.759E-017  1.663E-014  8.500E-002  1.997E-015  2.591E-019  1.964E-023  6.789E-015
   3.162E+014  1.310E-009  2.324E-015  6.027E-017  2.214E-017  2.083E-014  8.500E-002  2.508E-015  3.262E-019  2.639E-023  9.565E-015
   3.548E+014  1.574E-009  2.900E-015  7.675E-017  2.787E-017  2.609E-014  8.500E-002  3.151E-015  4.107E-019  3.541E-023  1.322E-014
   3.981E+014  1.886E-009  3.619E-015  9.776E-017  3.509E-017  3.268E-014  8.500E-002  3.958E-015  5.170E-019  4.745E-023  1.793E-014
   4.467E+014  2.253E-009  4.514E-015  1.245E-016  4.418E-017  4.093E-014  8.500E-002  4.971E-015  6.509E-019  6.355E-023  2.388E-014
   5.012E+014  2.683E-009  5.632E-015  1.587E-016  5.561E-017  5.126E-014  8.500E-002  6.244E-015  8.194E-019  8.506E-023  3.127E-014
   5.623E+014  3.183E-009  7.025E-015  2.022E-016  7.001E-017  6.419E-014  8.500E-002  7.842E-015  1.032E-018  1.138E-022  4.037E-014
   6.310E+014  3.763E-009  8.762E-015  2.576E-016  8.814E-017  8.037E-014  8.500E-002  9.848E-015  1.299E-018  1.521E-022  5.152E-014
   7.079E+014  4.432E-009  1.093E-014  3.283E-016  1.110E-016  1.006E-013  8.500E-002  1.237E-014  1.635E-018  2.033E-022  6.515E-014
   7.943E+014  5.200E-009  1.363E-014  4.184E-016  1.397E-016  1.260E-013  8.500E-002  1.553E-014  2.058E-018  2.715E-022  8.183E-014
   8.913E+014  6.079E-009  1.699E-014  5.333E-016  1.759E-016  1.577E-013  8.500E-002  1.950E-014  2.591E-018  3.624E-022  1.023E-013
   1.000E+015  7.086E-009  2.119E-014  6.796E-016  2.214E-016  1.974E-013  8.500E-002  2.449E-014  3.262E-018  4.837E-022  1.273E-013
   1.122E+015  8.240E-009  2.642E-014  8.662E-016  2.787E-016  2.471E-013  8.500E-002  3.075E-014  4.107E-018  6.452E-022  1.581E-013
   1.259E+015  9.565E-009  3.293E-014  1.104E-015  3.509E-016  3.092E-013  8.500E-002  3.860E-014  5.170E-018  8.604E-022  1.961E-013
   1.413E+015  1.109E-008  4.106E-014  1.407E-015  4.417E-016  3.869E-013  8.500E-002  4.846E-014  6.509E-018  1.147E-021  2.428E-013
   1.585E+015  1.284E-008  5.118E-014  1.793E-015  5.561E-016  4.842E-013  8.500E-002  6.083E-014  8.194E-018  1.529E-021  3.005E-013
   1.778E+015  1.486E-008  6.378E-014  2.285E-015  7.001E-016  6.058E-013  8.500E-002  7.636E-014  1.032E-017  2.037E-021  3.717E-013
   1.995E+015  1.717E-008  7.949E-014  2.911E-015  8.814E-016  7.579E-013  8.500E-002  9.585E-014  1.299E-017  2.715E-021  4.595E-013
   2.239E+015  1.983E-008  9.906E-014  3.707E-015  1.110E-015  9.482E-013  8.500E-002  1.203E-013  1.635E-017  3.617E-021  5.679E-013
   2.512E+015  2.287E-008  1.234E-013  4.721E-015  1.397E-015  1.186E-012  8.500E-002  1.510E-013  2.058E-017  4.818E-021  7.017E-013
   2.818E+015  2.635E-008  1.538E-013  6.011E-015  1.759E-015  1.483E-012  8.500E-002  1.895E-013  2.591E-017  6.416E-021  8.668E-013
   3.162E+015  3.031E-008  1.916E-013  7.651E-015  2.214E-015  1.855E-012  8.500E-002  2.378E-013  3.262E-017  8.544E-021  1.071E-012
   3.548E+015  3.481E-008  2.387E-013  9.735E-015  2.787E-015  2.320E-012  8.500E-002  2.984E-013  4.107E-017  1.138E-020  1.322E-012
   3.981E+015  3.993E-008  2.973E-013  1.238E-014  3.509E-015  2.901E-012  8.500E-002  3.744E-013  5.170E-017  1.514E-020  1.632E-012
   4.467E+015  4.574E-008  3.703E-013  1.574E-014  4.417E-015  3.627E-012  8.500E-002  4.697E-013  6.509E-017  2.015E-020  2.015E-012
   5.012E+015  5.233E-008  4.611E-013  2.000E-014  5.561E-015  4.534E-012  8.500E-002  5.892E-013  8.194E-017  2.682E-020  2.486E-012
   5.623E+015  5.983E-008  5.742E-013  2.539E-014  7.001E-015  5.668E-012  8.500E-002  7.391E-013  1.032E-016  3.573E-020  3.068E-012
   6.310E+015  6.854E-008  7.149E-013  3.222E-014  8.814E-015  7.084E-012  8.500E-002  9.271E-013  1.299E-016  4.780E-020  3.784E-012
   7.079E+015  7.916E-008  8.901E-013  4.083E-014  1.110E-014  8.854E-012  8.500E-002  1.163E-012  1.635E-016  6.476E-020  4.668E-012
   7.943E+015  9.355E-008  1.108E-012  5.162E-014  1.397E-014  1.106E-011  8.500E-002  1.458E-012  2.058E-016  9.064E-020  5.756E-012
   8.913E+015  1.164E-007  1.379E-012  6.501E-014  1.759E-014  1.382E-011  8.500E-002  1.829E-012  2.591E-016  1.359E-019  7.097E-012
   1.000E+016  1.587E-007  1.717E-012  8.126E-014  2.214E-014  1.727E-011  8.500E-002  2.293E-012  3.262E-016  2.287E-019  8.748E-012
   1.122E+016  2.441E-007  2.137E-012  1.002E-013  2.787E-014  2.157E-011  8.500E-002  2.875E-012  4.107E-016  4.482E-019  1.078E-011
   1.259E+016  4.196E-007  2.660E-012  1.206E-013  3.509E-014  2.695E-011  8.500E-002  3.605E-012  5.170E-016  1.020E-018  1.330E-011
   1.413E+016  7.725E-007  3.313E-012  1.398E-013  4.417E-014  3.366E-011  8.500E-002  4.520E-012  6.508E-016  2.583E-018  1.645E-011
   1.585E+016  1.455E-006  4.132E-012  1.536E-013  5.561E-014  4.204E-011  8.500E-002  5.666E-012  8.194E-016  6.843E-018  2.054E-011
   1.778E+016  2.714E-006  5.163E-012  1.580E-013  7.001E-014  5.252E-011  8.500E-002  7.104E-012  1.032E-015  1.792E-017  2.644E-011
   1.995E+016  4.925E-006  6.474E-012  1.520E-013  8.813E-014  6.565E-011  8.500E-002  8.910E-012  1.299E-015  4.516E-017  3.702E-011
   2.239E+016  8.616E-006  8.165E-012  1.382E-013  1.110E-013  8.216E-011  8.500E-002  1.118E-011  1.635E-015  1.101E-016  6.243E-011
   2.512E+016  1.444E-005  1.039E-011  1.208E-013  1.397E-013  1.030E-010  8.500E-002  1.405E-011  2.058E-015  2.694E-016  1.400E-010
   2.818E+016  2.308E-005  1.340E-011  1.035E-013  1.759E-013  1.294E-010  8.500E-002  1.769E-011  2.591E-015  6.942E-016  4.146E-010
   3.162E+016  3.494E-005  1.761E-011  8.833E-014  2.214E-013  1.628E-010  8.500E-002  2.234E-011  3.262E-015  1.929E-015  1.486E-009
   3.548E+016  4.980E-005  2.376E-011  7.623E-014  2.787E-013  2.043E-010  8.500E-002  2.828E-011  4.106E-015  5.552E-015  5.887E-009
   3.981E+016  6.672E-005  3.313E-011  6.727E-014  3.509E-013  2.533E-010  8.500E-002  3.588E-011  5.169E-015  1.541E-014  2.381E-008
   4.467E+016  8.456E-005  4.775E-011  6.106E-014  4.417E-013  3.052E-010  8.500E-002  4.568E-011  6.507E-015  3.894E-014  9.083E-008
   5.012E+016  1.030E-004  7.009E-011  5.737E-014  5.560E-013  3.497E-010  8.500E-002  5.856E-011  8.192E-015  8.550E-014  3.068E-007
   5.623E+016  1.229E-004  1.024E-010  5.587E-014  7.000E-013  3.743E-010  8.500E-002  7.585E-011  1.031E-014  1.595E-013  8.880E-007
   6.310E+016  1.460E-004  1.473E-010  5.639E-014  8.811E-013  3.743E-010  8.500E-002  9.909E-011  1.298E-014  2.553E-013  2.206E-006
   7.079E+016  1.735E-004  2.107E-010  5.844E-014  1.109E-012  3.583E-010  8.500E-002  1.297E-010  1.633E-014  3.569E-013  4.788E-006
   7.943E+016  2.042E-004  3.039E-010  6.098E-014  1.396E-012  3.400E-010  8.500E-002  1.690E-010  2.055E-014  4.434E-013  9.192E-006
