  **  PHYSICAL PARAMETERS  **


   RADIUS      n(Htot)     TEMP        A_UV EFF    RAD. EFF    C K(PH)     C K(IP)     C K(AP)     CO K(PH)    CO K(IP)    CO K(AP)    DELTA_AUV   
   1.000E+014  2.576E+009  1.103E+003  6.406E+002  2.669E-281  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  9.609E+002
   1.122E+014  2.046E+009  1.053E+003  5.709E+002  5.466E-251  5.955E-299  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.031E+003
   1.259E+014  1.625E+009  1.006E+003  5.088E+002  5.658E-224  3.923E-269  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.093E+003
   1.413E+014  1.291E+009  9.608E+002  4.535E+002  6.758E-200  8.779E-241  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.148E+003
   1.585E+014  1.026E+009  9.176E+002  4.042E+002  1.944E-178  1.224E-215  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.197E+003
   1.778E+014  8.146E+008  8.763E+002  3.602E+002  2.593E-159  9.025E-193  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.241E+003
   1.995E+014  6.471E+008  8.368E+002  3.211E+002  2.878E-142  1.039E-173  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.280E+003
   2.239E+014  5.140E+008  7.992E+002  2.861E+002  4.475E-127  1.049E-156  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.315E+003
   2.512E+014  4.083E+008  7.632E+002  2.550E+002  1.550E-113  2.502E-139  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.346E+003
   2.818E+014  3.243E+008  7.288E+002  2.273E+002  1.810E-101  8.025E-127  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.374E+003
   3.162E+014  2.576E+008  6.960E+002  2.026E+002  1.030E-090  2.882E-114  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.399E+003
   3.548E+014  2.046E+008  6.647E+002  1.805E+002  3.968E-081  2.098E-102  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.421E+003
   3.981E+014  1.625E+008  6.348E+002  1.609E+002  1.389E-072  7.240E-092  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.441E+003
   4.467E+014  1.291E+008  6.062E+002  1.434E+002  5.749E-065  2.514E-084  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.458E+003
   5.012E+014  1.026E+008  5.789E+002  1.278E+002  3.557E-058  1.091E-076  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.474E+003
   5.623E+014  8.146E+007  5.529E+002  1.139E+002  4.061E-052  1.907E-068  0.000E+000  0.000E+000  7.285E-056  0.000E+000  0.000E+000  1.488E+003
   6.310E+014  6.471E+007  5.280E+002  1.015E+002  1.033E-046  2.496E-063  0.000E+000  0.000E+000  1.334E-052  0.000E+000  0.000E+000  1.500E+003
   7.079E+014  5.140E+007  5.042E+002  9.049E+001  6.935E-042  1.610E-057  0.000E+000  0.000E+000  7.655E-049  0.000E+000  0.000E+000  1.511E+003
   7.943E+014  4.083E+007  4.815E+002  8.065E+001  1.424E-037  2.955E-052  0.000E+000  0.000E+000  2.213E-045  0.000E+000  0.000E+000  1.521E+003
   8.913E+014  3.243E+007  4.599E+002  7.188E+001  1.021E-033  1.859E-047  0.000E+000  0.000E+000  3.562E-042  0.000E+000  0.000E+000  1.530E+003
   1.000E+015  2.576E+007  4.392E+002  6.406E+001  2.863E-030  1.171E-043  0.000E+000  0.000E+000  1.349E-039  0.000E+000  0.000E+000  1.537E+003
   1.122E+015  2.046E+007  4.194E+002  5.709E+001  3.472E-027  1.417E-040  0.000E+000  0.000E+000  1.783E-037  0.000E+000  0.000E+000  1.544E+003
   1.259E+015  1.625E+007  4.005E+002  5.088E+001  1.988E-024  3.572E-037  0.000E+000  0.000E+000  4.232E-035  0.000E+000  0.000E+000  1.551E+003
   1.413E+015  1.291E+007  3.825E+002  4.535E+001  5.808E-022  3.613E-034  0.000E+000  0.000E+000  5.766E-033  0.000E+000  0.000E+000  1.556E+003
   1.585E+015  1.026E+007  3.653E+002  4.042E+001  9.282E-020  8.817E-032  0.000E+000  0.000E+000  3.054E-031  0.000E+000  0.000E+000  1.561E+003
   1.778E+015  8.146E+006  3.488E+002  3.602E+001  8.637E-018  1.734E-029  0.000E+000  0.000E+000  1.476E-029  0.000E+000  0.000E+000  1.565E+003
   1.995E+015  6.471E+006  3.331E+002  3.211E+001  4.951E-016  1.337E-027  0.000E+000  0.000E+000  3.789E-028  0.000E+000  0.000E+000  1.569E+003
   2.239E+015  5.140E+006  3.181E+002  2.861E+001  1.840E-014  9.315E-026  0.000E+000  0.000E+000  9.545E-027  0.000E+000  0.000E+000  1.573E+003
   2.512E+015  4.083E+006  3.038E+002  2.550E+001  4.641E-013  2.787E-024  0.000E+000  0.000E+000  1.325E-025  0.000E+000  0.000E+000  1.576E+003
   2.818E+015  3.243E+006  2.902E+002  2.273E+001  8.287E-012  8.248E-023  0.000E+000  0.000E+000  1.912E-024  0.000E+000  0.000E+000  1.579E+003
   3.162E+015  2.576E+006  2.771E+002  2.026E+001  1.088E-010  1.458E-021  0.000E+000  0.000E+000  1.917E-023  0.000E+000  0.000E+000  1.581E+003
   3.548E+015  2.046E+006  2.646E+002  1.805E+001  1.086E-009  2.136E-020  0.000E+000  0.000E+000  1.723E-022  0.000E+000  0.000E+000  1.583E+003
   3.981E+015  1.625E+006  2.527E+002  1.609E+001  8.513E-009  2.152E-019  0.000E+000  0.000E+000  1.180E-021  0.000E+000  0.000E+000  1.585E+003
   4.467E+015  1.291E+006  2.413E+002  1.434E+001  5.380E-008  1.955E-018  0.000E+000  0.000E+000  7.663E-021  0.000E+000  0.000E+000  1.587E+003
   5.012E+015  1.026E+006  2.305E+002  1.278E+001  2.809E-007  1.572E-017  0.000E+000  0.000E+000  4.642E-020  0.000E+000  0.000E+000  1.589E+003
   5.623E+015  8.146E+005  2.201E+002  1.139E+001  1.238E-006  7.119E-017  0.000E+000  0.000E+000  1.751E-019  0.000E+000  0.000E+000  1.590E+003
   6.310E+015  6.471E+005  2.102E+002  1.015E+001  4.695E-006  3.704E-016  0.000E+000  0.000E+000  7.653E-019  0.000E+000  0.000E+000  1.591E+003
   7.079E+015  5.140E+005  2.007E+002  9.049E+000  1.556E-005  1.260E-015  0.000E+000  0.000E+000  2.331E-018  0.000E+000  0.000E+000  1.592E+003
   7.943E+015  4.083E+005  1.917E+002  8.065E+000  4.571E-005  4.498E-015  0.000E+000  0.000E+000  7.563E-018  0.000E+000  0.000E+000  1.593E+003
   8.913E+015  3.243E+005  1.831E+002  7.188E+000  1.205E-004  1.361E-014  0.000E+000  0.000E+000  2.147E-017  0.000E+000  0.000E+000  1.594E+003
   1.000E+016  2.576E+005  1.748E+002  6.406E+000  2.884E-004  3.619E-014  0.000E+000  0.000E+000  5.496E-017  0.000E+000  0.000E+000  1.595E+003
   1.122E+016  2.046E+005  1.670E+002  5.709E+000  6.322E-004  9.323E-014  0.000E+000  0.000E+000  1.390E-016  0.000E+000  0.000E+000  1.596E+003
   1.259E+016  1.625E+005  1.595E+002  5.088E+000  1.281E-003  1.989E-013  0.000E+000  0.000E+000  2.971E-016  0.000E+000  0.000E+000  1.596E+003
   1.413E+016  1.291E+005  1.523E+002  4.535E+000  2.420E-003  4.150E-013  0.000E+000  0.000E+000  6.307E-016  0.000E+000  0.000E+000  1.597E+003
   1.585E+016  1.026E+005  1.454E+002  4.042E+000  4.291E-003  7.828E-013  0.000E+000  0.000E+000  1.226E-015  0.000E+000  0.000E+000  1.597E+003
   1.778E+016  8.146E+004  1.389E+002  3.602E+000  7.193E-003  1.419E-012  0.000E+000  0.000E+000  2.319E-015  0.000E+000  0.000E+000  1.598E+003
   1.995E+016  6.471E+004  1.326E+002  3.211E+000  1.147E-002  2.391E-012  0.000E+000  0.000E+000  4.111E-015  0.000E+000  0.000E+000  1.598E+003
   2.239E+016  5.140E+004  1.267E+002  2.861E+000  1.747E-002  3.855E-012  0.000E+000  0.000E+000  7.036E-015  0.000E+000  0.000E+000  1.599E+003
   2.512E+016  4.083E+004  1.210E+002  2.550E+000  2.557E-002  5.929E-012  0.000E+000  0.000E+000  1.156E-014  0.000E+000  0.000E+000  1.599E+003
   2.818E+016  3.243E+004  1.155E+002  2.273E+000  3.609E-002  8.823E-012  0.000E+000  0.000E+000  1.851E-014  0.000E+000  0.000E+000  1.599E+003
   3.162E+016  2.576E+004  1.103E+002  2.026E+000  4.932E-002  1.262E-011  0.000E+000  0.000E+000  2.865E-014  0.000E+000  0.000E+000  1.599E+003
   3.548E+016  2.046E+004  1.053E+002  1.805E+000  6.543E-002  1.730E-011  0.000E+000  0.000E+000  4.252E-014  0.000E+000  0.000E+000  1.600E+003
   3.981E+016  1.625E+004  1.006E+002  1.609E+000  8.454E-002  2.309E-011  0.000E+000  0.000E+000  6.181E-014  0.000E+000  0.000E+000  1.600E+003
   4.467E+016  1.291E+004  9.608E+001  1.434E+000  1.066E-001  2.958E-011  0.000E+000  0.000E+000  8.608E-014  0.000E+000  0.000E+000  1.600E+003
   5.012E+016  1.026E+004  9.176E+001  1.278E+000  1.316E-001  3.745E-011  0.000E+000  0.000E+000  1.193E-013  0.000E+000  0.000E+000  1.600E+003
   5.623E+016  8.146E+003  8.763E+001  1.139E+000  1.592E-001  4.635E-011  0.000E+000  0.000E+000  1.620E-013  0.000E+000  0.000E+000  1.600E+003
   6.310E+016  6.471E+003  8.368E+001  1.015E+000  1.892E-001  5.650E-011  0.000E+000  0.000E+000  2.179E-013  0.000E+000  0.000E+000  1.600E+003
   7.079E+016  5.140E+003  7.992E+001  9.049E-001  2.212E-001  6.709E-011  0.000E+000  0.000E+000  2.850E-013  0.000E+000  0.000E+000  1.601E+003
   7.943E+016  4.083E+003  7.632E+001  8.065E-001  2.550E-001  7.849E-011  0.000E+000  0.000E+000  3.684E-013  0.000E+000  0.000E+000  1.601E+003
   8.913E+016  3.243E+003  7.288E+001  7.188E-001  2.900E-001  9.026E-011  0.000E+000  0.000E+000  4.684E-013  0.000E+000  0.000E+000  1.601E+003
   1.000E+017  2.576E+003  6.960E+001  6.406E-001  3.260E-001  1.028E-010  0.000E+000  0.000E+000  5.929E-013  0.000E+000  0.000E+000  1.601E+003
   1.122E+017  2.046E+003  6.647E+001  5.709E-001  3.625E-001  1.160E-010  0.000E+000  0.000E+000  7.469E-013  0.000E+000  0.000E+000  1.601E+003
   1.259E+017  1.625E+003  6.348E+001  5.088E-001  3.992E-001  1.287E-010  0.000E+000  0.000E+000  9.243E-013  0.000E+000  0.000E+000  1.601E+003
   1.413E+017  1.291E+003  6.062E+001  4.535E-001  4.358E-001  1.423E-010  0.000E+000  0.000E+000  1.151E-012  0.000E+000  0.000E+000  1.601E+003
   1.585E+017  1.026E+003  5.789E+001  4.042E-001  4.719E-001  1.554E-010  0.000E+000  0.000E+000  1.415E-012  0.000E+000  0.000E+000  1.601E+003
   1.778E+017  8.146E+002  5.529E+001  3.602E-001  5.073E-001  1.681E-010  0.000E+000  0.000E+000  1.733E-012  0.000E+000  0.000E+000  1.601E+003
   1.995E+017  6.471E+002  5.280E+001  3.211E-001  5.417E-001  1.805E-010  0.000E+000  0.000E+000  2.120E-012  0.000E+000  0.000E+000  1.601E+003
   2.239E+017  5.140E+002  5.042E+001  2.861E-001  5.750E-001  1.922E-010  0.000E+000  0.000E+000  2.587E-012  0.000E+000  0.000E+000  1.601E+003
   2.512E+017  4.083E+002  4.815E+001  2.550E-001  6.069E-001  2.037E-010  0.000E+000  0.000E+000  3.192E-012  0.000E+000  0.000E+000  1.601E+003
   2.818E+017  3.243E+002  4.599E+001  2.273E-001  6.373E-001  2.150E-010  0.000E+000  0.000E+000  4.008E-012  0.000E+000  0.000E+000  1.601E+003
   3.162E+017  2.576E+002  4.392E+001  2.026E-001  6.662E-001  2.257E-010  0.000E+000  0.000E+000  5.139E-012  0.000E+000  0.000E+000  1.601E+003
   3.548E+017  2.046E+002  4.194E+001  1.805E-001  6.934E-001  2.358E-010  0.000E+000  0.000E+000  6.855E-012  0.000E+000  0.000E+000  1.601E+003
   3.981E+017  1.625E+002  4.005E+001  1.609E-001  7.189E-001  2.457E-010  0.000E+000  0.000E+000  9.955E-012  0.000E+000  0.000E+000  1.601E+003
   4.467E+017  1.291E+002  3.825E+001  1.434E-001  7.428E-001  2.542E-010  0.000E+000  0.000E+000  1.603E-011  0.000E+000  0.000E+000  1.601E+003
