  **  PHYSICAL PARAMETERS  **


   RADIUS      n(Htot)     TEMP        A_UV EFF    RAD. EFF    C K(PH)     C K(IP)     C K(AP)     CO K(PH)    CO K(IP)    CO K(AP)    DELTA_AUV   
   1.000E+014  1.127E+008  5.400E+002  2.803E+001  3.385E-014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  4.204E+001
   1.072E+014  9.816E+007  5.040E+002  2.616E+001  2.357E-013  1.184E-024  0.000E+000  0.000E+000  7.770E-026  0.000E+000  0.000E+000  4.391E+001
   1.148E+014  8.550E+007  4.703E+002  2.441E+001  1.444E-012  9.586E-024  0.000E+000  0.000E+000  3.984E-025  0.000E+000  0.000E+000  4.566E+001
   1.230E+014  7.446E+007  4.389E+002  2.278E+001  7.857E-012  7.306E-023  0.000E+000  0.000E+000  1.984E-024  0.000E+000  0.000E+000  4.728E+001
   1.318E+014  6.486E+007  4.096E+002  2.126E+001  3.826E-011  4.616E-022  0.000E+000  0.000E+000  8.663E-024  0.000E+000  0.000E+000  4.880E+001
   1.413E+014  5.649E+007  3.823E+002  1.984E+001  1.680E-010  2.405E-021  0.000E+000  0.000E+000  3.290E-023  0.000E+000  0.000E+000  5.022E+001
   1.514E+014  4.920E+007  3.568E+002  1.852E+001  6.700E-010  1.214E-020  0.000E+000  0.000E+000  1.236E-022  0.000E+000  0.000E+000  5.155E+001
   1.622E+014  4.285E+007  3.330E+002  1.728E+001  2.443E-009  5.321E-020  0.000E+000  0.000E+000  4.193E-022  0.000E+000  0.000E+000  5.278E+001
   1.738E+014  3.732E+007  3.107E+002  1.613E+001  8.195E-009  2.561E-019  0.000E+000  0.000E+000  1.560E-021  0.000E+000  0.000E+000  5.394E+001
   1.862E+014  3.250E+007  2.900E+002  1.505E+001  2.544E-008  9.920E-019  0.000E+000  0.000E+000  4.908E-021  0.000E+000  0.000E+000  5.501E+001
   1.995E+014  2.831E+007  2.706E+002  1.405E+001  7.347E-008  2.633E-018  0.000E+000  0.000E+000  1.130E-020  0.000E+000  0.000E+000  5.602E+001
   2.138E+014  2.466E+007  2.526E+002  1.311E+001  1.984E-007  9.362E-018  0.000E+000  0.000E+000  3.378E-020  0.000E+000  0.000E+000  5.696E+001
   2.291E+014  2.148E+007  2.357E+002  1.223E+001  5.034E-007  2.404E-017  0.000E+000  0.000E+000  7.690E-020  0.000E+000  0.000E+000  5.783E+001
   2.455E+014  1.870E+007  2.200E+002  1.142E+001  1.205E-006  7.604E-017  0.000E+000  0.000E+000  2.122E-019  0.000E+000  0.000E+000  5.865E+001
   2.630E+014  1.629E+007  2.053E+002  1.066E+001  2.731E-006  1.764E-016  0.000E+000  0.000E+000  4.491E-019  0.000E+000  0.000E+000  5.941E+001
   2.818E+014  1.419E+007  1.916E+002  9.944E+000  5.884E-006  4.579E-016  0.000E+000  0.000E+000  1.059E-018  0.000E+000  0.000E+000  6.012E+001
   3.020E+014  1.236E+007  1.788E+002  9.280E+000  1.209E-005  1.038E-015  0.000E+000  0.000E+000  2.231E-018  0.000E+000  0.000E+000  6.078E+001
   3.236E+014  1.076E+007  1.669E+002  8.661E+000  2.376E-005  2.133E-015  0.000E+000  0.000E+000  4.323E-018  0.000E+000  0.000E+000  6.140E+001
   3.467E+014  9.374E+006  1.557E+002  8.083E+000  4.481E-005  4.459E-015  0.000E+000  0.000E+000  8.574E-018  0.000E+000  0.000E+000  6.198E+001
   3.715E+014  8.165E+006  1.453E+002  7.543E+000  8.126E-005  8.398E-015  0.000E+000  0.000E+000  1.553E-017  0.000E+000  0.000E+000  6.252E+001
   3.981E+014  7.111E+006  1.356E+002  7.040E+000  1.421E-004  1.650E-014  0.000E+000  0.000E+000  2.948E-017  0.000E+000  0.000E+000  6.302E+001
   4.266E+014  6.194E+006  1.266E+002  6.570E+000  2.400E-004  2.986E-014  0.000E+000  0.000E+000  5.214E-017  0.000E+000  0.000E+000  6.349E+001
   4.571E+014  5.394E+006  1.181E+002  6.131E+000  3.925E-004  5.092E-014  0.000E+000  0.000E+000  8.760E-017  0.000E+000  0.000E+000  6.393E+001
   4.898E+014  4.698E+006  1.103E+002  5.722E+000  6.230E-004  8.950E-014  0.000E+000  0.000E+000  1.526E-016  0.000E+000  0.000E+000  6.434E+001
   5.248E+014  4.092E+006  1.029E+002  5.340E+000  9.612E-004  1.425E-013  0.000E+000  0.000E+000  2.426E-016  0.000E+000  0.000E+000  6.472E+001
   5.623E+014  3.564E+006  9.603E+001  4.984E+000  1.444E-003  2.249E-013  0.000E+000  0.000E+000  3.846E-016  0.000E+000  0.000E+000  6.508E+001
   6.026E+014  3.104E+006  8.962E+001  4.651E+000  2.116E-003  3.535E-013  0.000E+000  0.000E+000  6.106E-016  0.000E+000  0.000E+000  6.541E+001
   6.457E+014  2.704E+006  8.364E+001  4.341E+000  3.030E-003  5.481E-013  0.000E+000  0.000E+000  9.628E-016  0.000E+000  0.000E+000  6.572E+001
   6.918E+014  2.355E+006  7.805E+001  4.051E+000  4.246E-003  7.965E-013  0.000E+000  0.000E+000  1.427E-015  0.000E+000  0.000E+000  6.601E+001
   7.413E+014  2.051E+006  7.284E+001  3.781E+000  5.829E-003  1.108E-012  0.000E+000  0.000E+000  2.028E-015  0.000E+000  0.000E+000  6.628E+001
