  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.500E-002  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.072E+014  5.520E-011  5.716E-015  1.715E-016  5.810E-017  5.268E-014  8.500E-002  6.474E-015  8.561E-019  3.582E-024  3.403E-014
   1.148E+014  1.163E-010  6.470E-015  2.005E-016  6.671E-017  5.997E-014  8.500E-002  7.405E-015  9.829E-019  8.966E-024  3.885E-014
   1.230E+014  1.797E-010  7.323E-015  2.345E-016  7.659E-017  6.827E-014  8.500E-002  8.468E-015  1.129E-018  1.502E-023  4.394E-014
   1.318E+014  2.456E-010  8.286E-015  2.743E-016  8.794E-017  7.770E-014  8.500E-002  9.684E-015  1.296E-018  2.202E-023  4.941E-014
   1.413E+014  3.151E-010  9.374E-015  3.208E-016  1.010E-016  8.842E-014  8.500E-002  1.107E-014  1.488E-018  3.016E-023  5.538E-014
   1.514E+014  3.892E-010  1.060E-014  3.751E-016  1.159E-016  1.006E-013  8.500E-002  1.266E-014  1.708E-018  3.960E-023  6.196E-014
   1.622E+014  4.689E-010  1.199E-014  4.386E-016  1.331E-016  1.144E-013  8.500E-002  1.447E-014  1.961E-018  5.052E-023  6.924E-014
   1.738E+014  5.549E-010  1.356E-014  5.127E-016  1.528E-016  1.301E-013  8.500E-002  1.654E-014  2.252E-018  6.310E-023  7.733E-014
   1.862E+014  6.480E-010  1.533E-014  5.990E-016  1.755E-016  1.480E-013  8.500E-002  1.890E-014  2.585E-018  7.758E-023  8.633E-014
   1.995E+014  7.492E-010  1.733E-014  6.996E-016  2.015E-016  1.682E-013  8.500E-002  2.159E-014  2.968E-018  9.421E-023  9.633E-014
   2.138E+014  8.593E-010  1.958E-014  8.165E-016  2.313E-016  1.912E-013  8.500E-002  2.467E-014  3.408E-018  1.133E-022  1.075E-013
   2.291E+014  9.793E-010  2.213E-014  9.523E-016  2.656E-016  2.173E-013  8.500E-002  2.818E-014  3.913E-018  1.353E-022  1.198E-013
