  **  PHYSICAL PARAMETERS  **


   RADIUS      n(Htot)     TEMP        A_UV EFF    RAD. EFF    C K(PH)     C K(IP)     C K(AP)     CO K(PH)    CO K(IP)    CO K(AP)    DELTA_AUV   
   1.202E+015  1.040E+005  1.506E+002  3.108E-001  5.512E-001  1.834E-010  0.000E+000  0.000E+000  1.752E-012  0.000E+000  0.000E+000  9.031E+000
   1.288E+015  9.055E+004  1.435E+002  2.901E-001  5.711E-001  1.910E-010  0.000E+000  0.000E+000  1.953E-012  0.000E+000  0.000E+000  9.052E+000
   1.380E+015  7.887E+004  1.368E+002  2.707E-001  5.905E-001  1.984E-010  0.000E+000  0.000E+000  2.173E-012  0.000E+000  0.000E+000  9.071E+000
   1.479E+015  6.869E+004  1.303E+002  2.526E-001  6.094E-001  2.053E-010  0.000E+000  0.000E+000  2.400E-012  0.000E+000  0.000E+000  9.089E+000
   1.585E+015  5.983E+004  1.242E+002  2.358E-001  6.278E-001  2.116E-010  0.000E+000  0.000E+000  2.630E-012  0.000E+000  0.000E+000  9.106E+000
   1.698E+015  5.211E+004  1.183E+002  2.200E-001  6.456E-001  2.187E-010  0.000E+000  0.000E+000  2.921E-012  0.000E+000  0.000E+000  9.122E+000
   1.820E+015  4.538E+004  1.127E+002  2.054E-001  6.628E-001  2.251E-010  0.000E+000  0.000E+000  3.215E-012  0.000E+000  0.000E+000  9.137E+000
   1.950E+015  3.953E+004  1.074E+002  1.916E-001  6.795E-001  2.308E-010  0.000E+000  0.000E+000  3.508E-012  0.000E+000  0.000E+000  9.150E+000
   2.089E+015  3.443E+004  1.023E+002  1.789E-001  6.955E-001  2.366E-010  0.000E+000  0.000E+000  3.840E-012  0.000E+000  0.000E+000  9.163E+000
   2.239E+015  2.998E+004  9.749E+001  1.669E-001  7.110E-001  2.423E-010  0.000E+000  0.000E+000  4.201E-012  0.000E+000  0.000E+000  9.175E+000
   2.399E+015  2.611E+004  9.289E+001  1.558E-001  7.258E-001  2.478E-010  0.000E+000  0.000E+000  4.600E-012  0.000E+000  0.000E+000  9.186E+000
   2.570E+015  2.275E+004  8.850E+001  1.454E-001  7.401E-001  2.533E-010  0.000E+000  0.000E+000  5.041E-012  0.000E+000  0.000E+000  9.197E+000
