  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.500E-002  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.072E+014  6.677E-011  1.368E-015  3.572E-017  1.307E-017  1.228E-014  8.500E-002  1.480E-015  1.926E-019  1.215E-024  5.855E-015
   1.148E+014  1.333E-010  1.553E-015  4.163E-017  1.501E-017  1.401E-014  8.500E-002  1.694E-015  2.212E-019  2.698E-024  7.481E-015
   1.230E+014  1.997E-010  1.762E-015  4.852E-017  1.723E-017  1.597E-014  8.500E-002  1.940E-015  2.539E-019  4.449E-024  9.273E-015
   1.318E+014  2.672E-010  2.000E-015  5.657E-017  1.979E-017  1.822E-014  8.500E-002  2.220E-015  2.916E-019  6.484E-024  1.118E-014
   1.413E+014  3.366E-010  2.269E-015  6.596E-017  2.272E-017  2.077E-014  8.500E-002  2.542E-015  3.347E-019  8.819E-024  1.319E-014
   1.514E+014  4.086E-010  2.575E-015  7.692E-017  2.608E-017  2.369E-014  8.500E-002  2.909E-015  3.843E-019  1.148E-023  1.530E-014
   1.622E+014  4.838E-010  2.921E-015  8.971E-017  2.995E-017  2.700E-014  8.500E-002  3.329E-015  4.413E-019  1.448E-023  1.754E-014
   1.738E+014  5.631E-010  3.313E-015  1.046E-016  3.439E-017  3.078E-014  8.500E-002  3.810E-015  5.067E-019  1.788E-023  1.993E-014
   1.862E+014  6.474E-010  3.757E-015  1.221E-016  3.948E-017  3.508E-014  8.500E-002  4.360E-015  5.817E-019  2.170E-023  2.253E-014
   1.995E+014  7.378E-010  4.261E-015  1.424E-016  4.533E-017  3.998E-014  8.500E-002  4.989E-015  6.679E-019  2.602E-023  2.539E-014
   2.138E+014  8.356E-010  4.831E-015  1.661E-016  5.204E-017  4.556E-014  8.500E-002  5.707E-015  7.668E-019  3.089E-023  2.856E-014
   2.291E+014  9.420E-010  5.477E-015  1.938E-016  5.975E-017  5.190E-014  8.500E-002  6.529E-015  8.805E-019  3.641E-023  3.207E-014
   2.455E+014  1.058E-009  6.209E-015  2.260E-016  6.861E-017  5.913E-014  8.500E-002  7.469E-015  1.011E-018  4.268E-023  3.600E-014
   2.630E+014  1.185E-009  7.038E-015  2.635E-016  7.877E-017  6.734E-014  8.500E-002  8.542E-015  1.161E-018  4.982E-023  4.038E-014
   2.818E+014  1.323E-009  7.976E-015  3.072E-016  9.044E-017  7.669E-014  8.500E-002  9.770E-015  1.333E-018  5.797E-023  4.528E-014
   3.020E+014  1.474E-009  9.038E-015  3.581E-016  1.038E-016  8.733E-014  8.500E-002  1.117E-014  1.530E-018  6.728E-023  5.076E-014
   3.236E+014  1.638E-009  1.024E-014  4.172E-016  1.192E-016  9.942E-014  8.500E-002  1.277E-014  1.757E-018  7.797E-023  5.688E-014
   3.467E+014  1.816E-009  1.160E-014  4.859E-016  1.369E-016  1.132E-013  8.500E-002  1.461E-014  2.017E-018  9.024E-023  6.373E-014
   3.715E+014  2.010E-009  1.314E-014  5.656E-016  1.572E-016  1.288E-013  8.500E-002  1.670E-014  2.316E-018  1.044E-022  7.138E-014
   3.981E+014  2.220E-009  1.488E-014  6.580E-016  1.805E-016  1.466E-013  8.500E-002  1.909E-014  2.659E-018  1.206E-022  7.993E-014
   4.266E+014  2.447E-009  1.685E-014  7.651E-016  2.072E-016  1.668E-013  8.500E-002  2.181E-014  3.053E-018  1.394E-022  8.948E-014
   4.571E+014  2.693E-009  1.908E-014  8.890E-016  2.379E-016  1.897E-013  8.500E-002  2.493E-014  3.505E-018  1.611E-022  1.002E-013
