  **  PHYSICAL PARAMETERS  **


   RADIUS      n(Htot)     TEMP        A_UV EFF    RAD. EFF    C K(PH)     C K(IP)     C K(AP)     CO K(PH)    CO K(IP)    CO K(AP)    DELTA_AUV   
   1.000E+014  5.009E+008  7.256E+002  1.246E+002  9.316E-057  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.868E+002
   1.072E+014  4.363E+008  6.843E+002  1.162E+002  3.913E-053  8.303E-071  0.000E+000  0.000E+000  3.021E-057  0.000E+000  0.000E+000  1.952E+002
   1.148E+014  3.800E+008  6.452E+002  1.085E+002  9.468E-050  2.228E-066  0.000E+000  0.000E+000  1.926E-054  0.000E+000  0.000E+000  2.029E+002
   1.230E+014  3.310E+008  6.084E+002  1.012E+002  1.371E-046  6.034E-063  0.000E+000  0.000E+000  3.023E-052  0.000E+000  0.000E+000  2.102E+002
   1.318E+014  2.882E+008  5.737E+002  9.449E+001  1.231E-043  8.776E-060  0.000E+000  0.000E+000  3.321E-050  0.000E+000  0.000E+000  2.169E+002
   1.413E+014  2.511E+008  5.410E+002  8.818E+001  7.079E-041  1.412E-056  0.000E+000  0.000E+000  4.065E-048  0.000E+000  0.000E+000  2.232E+002
   1.514E+014  2.187E+008  5.102E+002  8.230E+001  2.689E-038  1.405E-053  0.000E+000  0.000E+000  3.794E-046  0.000E+000  0.000E+000  2.291E+002
   1.622E+014  1.904E+008  4.811E+002  7.680E+001  6.942E-036  1.236E-050  0.000E+000  0.000E+000  3.403E-044  0.000E+000  0.000E+000  2.346E+002
   1.738E+014  1.659E+008  4.536E+002  7.168E+001  1.249E-033  4.515E-048  0.000E+000  0.000E+000  1.767E-042  0.000E+000  0.000E+000  2.397E+002
   1.862E+014  1.445E+008  4.278E+002  6.689E+001  1.606E-031  1.006E-045  0.000E+000  0.000E+000  6.801E-041  0.000E+000  0.000E+000  2.445E+002
   1.995E+014  1.258E+008  4.034E+002  6.243E+001  1.507E-029  2.169E-043  0.000E+000  0.000E+000  2.644E-039  0.000E+000  0.000E+000  2.490E+002
   2.138E+014  1.096E+008  3.804E+002  5.826E+001  1.054E-027  2.743E-041  0.000E+000  0.000E+000  7.363E-038  0.000E+000  0.000E+000  2.531E+002
   2.291E+014  9.545E+007  3.587E+002  5.437E+001  5.596E-026  3.268E-039  0.000E+000  0.000E+000  2.029E-036  0.000E+000  0.000E+000  2.570E+002
   2.455E+014  8.313E+007  3.382E+002  5.074E+001  2.297E-024  2.633E-037  0.000E+000  0.000E+000  4.389E-035  0.000E+000  0.000E+000  2.607E+002
   2.630E+014  7.240E+007  3.189E+002  4.736E+001  7.404E-023  1.324E-035  0.000E+000  0.000E+000  7.006E-034  0.000E+000  0.000E+000  2.640E+002
   2.818E+014  6.306E+007  3.008E+002  4.420E+001  1.904E-021  7.312E-034  0.000E+000  0.000E+000  1.229E-032  0.000E+000  0.000E+000  2.672E+002
   3.020E+014  5.492E+007  2.836E+002  4.125E+001  3.960E-020  1.935E-032  0.000E+000  0.000E+000  1.305E-031  0.000E+000  0.000E+000  2.702E+002
   3.236E+014  4.784E+007  2.674E+002  3.849E+001  6.757E-019  5.790E-031  0.000E+000  0.000E+000  1.552E-030  0.000E+000  0.000E+000  2.729E+002
   3.467E+014  4.166E+007  2.522E+002  3.592E+001  9.574E-018  1.403E-029  0.000E+000  0.000E+000  1.622E-029  0.000E+000  0.000E+000  2.755E+002
   3.715E+014  3.629E+007  2.378E+002  3.353E+001  1.140E-016  2.250E-028  0.000E+000  0.000E+000  1.279E-028  0.000E+000  0.000E+000  2.779E+002
   3.981E+014  3.161E+007  2.242E+002  3.129E+001  1.154E-015  2.576E-027  0.000E+000  0.000E+000  7.991E-028  0.000E+000  0.000E+000  2.801E+002
   4.266E+014  2.753E+007  2.115E+002  2.920E+001  1.003E-014  3.065E-026  0.000E+000  0.000E+000  5.240E-027  0.000E+000  0.000E+000  2.822E+002
   4.571E+014  2.398E+007  1.994E+002  2.725E+001  7.563E-014  5.128E-025  0.000E+000  0.000E+000  4.569E-026  0.000E+000  0.000E+000  2.841E+002
   4.898E+014  2.088E+007  1.880E+002  2.543E+001  4.994E-013  3.600E-024  0.000E+000  0.000E+000  2.080E-025  0.000E+000  0.000E+000  2.860E+002
   5.248E+014  1.819E+007  1.773E+002  2.373E+001  2.913E-012  3.030E-023  0.000E+000  0.000E+000  1.111E-024  0.000E+000  0.000E+000  2.877E+002
   5.623E+014  1.584E+007  1.672E+002  2.215E+001  1.514E-011  1.684E-022  0.000E+000  0.000E+000  4.342E-024  0.000E+000  0.000E+000  2.892E+002
   6.026E+014  1.380E+007  1.577E+002  2.067E+001  7.061E-011  1.055E-021  0.000E+000  0.000E+000  1.898E-023  0.000E+000  0.000E+000  2.907E+002
   6.457E+014  1.202E+007  1.487E+002  1.929E+001  2.979E-010  6.235E-021  0.000E+000  0.000E+000  8.050E-023  0.000E+000  0.000E+000  2.921E+002
   6.918E+014  1.047E+007  1.402E+002  1.800E+001  1.145E-009  2.655E-020  0.000E+000  0.000E+000  2.651E-022  0.000E+000  0.000E+000  2.934E+002
   7.413E+014  9.115E+006  1.322E+002  1.680E+001  4.032E-009  9.546E-020  0.000E+000  0.000E+000  7.676E-022  0.000E+000  0.000E+000  2.946E+002
   7.943E+014  7.939E+006  1.247E+002  1.568E+001  1.310E-008  4.067E-019  0.000E+000  0.000E+000  2.593E-021  0.000E+000  0.000E+000  2.957E+002
   8.511E+014  6.915E+006  1.175E+002  1.463E+001  3.946E-008  1.315E-018  0.000E+000  0.000E+000  7.021E-021  0.000E+000  0.000E+000  2.968E+002
   9.120E+014  6.022E+006  1.108E+002  1.366E+001  1.108E-007  4.688E-018  0.000E+000  0.000E+000  2.089E-020  0.000E+000  0.000E+000  2.977E+002
   9.772E+014  5.245E+006  1.045E+002  1.275E+001  2.917E-007  1.416E-017  0.000E+000  0.000E+000  5.448E-020  0.000E+000  0.000E+000  2.987E+002
   1.047E+015  4.568E+006  9.856E+001  1.190E+001  7.223E-007  3.740E-017  0.000E+000  0.000E+000  1.275E-019  0.000E+000  0.000E+000  2.995E+002
   1.122E+015  3.979E+006  9.294E+001  1.110E+001  1.690E-006  1.079E-016  0.000E+000  0.000E+000  3.258E-019  0.000E+000  0.000E+000  3.003E+002
   1.202E+015  3.465E+006  8.764E+001  1.036E+001  3.752E-006  2.439E-016  0.000E+000  0.000E+000  6.753E-019  0.000E+000  0.000E+000  3.010E+002
   1.288E+015  3.018E+006  8.265E+001  9.669E+000  7.927E-006  5.767E-016  0.000E+000  0.000E+000  1.469E-018  0.000E+000  0.000E+000  3.017E+002
   1.380E+015  2.629E+006  7.793E+001  9.024E+000  1.599E-005  1.331E-015  0.000E+000  0.000E+000  3.150E-018  0.000E+000  0.000E+000  3.024E+002
   1.479E+015  2.290E+006  7.349E+001  8.421E+000  3.090E-005  3.261E-015  0.000E+000  0.000E+000  7.207E-018  0.000E+000  0.000E+000  3.030E+002
   1.585E+015  1.994E+006  6.930E+001  7.859E+000  5.732E-005  6.072E-015  0.000E+000  0.000E+000  1.288E-017  0.000E+000  0.000E+000  3.035E+002
   1.698E+015  1.737E+006  6.535E+001  7.335E+000  1.024E-004  1.125E-014  0.000E+000  0.000E+000  2.304E-017  0.000E+000  0.000E+000  3.041E+002
   1.820E+015  1.513E+006  6.162E+001  6.845E+000  1.765E-004  2.045E-014  0.000E+000  0.000E+000  4.075E-017  0.000E+000  0.000E+000  3.046E+002
   1.950E+015  1.318E+006  5.811E+001  6.388E+000  2.942E-004  3.748E-014  0.000E+000  0.000E+000  7.311E-017  0.000E+000  0.000E+000  3.050E+002
   2.089E+015  1.148E+006  5.479E+001  5.962E+000  4.752E-004  6.547E-014  0.000E+000  0.000E+000  1.261E-016  0.000E+000  0.000E+000  3.054E+002
   2.239E+015  9.995E+005  5.167E+001  5.564E+000  7.454E-004  1.092E-013  0.000E+000  0.000E+000  2.091E-016  0.000E+000  0.000E+000  3.058E+002
   2.399E+015  8.705E+005  4.872E+001  5.192E+000  1.138E-003  1.712E-013  0.000E+000  0.000E+000  3.282E-016  0.000E+000  0.000E+000  3.062E+002
   2.570E+015  7.582E+005  4.594E+001  4.846E+000  1.692E-003  2.714E-013  0.000E+000  0.000E+000  5.239E-016  0.000E+000  0.000E+000  3.066E+002
   2.754E+015  6.603E+005  4.332E+001  4.522E+000  2.455E-003  4.301E-013  0.000E+000  0.000E+000  8.415E-016  0.000E+000  0.000E+000  3.069E+002
   2.951E+015  5.751E+005  4.085E+001  4.221E+000  3.484E-003  6.262E-013  0.000E+000  0.000E+000  1.245E-015  0.000E+000  0.000E+000  3.072E+002
   3.162E+015  5.009E+005  3.852E+001  3.939E+000  4.841E-003  9.051E-013  0.000E+000  0.000E+000  1.839E-015  0.000E+000  0.000E+000  3.075E+002
   3.388E+015  4.363E+005  3.633E+001  3.676E+000  6.594E-003  1.290E-012  0.000E+000  0.000E+000  2.688E-015  0.000E+000  0.000E+000  3.077E+002
   3.631E+015  3.800E+005  3.425E+001  3.431E+000  8.817E-003  1.803E-012  0.000E+000  0.000E+000  3.870E-015  0.000E+000  0.000E+000  3.080E+002
   3.890E+015  3.310E+005  3.230E+001  3.202E+000  1.159E-002  2.457E-012  0.000E+000  0.000E+000  5.447E-015  0.000E+000  0.000E+000  3.082E+002
   4.169E+015  2.882E+005  3.046E+001  2.988E+000  1.499E-002  3.255E-012  0.000E+000  0.000E+000  7.466E-015  0.000E+000  0.000E+000  3.084E+002
   4.467E+015  2.511E+005  2.872E+001  2.789E+000  1.909E-002  4.237E-012  0.000E+000  0.000E+000  1.008E-014  0.000E+000  0.000E+000  3.086E+002
   4.786E+015  2.187E+005  2.708E+001  2.602E+000  2.398E-002  5.489E-012  0.000E+000  0.000E+000  1.359E-014  0.000E+000  0.000E+000  3.088E+002
   5.129E+015  1.904E+005  2.554E+001  2.429E+000  2.972E-002  7.082E-012  0.000E+000  0.000E+000  1.832E-014  0.000E+000  0.000E+000  3.090E+002
   5.495E+015  1.659E+005  2.408E+001  2.267E+000  3.638E-002  8.805E-012  0.000E+000  0.000E+000  2.375E-014  0.000E+000  0.000E+000  3.091E+002
   5.888E+015  1.445E+005  2.271E+001  2.115E+000  4.401E-002  1.095E-011  0.000E+000  0.000E+000  3.091E-014  0.000E+000  0.000E+000  3.093E+002
   6.310E+015  1.258E+005  2.142E+001  1.974E+000  5.267E-002  1.346E-011  0.000E+000  0.000E+000  3.990E-014  0.000E+000  0.000E+000  3.094E+002
   6.761E+015  1.096E+005  2.019E+001  1.842E+000  6.238E-002  1.647E-011  0.000E+000  0.000E+000  5.138E-014  0.000E+000  0.000E+000  3.096E+002
   7.244E+015  9.545E+004  1.904E+001  1.719E+000  7.317E-002  1.964E-011  0.000E+000  0.000E+000  6.438E-014  0.000E+000  0.000E+000  3.097E+002
   7.762E+015  8.313E+004  1.796E+001  1.605E+000  8.503E-002  2.307E-011  0.000E+000  0.000E+000  7.942E-014  0.000E+000  0.000E+000  3.098E+002
   8.318E+015  7.240E+004  1.693E+001  1.498E+000  9.798E-002  2.737E-011  0.000E+000  0.000E+000  9.972E-014  0.000E+000  0.000E+000  3.099E+002
   8.913E+015  6.306E+004  1.597E+001  1.398E+000  1.120E-001  3.178E-011  0.000E+000  0.000E+000  1.222E-013  0.000E+000  0.000E+000  3.100E+002
   9.550E+015  5.492E+004  1.506E+001  1.304E+000  1.270E-001  3.619E-011  0.000E+000  0.000E+000  1.463E-013  0.000E+000  0.000E+000  3.101E+002
   1.023E+016  4.784E+004  1.420E+001  1.217E+000  1.430E-001  4.126E-011  0.000E+000  0.000E+000  1.762E-013  0.000E+000  0.000E+000  3.102E+002
   1.096E+016  4.166E+004  1.339E+001  1.136E+000  1.599E-001  4.652E-011  0.000E+000  0.000E+000  2.098E-013  0.000E+000  0.000E+000  3.103E+002
   1.175E+016  3.629E+004  1.262E+001  1.060E+000  1.777E-001  5.238E-011  0.000E+000  0.000E+000  2.502E-013  0.000E+000  0.000E+000  3.103E+002
   1.259E+016  3.161E+004  1.190E+001  9.894E-001  1.962E-001  5.844E-011  0.000E+000  0.000E+000  2.956E-013  0.000E+000  0.000E+000  3.104E+002
   1.349E+016  2.753E+004  1.123E+001  9.234E-001  2.155E-001  6.538E-011  0.000E+000  0.000E+000  3.522E-013  0.000E+000  0.000E+000  3.105E+002
   1.445E+016  2.398E+004  1.059E+001  8.617E-001  2.354E-001  7.178E-011  0.000E+000  0.000E+000  4.091E-013  0.000E+000  0.000E+000  3.105E+002
   1.549E+016  2.088E+004  1.000E+001  8.042E-001  2.558E-001  7.851E-011  0.000E+000  0.000E+000  4.742E-013  0.000E+000  0.000E+000  3.106E+002
   1.660E+016  1.819E+004  1.000E+001  7.505E-001  2.767E-001  8.589E-011  0.000E+000  0.000E+000  5.521E-013  0.000E+000  0.000E+000  3.106E+002
   1.778E+016  1.584E+004  1.000E+001  7.004E-001  2.980E-001  9.339E-011  0.000E+000  0.000E+000  6.386E-013  0.000E+000  0.000E+000  3.107E+002
   1.905E+016  1.380E+004  1.000E+001  6.537E-001  3.196E-001  1.010E-010  0.000E+000  0.000E+000  7.344E-013  0.000E+000  0.000E+000  3.107E+002
   2.042E+016  1.202E+004  1.000E+001  6.101E-001  3.414E-001  1.087E-010  0.000E+000  0.000E+000  8.423E-013  0.000E+000  0.000E+000  3.108E+002
   2.188E+016  1.047E+004  1.000E+001  5.693E-001  3.634E-001  1.161E-010  0.000E+000  0.000E+000  9.541E-013  0.000E+000  0.000E+000  3.108E+002
   2.344E+016  9.115E+003  1.000E+001  5.313E-001  3.854E-001  1.241E-010  0.000E+000  0.000E+000  1.087E-012  0.000E+000  0.000E+000  3.109E+002
   2.512E+016  7.939E+003  1.000E+001  4.959E-001  4.074E-001  1.315E-010  0.000E+000  0.000E+000  1.225E-012  0.000E+000  0.000E+000  3.109E+002
   2.692E+016  6.915E+003  1.000E+001  4.628E-001  4.294E-001  1.395E-010  0.000E+000  0.000E+000  1.386E-012  0.000E+000  0.000E+000  3.109E+002
   2.884E+016  6.022E+003  1.000E+001  4.319E-001  4.512E-001  1.477E-010  0.000E+000  0.000E+000  1.569E-012  0.000E+000  0.000E+000  3.110E+002
   3.090E+016  5.245E+003  1.000E+001  4.031E-001  4.728E-001  1.550E-010  0.000E+000  0.000E+000  1.751E-012  0.000E+000  0.000E+000  3.110E+002
   3.311E+016  4.568E+003  1.000E+001  3.762E-001  4.941E-001  1.627E-010  0.000E+000  0.000E+000  1.962E-012  0.000E+000  0.000E+000  3.110E+002
   3.548E+016  3.979E+003  1.000E+001  3.511E-001  5.151E-001  1.705E-010  0.000E+000  0.000E+000  2.199E-012  0.000E+000  0.000E+000  3.110E+002
   3.802E+016  3.465E+003  1.000E+001  3.276E-001  5.357E-001  1.781E-010  0.000E+000  0.000E+000  2.461E-012  0.000E+000  0.000E+000  3.111E+002
   4.074E+016  3.018E+003  1.000E+001  3.058E-001  5.560E-001  1.851E-010  0.000E+000  0.000E+000  2.728E-012  0.000E+000  0.000E+000  3.111E+002
   4.365E+016  2.629E+003  1.000E+001  2.853E-001  5.758E-001  1.927E-010  0.000E+000  0.000E+000  3.050E-012  0.000E+000  0.000E+000  3.111E+002
   4.677E+016  2.290E+003  1.000E+001  2.663E-001  5.950E-001  1.995E-010  0.000E+000  0.000E+000  3.379E-012  0.000E+000  0.000E+000  3.111E+002
   5.012E+016  1.994E+003  1.000E+001  2.485E-001  6.138E-001  2.063E-010  0.000E+000  0.000E+000  3.745E-012  0.000E+000  0.000E+000  3.111E+002
   5.370E+016  1.737E+003  1.000E+001  2.319E-001  6.321E-001  2.131E-010  0.000E+000  0.000E+000  4.158E-012  0.000E+000  0.000E+000  3.112E+002
   5.754E+016  1.513E+003  1.000E+001  2.165E-001  6.497E-001  2.196E-010  0.000E+000  0.000E+000  4.611E-012  0.000E+000  0.000E+000  3.112E+002
   6.166E+016  1.318E+003  1.000E+001  2.020E-001  6.668E-001  2.258E-010  0.000E+000  0.000E+000  5.110E-012  0.000E+000  0.000E+000  3.112E+002
   6.607E+016  1.148E+003  1.000E+001  1.885E-001  6.833E-001  2.323E-010  0.000E+000  0.000E+000  5.706E-012  0.000E+000  0.000E+000  3.112E+002
   7.079E+016  9.995E+002  1.000E+001  1.759E-001  6.992E-001  2.379E-010  0.000E+000  0.000E+000  6.293E-012  0.000E+000  0.000E+000  3.112E+002
   7.586E+016  8.705E+002  1.000E+001  1.642E-001  7.146E-001  2.436E-010  0.000E+000  0.000E+000  7.002E-012  0.000E+000  0.000E+000  3.112E+002
   8.128E+016  7.582E+002  1.000E+001  1.532E-001  7.293E-001  2.492E-010  0.000E+000  0.000E+000  7.815E-012  0.000E+000  0.000E+000  3.112E+002
   8.710E+016  6.603E+002  1.000E+001  1.430E-001  7.434E-001  2.545E-010  0.000E+000  0.000E+000  8.720E-012  0.000E+000  0.000E+000  3.113E+002
   9.333E+016  5.751E+002  1.000E+001  1.335E-001  7.569E-001  2.593E-010  0.000E+000  0.000E+000  9.714E-012  0.000E+000  0.000E+000  3.113E+002
   1.000E+017  5.009E+002  1.000E+001  1.246E-001  7.699E-001  2.642E-010  0.000E+000  0.000E+000  1.094E-011  0.000E+000  0.000E+000  3.113E+002
   1.072E+017  4.363E+002  1.000E+001  1.162E-001  7.823E-001  2.689E-010  0.000E+000  0.000E+000  1.241E-011  0.000E+000  0.000E+000  3.113E+002
   1.148E+017  3.800E+002  1.000E+001  1.085E-001  7.941E-001  2.732E-010  0.000E+000  0.000E+000  1.405E-011  0.000E+000  0.000E+000  3.113E+002
   1.230E+017  3.310E+002  1.000E+001  1.012E-001  8.054E-001  2.773E-010  0.000E+000  0.000E+000  1.610E-011  0.000E+000  0.000E+000  3.113E+002
