  **  PHYSICAL PARAMETERS  **


   RADIUS      n(Htot)     TEMP        A_UV EFF    RAD. EFF    C K(PH)     C K(IP)     C K(AP)     CO K(PH)    CO K(IP)    CO K(AP)    DELTA_AUV   
   1.000E+014  6.011E+007  9.076E+002  1.495E+001  2.838E-008  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.242E+001
   1.072E+014  5.235E+007  8.647E+002  1.395E+001  8.139E-008  2.944E-018  0.000E+000  0.000E+000  4.665E-021  0.000E+000  0.000E+000  2.342E+001
   1.148E+014  4.560E+007  8.239E+002  1.302E+001  2.184E-007  9.371E-018  0.000E+000  0.000E+000  1.268E-020  0.000E+000  0.000E+000  2.435E+001
   1.230E+014  3.971E+007  7.850E+002  1.215E+001  5.507E-007  2.725E-017  0.000E+000  0.000E+000  3.218E-020  0.000E+000  0.000E+000  2.522E+001
   1.318E+014  3.459E+007  7.480E+002  1.134E+001  1.311E-006  7.417E-017  0.000E+000  0.000E+000  7.783E-020  0.000E+000  0.000E+000  2.603E+001
   1.413E+014  3.013E+007  7.127E+002  1.058E+001  2.955E-006  1.929E-016  0.000E+000  0.000E+000  1.824E-019  0.000E+000  0.000E+000  2.679E+001
   1.514E+014  2.624E+007  6.790E+002  9.875E+000  6.337E-006  4.708E-016  0.000E+000  0.000E+000  4.074E-019  0.000E+000  0.000E+000  2.749E+001
   1.622E+014  2.285E+007  6.470E+002  9.216E+000  1.296E-005  1.011E-015  0.000E+000  0.000E+000  8.164E-019  0.000E+000  0.000E+000  2.815E+001
   1.738E+014  1.990E+007  6.164E+002  8.601E+000  2.537E-005  2.300E-015  0.000E+000  0.000E+000  1.738E-018  0.000E+000  0.000E+000  2.877E+001
   1.862E+014  1.734E+007  5.873E+002  8.027E+000  4.764E-005  4.574E-015  0.000E+000  0.000E+000  3.293E-018  0.000E+000  0.000E+000  2.934E+001
   1.995E+014  1.510E+007  5.596E+002  7.491E+000  8.606E-005  8.863E-015  0.000E+000  0.000E+000  6.129E-018  0.000E+000  0.000E+000  2.988E+001
   2.138E+014  1.315E+007  5.332E+002  6.991E+000  1.499E-004  1.717E-014  0.000E+000  0.000E+000  1.149E-017  0.000E+000  0.000E+000  3.038E+001
   2.291E+014  1.145E+007  5.080E+002  6.525E+000  2.524E-004  3.272E-014  0.000E+000  0.000E+000  2.136E-017  0.000E+000  0.000E+000  3.084E+001
   2.455E+014  9.976E+006  4.840E+002  6.089E+000  4.117E-004  5.397E-014  0.000E+000  0.000E+000  3.477E-017  0.000E+000  0.000E+000  3.128E+001
   2.630E+014  8.689E+006  4.612E+002  5.683E+000  6.514E-004  9.488E-014  0.000E+000  0.000E+000  6.063E-017  0.000E+000  0.000E+000  3.169E+001
   2.818E+014  7.567E+006  4.394E+002  5.303E+000  1.002E-003  1.484E-013  0.000E+000  0.000E+000  9.476E-017  0.000E+000  0.000E+000  3.206E+001
   3.020E+014  6.591E+006  4.187E+002  4.949E+000  1.502E-003  2.423E-013  0.000E+000  0.000E+000  1.555E-016  0.000E+000  0.000E+000  3.242E+001
   3.236E+014  5.740E+006  3.989E+002  4.619E+000  2.196E-003  3.659E-013  0.000E+000  0.000E+000  2.373E-016  0.000E+000  0.000E+000  3.275E+001
   3.467E+014  5.000E+006  3.801E+002  4.311E+000  3.137E-003  5.576E-013  0.000E+000  0.000E+000  3.676E-016  0.000E+000  0.000E+000  3.306E+001
   3.715E+014  4.355E+006  3.621E+002  4.023E+000  4.387E-003  8.295E-013  0.000E+000  0.000E+000  5.586E-016  0.000E+000  0.000E+000  3.334E+001
   3.981E+014  3.793E+006  3.450E+002  3.755E+000  6.011E-003  1.174E-012  0.000E+000  0.000E+000  8.095E-016  0.000E+000  0.000E+000  3.361E+001
   4.266E+014  3.303E+006  3.288E+002  3.504E+000  8.082E-003  1.596E-012  0.000E+000  0.000E+000  1.130E-015  0.000E+000  0.000E+000  3.386E+001
   4.571E+014  2.877E+006  3.132E+002  3.270E+000  1.068E-002  2.197E-012  0.000E+000  0.000E+000  1.604E-015  0.000E+000  0.000E+000  3.410E+001
   4.898E+014  2.506E+006  2.985E+002  3.052E+000  1.388E-002  2.987E-012  0.000E+000  0.000E+000  2.259E-015  0.000E+000  0.000E+000  3.432E+001
   5.248E+014  2.182E+006  2.844E+002  2.848E+000  1.776E-002  3.961E-012  0.000E+000  0.000E+000  3.110E-015  0.000E+000  0.000E+000  3.452E+001
   5.623E+014  1.901E+006  2.709E+002  2.658E+000  2.239E-002  5.096E-012  0.000E+000  0.000E+000  4.154E-015  0.000E+000  0.000E+000  3.471E+001
   6.026E+014  1.656E+006  2.582E+002  2.481E+000  2.787E-002  6.557E-012  0.000E+000  0.000E+000  5.576E-015  0.000E+000  0.000E+000  3.489E+001
   6.457E+014  1.442E+006  2.460E+002  2.315E+000  3.424E-002  8.485E-012  0.000E+000  0.000E+000  7.571E-015  0.000E+000  0.000E+000  3.505E+001
   6.918E+014  1.256E+006  2.344E+002  2.161E+000  4.157E-002  1.030E-011  0.000E+000  0.000E+000  9.568E-015  0.000E+000  0.000E+000  3.521E+001
   7.413E+014  1.094E+006  2.233E+002  2.016E+000  4.991E-002  1.263E-011  0.000E+000  0.000E+000  1.229E-014  0.000E+000  0.000E+000  3.535E+001
   7.943E+014  9.527E+005  2.128E+002  1.882E+000  5.930E-002  1.562E-011  0.000E+000  0.000E+000  1.602E-014  0.000E+000  0.000E+000  3.549E+001
   8.511E+014  8.297E+005  2.027E+002  1.756E+000  6.975E-002  1.860E-011  0.000E+000  0.000E+000  2.001E-014  0.000E+000  0.000E+000  3.561E+001
   9.120E+014  7.227E+005  1.931E+002  1.639E+000  8.129E-002  2.226E-011  0.000E+000  0.000E+000  2.526E-014  0.000E+000  0.000E+000  3.573E+001
   9.772E+014  6.294E+005  1.840E+002  1.530E+000  9.390E-002  2.586E-011  0.000E+000  0.000E+000  3.080E-014  0.000E+000  0.000E+000  3.584E+001
   1.047E+015  5.482E+005  1.753E+002  1.427E+000  1.076E-001  3.029E-011  0.000E+000  0.000E+000  3.814E-014  0.000E+000  0.000E+000  3.594E+001
   1.122E+015  4.775E+005  1.671E+002  1.332E+000  1.223E-001  3.468E-011  0.000E+000  0.000E+000  4.596E-014  0.000E+000  0.000E+000  3.604E+001
   1.202E+015  4.159E+005  1.592E+002  1.243E+000  1.380E-001  3.966E-011  0.000E+000  0.000E+000  5.552E-014  0.000E+000  0.000E+000  3.612E+001
   1.288E+015  3.622E+005  1.517E+002  1.160E+000  1.546E-001  4.585E-011  0.000E+000  0.000E+000  6.844E-014  0.000E+000  0.000E+000  3.621E+001
   1.380E+015  3.155E+005  1.445E+002  1.083E+000  1.721E-001  5.095E-011  0.000E+000  0.000E+000  8.000E-014  0.000E+000  0.000E+000  3.628E+001
   1.479E+015  2.748E+005  1.377E+002  1.011E+000  1.904E-001  5.669E-011  0.000E+000  0.000E+000  9.401E-014  0.000E+000  0.000E+000  3.636E+001
   1.585E+015  2.393E+005  1.312E+002  9.431E-001  2.095E-001  6.305E-011  0.000E+000  0.000E+000  1.109E-013  0.000E+000  0.000E+000  3.642E+001
   1.698E+015  2.084E+005  1.250E+002  8.802E-001  2.292E-001  7.051E-011  0.000E+000  0.000E+000  1.325E-013  0.000E+000  0.000E+000  3.649E+001
   1.820E+015  1.815E+005  1.191E+002  8.214E-001  2.495E-001  7.707E-011  0.000E+000  0.000E+000  1.532E-013  0.000E+000  0.000E+000  3.655E+001
   1.950E+015  1.581E+005  1.135E+002  7.666E-001  2.703E-001  8.422E-011  0.000E+000  0.000E+000  1.779E-013  0.000E+000  0.000E+000  3.660E+001
   2.089E+015  1.377E+005  1.081E+002  7.154E-001  2.915E-001  9.126E-011  0.000E+000  0.000E+000  2.043E-013  0.000E+000  0.000E+000  3.665E+001
   2.239E+015  1.199E+005  1.030E+002  6.677E-001  3.130E-001  9.879E-011  0.000E+000  0.000E+000  2.352E-013  0.000E+000  0.000E+000  3.670E+001
   2.399E+015  1.045E+005  9.815E+001  6.231E-001  3.347E-001  1.060E-010  0.000E+000  0.000E+000  2.674E-013  0.000E+000  0.000E+000  3.674E+001
