  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.500E-002  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.072E+014  2.336E-010  1.191E-014  2.808E-016  1.089E-016  1.048E-013  8.500E-002  1.246E-014  1.605E-018  3.369E-023  2.427E-014
   1.148E+014  4.796E-010  1.355E-014  3.261E-016  1.251E-016  1.198E-013  8.500E-002  1.427E-014  1.843E-018  8.238E-023  3.304E-014
   1.230E+014  7.321E-010  1.541E-014  3.787E-016  1.436E-016  1.368E-013  8.500E-002  1.635E-014  2.116E-018  1.412E-022  4.451E-014
   1.318E+014  9.960E-010  1.753E-014  4.398E-016  1.649E-016  1.563E-013  8.500E-002  1.874E-014  2.430E-018  2.112E-022  5.910E-014
   1.413E+014  1.277E-009  1.994E-014  5.109E-016  1.893E-016  1.785E-013  8.500E-002  2.146E-014  2.790E-018  2.933E-022  7.710E-014
   1.514E+014  1.583E-009  2.269E-014  5.936E-016  2.174E-016  2.039E-013  8.500E-002  2.459E-014  3.203E-018  3.893E-022  9.860E-014
   1.622E+014  1.927E-009  2.580E-014  6.897E-016  2.496E-016  2.329E-013  8.500E-002  2.816E-014  3.677E-018  5.019E-022  1.235E-013
   1.738E+014  2.331E-009  2.934E-014  8.016E-016  2.866E-016  2.659E-013  8.500E-002  3.226E-014  4.222E-018  6.359E-022  1.514E-013
   1.862E+014  2.836E-009  3.337E-014  9.316E-016  3.290E-016  3.036E-013  8.500E-002  3.695E-014  4.848E-018  7.997E-022  1.822E-013
   1.995E+014  3.510E-009  3.794E-014  1.083E-015  3.777E-016  3.467E-013  8.500E-002  4.232E-014  5.566E-018  1.008E-021  2.157E-013
   2.138E+014  4.471E-009  4.313E-014  1.259E-015  4.337E-016  3.958E-013  8.500E-002  4.846E-014  6.390E-018  1.287E-021  2.519E-013
   2.291E+014  5.907E-009  4.903E-014  1.463E-015  4.980E-016  4.518E-013  8.500E-002  5.550E-014  7.337E-018  1.686E-021  2.910E-013
   2.455E+014  8.122E-009  5.574E-014  1.700E-015  5.717E-016  5.157E-013  8.500E-002  6.355E-014  8.424E-018  2.295E-021  3.336E-013
   2.630E+014  1.158E-008  6.336E-014  1.976E-015  6.564E-016  5.886E-013  8.500E-002  7.276E-014  9.672E-018  3.280E-021  3.802E-013
   2.818E+014  1.698E-008  7.201E-014  2.296E-015  7.537E-016  6.717E-013  8.500E-002  8.331E-014  1.111E-017  4.957E-021  4.315E-013
   3.020E+014  2.533E-008  8.183E-014  2.667E-015  8.654E-016  7.665E-013  8.500E-002  9.538E-014  1.275E-017  7.929E-021  4.884E-013
   3.236E+014  3.810E-008  9.299E-014  3.096E-015  9.936E-016  8.746E-013  8.500E-002  1.092E-013  1.464E-017  1.337E-020  5.518E-013
   3.467E+014  5.730E-008  1.057E-013  3.592E-015  1.141E-015  9.978E-013  8.500E-002  1.250E-013  1.681E-017  2.354E-020  6.227E-013
   3.715E+014  8.570E-008  1.200E-013  4.162E-015  1.310E-015  1.138E-012  8.500E-002  1.431E-013  1.930E-017  4.279E-020  7.022E-013
   3.981E+014  1.270E-007  1.364E-013  4.815E-015  1.504E-015  1.298E-012  8.500E-002  1.638E-013  2.216E-017  7.924E-020  7.918E-013
   4.266E+014  1.860E-007  1.549E-013  5.561E-015  1.727E-015  1.481E-012  8.500E-002  1.875E-013  2.544E-017  1.475E-019  8.929E-013
   4.571E+014  2.691E-007  1.760E-013  6.406E-015  1.982E-015  1.689E-012  8.500E-002  2.145E-013  2.921E-017  2.727E-019  1.008E-012
   4.898E+014  3.841E-007  1.999E-013  7.355E-015  2.276E-015  1.926E-012  8.500E-002  2.455E-013  3.354E-017  4.963E-019  1.140E-012
   5.248E+014  5.412E-007  2.271E-013  8.411E-015  2.613E-015  2.196E-012  8.500E-002  2.809E-013  3.851E-017  8.836E-019  1.295E-012
   5.623E+014  7.525E-007  2.581E-013  9.570E-015  3.000E-015  2.504E-012  8.500E-002  3.215E-013  4.421E-017  1.535E-018  1.479E-012
   6.026E+014  1.033E-006  2.933E-013  1.082E-014  3.445E-015  2.854E-012  8.500E-002  3.678E-013  5.076E-017  2.597E-018  1.709E-012
   6.457E+014  1.402E-006  3.333E-013  1.215E-014  3.955E-015  3.253E-012  8.500E-002  4.208E-013  5.828E-017  4.288E-018  2.007E-012
   6.918E+014  1.879E-006  3.790E-013  1.353E-014  4.541E-015  3.708E-012  8.500E-002  4.814E-013  6.691E-017  6.915E-018  2.416E-012
   7.413E+014  2.492E-006  4.312E-013  1.492E-014  5.214E-015  4.227E-012  8.500E-002  5.508E-013  7.683E-017  1.092E-017  3.008E-012
   7.943E+014  3.268E-006  4.909E-013  1.628E-014  5.987E-015  4.818E-012  8.500E-002  6.300E-013  8.821E-017  1.692E-017  3.908E-012
   8.511E+014  4.242E-006  5.593E-013  1.756E-014  6.873E-015  5.492E-012  8.500E-002  7.206E-013  1.013E-016  2.578E-017  5.327E-012
   9.120E+014  5.453E-006  6.378E-013  1.872E-014  7.892E-015  6.260E-012  8.500E-002  8.243E-013  1.163E-016  3.873E-017  7.631E-012
   9.772E+014  6.940E-006  7.281E-013  1.973E-014  9.061E-015  7.136E-012  8.500E-002  9.428E-013  1.335E-016  5.751E-017  1.144E-011
   1.047E+015  8.749E-006  8.322E-013  2.055E-014  1.040E-014  8.137E-012  8.500E-002  1.078E-012  1.533E-016  8.464E-017  1.781E-011
   1.122E+015  1.093E-005  9.527E-013  2.118E-014  1.194E-014  9.279E-012  8.500E-002  1.233E-012  1.760E-016  1.238E-016  2.856E-011
   1.202E+015  1.352E-005  1.092E-012  2.163E-014  1.371E-014  1.058E-011  8.500E-002  1.411E-012  2.021E-016  1.805E-016  4.678E-011
   1.288E+015  1.657E-005  1.255E-012  2.192E-014  1.575E-014  1.208E-011  8.500E-002  1.614E-012  2.320E-016  2.630E-016  7.782E-011
   1.380E+015  2.011E-005  1.444E-012  2.209E-014  1.808E-014  1.379E-011  8.500E-002  1.847E-012  2.664E-016  3.843E-016  1.310E-010
   1.479E+015  2.417E-005  1.666E-012  2.217E-014  2.076E-014  1.574E-011  8.500E-002  2.114E-012  3.058E-016  5.644E-016  2.224E-010
   1.585E+015  2.877E-005  1.927E-012  2.221E-014  2.383E-014  1.799E-011  8.500E-002  2.421E-012  3.511E-016  8.351E-016  3.807E-010
   1.698E+015  3.388E-005  2.234E-012  2.224E-014  2.736E-014  2.056E-011  8.500E-002  2.775E-012  4.032E-016  1.246E-015  6.562E-010
   1.820E+015  3.948E-005  2.597E-012  2.229E-014  3.142E-014  2.351E-011  8.500E-002  3.181E-012  4.629E-016  1.872E-015  1.138E-009
   1.950E+015  4.550E-005  3.030E-012  2.240E-014  3.607E-014  2.689E-011  8.500E-002  3.650E-012  5.315E-016  2.828E-015  1.984E-009
   2.089E+015  5.186E-005  3.546E-012  2.257E-014  4.142E-014  3.075E-011  8.500E-002  4.191E-012  6.102E-016  4.278E-015  3.470E-009
   2.239E+015  5.846E-005  4.166E-012  2.282E-014  4.755E-014  3.514E-011  8.500E-002  4.814E-012  7.006E-016  6.450E-015  6.077E-009
   2.399E+015  6.519E-005  4.914E-012  2.307E-014  5.460E-014  4.010E-011  8.500E-002  5.531E-012  8.044E-016  9.653E-015  1.062E-008
   2.570E+015  7.196E-005  5.821E-012  2.347E-014  6.269E-014  4.565E-011  8.500E-002  6.357E-012  9.236E-016  1.428E-014  1.845E-008
   2.754E+015  7.871E-005  6.926E-012  2.394E-014  7.197E-014  5.177E-011  8.500E-002  7.307E-012  1.060E-015  2.083E-014  3.172E-008
   2.951E+015  8.542E-005  8.272E-012  2.449E-014  8.263E-014  5.842E-011  8.500E-002  8.401E-012  1.217E-015  2.985E-014  5.371E-008
   3.162E+015  9.213E-005  9.911E-012  2.510E-014  9.487E-014  6.546E-011  8.500E-002  9.661E-012  1.398E-015  4.187E-014  8.919E-008
   3.388E+015  9.890E-005  1.190E-011  2.579E-014  1.089E-013  7.272E-011  8.500E-002  1.112E-011  1.605E-015  5.728E-014  1.447E-007
   3.631E+015  1.058E-004  1.430E-011  2.653E-014  1.251E-013  7.996E-011  8.500E-002  1.281E-011  1.842E-015  7.622E-014  2.289E-007
   3.890E+015  1.130E-004  1.716E-011  2.733E-014  1.436E-013  8.694E-011  8.500E-002  1.478E-011  2.115E-015  9.852E-014  3.523E-007
   4.169E+015  1.205E-004  2.057E-011  2.814E-014  1.649E-013  9.340E-011  8.500E-002  1.708E-011  2.429E-015  1.237E-013  5.279E-007
   4.467E+015  1.286E-004  2.460E-011  2.896E-014  1.893E-013  9.913E-011  8.500E-002  1.977E-011  2.788E-015  1.511E-013  7.706E-007
   4.786E+015  1.372E-004  2.935E-011  2.977E-014  2.173E-013  1.040E-010  8.500E-002  2.292E-011  3.201E-015  1.800E-013  1.098E-006
   5.129E+015  1.465E-004  3.497E-011  3.053E-014  2.495E-013  1.080E-010  8.500E-002  2.661E-011  3.675E-015  2.097E-013  1.530E-006
   5.495E+015  1.565E-004  4.165E-011  3.124E-014  2.864E-013  1.112E-010  8.500E-002  3.090E-011  4.219E-015  2.393E-013  2.088E-006
   5.888E+015  1.673E-004  4.964E-011  3.185E-014  3.288E-013  1.138E-010  8.500E-002  3.590E-011  4.843E-015  2.681E-013  2.797E-006
   6.310E+015  1.788E-004  5.927E-011  3.236E-014  3.775E-013  1.160E-010  8.500E-002  4.169E-011  5.559E-015  2.954E-013  3.682E-006
   6.761E+015  1.910E-004  7.093E-011  3.272E-014  4.334E-013  1.180E-010  8.500E-002  4.840E-011  6.382E-015  3.208E-013  4.766E-006
   7.244E+015  2.037E-004  8.510E-011  3.294E-014  4.976E-013  1.199E-010  8.500E-002  5.614E-011  7.325E-015  3.435E-013  6.076E-006
   7.762E+015  2.167E-004  1.023E-010  3.300E-014  5.712E-013  1.219E-010  8.500E-002  6.508E-011  8.408E-015  3.633E-013  7.636E-006
   8.318E+015  2.299E-004  1.233E-010  3.290E-014  6.558E-013  1.239E-010  8.500E-002  7.541E-011  9.651E-015  3.798E-013  9.474E-006
   8.913E+015  2.429E-004  1.487E-010  3.264E-014  7.528E-013  1.260E-010  8.500E-002  8.733E-011  1.108E-014  3.925E-013  1.162E-005
   9.550E+015  2.556E-004  1.792E-010  3.222E-014  8.642E-013  1.283E-010  8.500E-002  1.011E-010  1.271E-014  4.012E-013  1.409E-005
   1.023E+016  2.676E-004  2.155E-010  3.166E-014  9.921E-013  1.307E-010  8.500E-002  1.171E-010  1.459E-014  4.055E-013  1.692E-005
   1.096E+016  2.787E-004  2.579E-010  3.095E-014  1.139E-012  1.332E-010  8.500E-002  1.355E-010  1.675E-014  4.053E-013  2.012E-005
   1.175E+016  2.888E-004  3.067E-010  3.012E-014  1.307E-012  1.359E-010  8.500E-002  1.568E-010  1.922E-014  4.007E-013  2.372E-005
   1.259E+016  2.976E-004  3.617E-010  2.918E-014  1.501E-012  1.389E-010  8.500E-002  1.815E-010  2.205E-014  3.916E-013  2.771E-005
   1.349E+016  3.053E-004  4.231E-010  2.815E-014  1.722E-012  1.421E-010  8.500E-002  2.100E-010  2.530E-014  3.786E-013  3.212E-005
   1.445E+016  3.117E-004  4.907E-010  2.707E-014  1.977E-012  1.457E-010  8.500E-002  2.430E-010  2.903E-014  3.620E-013  3.694E-005
   1.549E+016  3.169E-004  5.650E-010  2.596E-014  2.269E-012  1.495E-010  8.500E-002  2.812E-010  3.331E-014  3.425E-013  4.220E-005
   1.660E+016  3.212E-004  6.472E-010  2.485E-014  2.604E-012  1.536E-010  8.500E-002  3.257E-010  3.822E-014  3.207E-013  4.791E-005
   1.778E+016  3.247E-004  7.393E-010  2.377E-014  2.989E-012  1.580E-010  8.500E-002  3.774E-010  4.384E-014  2.975E-013  5.411E-005
   1.905E+016  3.275E-004  8.443E-010  2.272E-014  3.431E-012  1.627E-010  8.500E-002  4.378E-010  5.028E-014  2.735E-013  6.085E-005
   2.042E+016  3.298E-004  9.659E-010  2.174E-014  3.937E-012  1.676E-010  8.500E-002  5.085E-010  5.767E-014  2.493E-013  6.817E-005
   2.188E+016  3.319E-004  1.109E-009  2.081E-014  4.518E-012  1.727E-010  8.500E-002  5.915E-010  6.613E-014  2.254E-013  7.612E-005
   2.344E+016  3.337E-004  1.278E-009  1.994E-014  5.184E-012  1.781E-010  8.500E-002  6.891E-010  7.582E-014  2.025E-013  8.478E-005
   2.512E+016  3.354E-004  1.480E-009  1.915E-014  5.949E-012  1.836E-010  8.500E-002  8.042E-010  8.692E-014  1.809E-013  9.419E-005
   2.692E+016  3.370E-004  1.718E-009  1.841E-014  6.825E-012  1.893E-010  8.500E-002  9.404E-010  9.963E-014  1.610E-013  1.044E-004
   2.884E+016  3.385E-004  1.999E-009  1.774E-014  7.830E-012  1.952E-010  8.500E-002  1.102E-009  1.142E-013  1.433E-013  1.155E-004
   3.090E+016  3.399E-004  2.326E-009  1.713E-014  8.982E-012  2.013E-010  8.500E-002  1.293E-009  1.308E-013  1.279E-013  1.276E-004
   3.311E+016  3.413E-004  2.704E-009  1.657E-014  1.030E-011  2.074E-010  8.500E-002  1.521E-009  1.498E-013  1.152E-013  1.408E-004
   3.548E+016  3.427E-004  3.136E-009  1.606E-014  1.182E-011  2.136E-010  8.500E-002  1.794E-009  1.716E-013  1.050E-013  1.553E-004
   3.802E+016  3.439E-004  3.625E-009  1.560E-014  1.355E-011  2.196E-010  8.500E-002  2.122E-009  1.964E-013  9.734E-014  1.714E-004
   4.074E+016  3.452E-004  4.173E-009  1.519E-014  1.554E-011  2.252E-010  8.500E-002  2.519E-009  2.248E-013  9.195E-014  1.893E-004
   4.365E+016  3.464E-004  4.781E-009  1.482E-014  1.781E-011  2.304E-010  8.500E-002  3.003E-009  2.571E-013  8.855E-014  2.094E-004
   4.677E+016  3.475E-004  5.452E-009  1.448E-014  2.041E-011  2.349E-010  8.500E-002  3.598E-009  2.938E-013  8.683E-014  2.322E-004
   5.012E+016  3.486E-004  6.187E-009  1.417E-014  2.339E-011  2.386E-010  8.500E-002  4.339E-009  3.356E-013  8.653E-014  2.582E-004
   5.370E+016  3.497E-004  6.988E-009  1.390E-014  2.678E-011  2.415E-010  8.500E-002  5.273E-009  3.831E-013  8.735E-014  2.878E-004
   5.754E+016  3.507E-004  7.857E-009  1.365E-014  3.067E-011  2.434E-010  8.500E-002  6.470E-009  4.368E-013  8.891E-014  3.218E-004
   6.166E+016  3.517E-004  8.795E-009  1.342E-014  3.510E-011  2.446E-010  8.500E-002  8.027E-009  4.975E-013  9.004E-014  3.604E-004
   6.607E+016  3.527E-004  9.811E-009  1.335E-014  4.017E-011  2.508E-010  8.500E-002  1.007E-008  5.669E-013  8.709E-014  4.028E-004
   7.079E+016  3.537E-004  1.093E-008  1.332E-014  4.598E-011  2.622E-010  8.500E-002  1.273E-008  6.463E-013  6.887E-014  4.434E-004
   7.586E+016  3.547E-004  1.215E-008  1.330E-014  5.267E-011  2.836E-010  8.500E-002  1.596E-008  7.383E-013  3.779E-014  4.712E-004
   8.128E+016  3.557E-004  1.351E-008  1.328E-014  6.039E-011  3.175E-010  8.500E-002  1.961E-008  8.455E-013  1.709E-014  4.830E-004
   8.710E+016  3.567E-004  1.500E-008  1.326E-014  6.927E-011  3.616E-010  8.500E-002  2.357E-008  9.695E-013  9.304E-015  4.866E-004
   9.333E+016  3.577E-004  1.667E-008  1.323E-014  7.945E-011  4.139E-010  8.500E-002  2.782E-008  1.112E-012  6.481E-015  4.876E-004
   1.000E+017  3.587E-004  1.852E-008  1.321E-014  9.112E-011  4.742E-010  8.500E-002  3.238E-008  1.275E-012  4.994E-015  4.881E-004
   1.072E+017  3.596E-004  2.058E-008  1.319E-014  1.045E-010  5.434E-010  8.500E-002  3.727E-008  1.462E-012  3.937E-015  4.884E-004
   1.148E+017  3.605E-004  2.288E-008  1.317E-014  1.198E-010  6.226E-010  8.500E-002  4.252E-008  1.676E-012  3.112E-015  4.886E-004
   1.230E+017  3.615E-004  2.545E-008  1.315E-014  1.373E-010  7.133E-010  8.500E-002  4.815E-008  1.921E-012  2.456E-015  4.888E-004
   1.318E+017  3.624E-004  2.835E-008  1.313E-014  1.573E-010  8.170E-010  8.500E-002  5.419E-008  2.201E-012  1.934E-015  4.890E-004
   1.413E+017  3.633E-004  3.161E-008  1.311E-014  1.802E-010  9.355E-010  8.500E-002  6.068E-008  2.521E-012  1.519E-015  4.892E-004
   1.514E+017  3.643E-004  3.531E-008  1.310E-014  2.064E-010  1.071E-009  8.500E-002  6.765E-008  2.887E-012  1.189E-015  4.893E-004
   1.622E+017  3.653E-004  3.951E-008  1.308E-014  2.363E-010  1.226E-009  8.500E-002  7.513E-008  3.305E-012  9.289E-016  4.894E-004
   1.738E+017  3.663E-004  4.429E-008  1.306E-014  2.704E-010  1.402E-009  8.500E-002  8.317E-008  3.782E-012  7.235E-016  4.895E-004
   1.862E+017  3.673E-004  4.977E-008  1.305E-014  3.092E-010  1.603E-009  8.500E-002  9.180E-008  4.326E-012  5.621E-016  4.896E-004
   1.995E+017  3.683E-004  5.606E-008  1.303E-014  3.535E-010  1.832E-009  8.500E-002  1.011E-007  4.944E-012  4.356E-016  4.896E-004
   2.138E+017  3.694E-004  6.333E-008  1.302E-014  4.038E-010  2.092E-009  8.500E-002  1.110E-007  5.648E-012  3.368E-016  4.897E-004
   2.291E+017  3.705E-004  7.174E-008  1.301E-014  4.610E-010  2.388E-009  8.500E-002  1.217E-007  6.448E-012  2.599E-016  4.897E-004
