  **  PHYSICAL PARAMETERS  **


   RADIUS      n(Htot)     TEMP        A_UV EFF    RAD. EFF    C K(PH)     C K(IP)     C K(AP)     CO K(PH)    CO K(IP)    CO K(AP)    DELTA_AUV   
   1.000E+014  1.803E+008  1.265E+003  4.484E+001  9.799E-022  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  6.726E+001
   1.072E+014  1.571E+008  1.239E+003  4.185E+001  2.129E-020  8.351E-033  0.000E+000  0.000E+000  3.947E-032  0.000E+000  0.000E+000  7.025E+001
   1.148E+014  1.368E+008  1.214E+003  3.906E+001  3.783E-019  2.807E-031  0.000E+000  0.000E+000  5.076E-031  0.000E+000  0.000E+000  7.305E+001
   1.230E+014  1.191E+008  1.189E+003  3.645E+001  5.567E-018  7.093E-030  0.000E+000  0.000E+000  5.442E-030  0.000E+000  0.000E+000  7.565E+001
   1.318E+014  1.038E+008  1.164E+003  3.402E+001  6.870E-017  1.108E-028  0.000E+000  0.000E+000  4.185E-029  0.000E+000  0.000E+000  7.809E+001
   1.413E+014  9.038E+007  1.140E+003  3.175E+001  7.188E-016  1.459E-027  0.000E+000  0.000E+000  2.891E-028  0.000E+000  0.000E+000  8.036E+001
   1.514E+014  7.872E+007  1.117E+003  2.963E+001  6.446E-015  1.909E-026  0.000E+000  0.000E+000  2.029E-027  0.000E+000  0.000E+000  8.248E+001
   1.622E+014  6.856E+007  1.094E+003  2.765E+001  5.004E-014  2.559E-025  0.000E+000  0.000E+000  1.484E-026  0.000E+000  0.000E+000  8.445E+001
   1.738E+014  5.971E+007  1.072E+003  2.580E+001  3.395E-013  1.774E-024  0.000E+000  0.000E+000  6.652E-026  0.000E+000  0.000E+000  8.630E+001
   1.862E+014  5.201E+007  1.050E+003  2.408E+001  2.031E-012  1.494E-023  0.000E+000  0.000E+000  3.531E-025  0.000E+000  0.000E+000  8.802E+001
   1.995E+014  4.530E+007  1.028E+003  2.247E+001  1.081E-011  1.282E-022  0.000E+000  0.000E+000  1.940E-024  0.000E+000  0.000E+000  8.963E+001
   2.138E+014  3.945E+007  1.007E+003  2.097E+001  5.153E-011  8.614E-022  0.000E+000  0.000E+000  8.950E-024  0.000E+000  0.000E+000  9.113E+001
   2.291E+014  3.436E+007  9.864E+002  1.957E+001  2.219E-010  3.255E-021  0.000E+000  0.000E+000  2.631E-023  0.000E+000  0.000E+000  9.253E+001
   2.455E+014  2.993E+007  9.662E+002  1.827E+001  8.693E-010  1.615E-020  0.000E+000  0.000E+000  9.768E-023  0.000E+000  0.000E+000  9.384E+001
   2.630E+014  2.607E+007  9.464E+002  1.705E+001  3.117E-009  7.229E-020  0.000E+000  0.000E+000  3.382E-022  0.000E+000  0.000E+000  9.506E+001
   2.818E+014  2.270E+007  9.270E+002  1.591E+001  1.029E-008  2.683E-019  0.000E+000  0.000E+000  1.014E-021  0.000E+000  0.000E+000  9.619E+001
