  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.500E-002  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.122E+014  6.738E-009  3.385E-014  8.479E-016  3.185E-016  3.019E-013  8.500E-002  3.619E-014  4.694E-018  7.488E-022  1.141E-013
   1.259E+014  2.040E-008  4.195E-014  1.087E-015  4.010E-016  3.768E-013  8.500E-002  4.538E-014  5.909E-018  3.371E-021  1.757E-013
   1.413E+014  4.680E-008  5.198E-014  1.394E-015  5.049E-016  4.701E-013  8.500E-002  5.691E-014  7.439E-018  1.170E-020  2.555E-013
   1.585E+014  9.561E-008  6.440E-014  1.784E-015  6.356E-016  5.864E-013  8.500E-002  7.136E-014  9.365E-018  3.721E-020  3.517E-013
   1.778E+014  1.821E-007  7.976E-014  2.281E-015  8.001E-016  7.313E-013  8.500E-002  8.946E-014  1.179E-017  1.102E-019  4.631E-013
   1.995E+014  3.293E-007  9.878E-014  2.905E-015  1.007E-015  9.117E-013  8.500E-002  1.121E-013  1.484E-017  3.025E-019  5.930E-013
   2.239E+014  5.707E-007  1.223E-013  3.684E-015  1.268E-015  1.136E-012  8.500E-002  1.405E-013  1.869E-017  7.685E-019  7.510E-013
   2.512E+014  9.534E-007  1.514E-013  4.636E-015  1.596E-015  1.416E-012  8.500E-002  1.761E-013  2.352E-017  1.811E-018  9.600E-013
   2.818E+014  1.541E-006  1.875E-013  5.774E-015  2.010E-015  1.764E-012  8.500E-002  2.206E-013  2.961E-017  3.991E-018  1.270E-012
   3.162E+014  2.415E-006  2.321E-013  7.087E-015  2.530E-015  2.197E-012  8.500E-002  2.764E-013  3.728E-017  8.296E-018  1.795E-012
   3.548E+014  3.680E-006  2.877E-013  8.539E-015  3.185E-015  2.735E-012  8.500E-002  3.463E-013  4.693E-017  1.641E-017  2.792E-012
   3.981E+014  5.460E-006  3.569E-013  1.006E-014  4.010E-015  3.405E-012  8.500E-002  4.337E-013  5.909E-017  3.114E-017  4.840E-012
   4.467E+014  7.905E-006  4.439E-013  1.156E-014  5.048E-015  4.240E-012  8.500E-002  5.432E-013  7.438E-017  5.720E-017  9.233E-012
   5.012E+014  1.119E-005  5.540E-013  1.296E-014  6.356E-015  5.280E-012  8.500E-002  6.804E-013  9.364E-017  1.028E-016  1.888E-011
   5.623E+014  1.549E-005  6.947E-013  1.419E-014  8.001E-015  6.578E-012  8.500E-002  8.521E-013  1.179E-016  1.826E-016  4.037E-011
   6.310E+014  2.104E-005  8.764E-013  1.524E-014  1.007E-014  8.199E-012  8.500E-002  1.067E-012  1.484E-016  3.247E-016  8.897E-011
   7.079E+014  2.801E-005  1.114E-012  1.616E-014  1.268E-014  1.023E-011  8.500E-002  1.337E-012  1.868E-016  5.843E-016  2.005E-010
   7.943E+014  3.657E-005  1.427E-012  1.706E-014  1.596E-014  1.277E-011  8.500E-002  1.677E-012  2.352E-016  1.072E-015  4.601E-010
   8.913E+014  4.679E-005  1.845E-012  1.807E-014  2.010E-014  1.596E-011  8.500E-002  2.104E-012  2.961E-016  2.004E-015  1.069E-009
   1.000E+015  5.857E-005  2.405E-012  1.932E-014  2.530E-014  1.994E-011  8.500E-002  2.645E-012  3.728E-016  3.781E-015  2.501E-009
   1.122E+015  7.166E-005  3.163E-012  2.087E-014  3.185E-014  2.491E-011  8.500E-002  3.331E-012  4.693E-016  7.092E-015  5.859E-009
   1.259E+015  8.555E-005  4.192E-012  2.270E-014  4.010E-014  3.105E-011  8.500E-002  4.203E-012  5.908E-016  1.301E-014  1.365E-008
   1.413E+015  9.967E-005  5.589E-012  2.478E-014  5.048E-014  3.850E-011  8.500E-002  5.313E-012  7.438E-016  2.309E-014  3.134E-008
   1.585E+015  1.135E-004  7.488E-012  2.710E-014  6.355E-014  4.728E-011  8.500E-002  6.724E-012  9.363E-016  3.941E-014  7.010E-008
   1.778E+015  1.268E-004  1.006E-011  2.969E-014  8.000E-014  5.712E-011  8.500E-002  8.518E-012  1.179E-015  6.425E-014  1.505E-007
   1.995E+015  1.398E-004  1.354E-011  3.249E-014  1.007E-013  6.743E-011  8.500E-002  1.080E-011  1.484E-015  9.915E-014  3.059E-007
   2.239E+015  1.529E-004  1.819E-011  3.556E-014  1.268E-013  7.732E-011  8.500E-002  1.373E-011  1.868E-015  1.436E-013  5.838E-007
   2.512E+015  1.667E-004  2.434E-011  3.857E-014  1.596E-013  8.599E-011  8.500E-002  1.749E-011  2.351E-015  1.947E-013  1.044E-006
   2.818E+015  1.817E-004  3.241E-011  4.125E-014  2.009E-013  9.306E-011  8.500E-002  2.231E-011  2.959E-015  2.483E-013  1.758E-006
   3.162E+015  1.983E-004  4.303E-011  4.334E-014  2.529E-013  9.876E-011  8.500E-002  2.849E-011  3.725E-015  3.003E-013  2.804E-006
   3.548E+015  2.164E-004  5.718E-011  4.470E-014  3.184E-013  1.037E-010  8.500E-002  3.635E-011  4.688E-015  3.474E-013  4.265E-006
   3.981E+015  2.358E-004  7.625E-011  4.525E-014  4.007E-013  1.086E-010  8.500E-002  4.631E-011  5.900E-015  3.875E-013  6.223E-006
   4.467E+015  2.560E-004  1.022E-010  4.505E-014  5.044E-013  1.136E-010  8.500E-002  5.893E-011  7.425E-015  4.189E-013  8.765E-006
   5.012E+015  2.761E-004  1.375E-010  4.418E-014  6.349E-013  1.190E-010  8.500E-002  7.492E-011  9.344E-015  4.404E-013  1.199E-005
   5.623E+015  2.954E-004  1.849E-010  4.274E-014  7.991E-013  1.247E-010  8.500E-002  9.522E-011  1.176E-014  4.509E-013  1.599E-005
   6.310E+015  3.128E-004  2.466E-010  4.080E-014  1.006E-012  1.309E-010  8.500E-002  1.210E-010  1.479E-014  4.497E-013  2.085E-005
   7.079E+015  3.278E-004  3.241E-010  3.846E-014  1.266E-012  1.375E-010  8.500E-002  1.538E-010  1.861E-014  4.367E-013  2.666E-005
   7.943E+015  3.399E-004  4.175E-010  3.587E-014  1.593E-012  1.449E-010  8.500E-002  1.955E-010  2.341E-014  4.131E-013  3.347E-005
   8.913E+015  3.491E-004  5.272E-010  3.315E-014  2.004E-012  1.529E-010  8.500E-002  2.486E-010  2.944E-014  3.809E-013  4.133E-005
   1.000E+016  3.559E-004  6.562E-010  3.048E-014  2.522E-012  1.618E-010  8.500E-002  3.166E-010  3.702E-014  3.428E-013  5.035E-005
   1.122E+016  3.608E-004  8.121E-010  2.795E-014  3.173E-012  1.713E-010  8.500E-002  4.041E-010  4.654E-014  3.017E-013  6.069E-005
   1.259E+016  3.645E-004  1.008E-009  2.565E-014  3.992E-012  1.815E-010  8.500E-002  5.176E-010  5.850E-014  2.602E-013  7.258E-005
   1.413E+016  3.675E-004  1.264E-009  2.360E-014  5.022E-012  1.922E-010  8.500E-002  6.656E-010  7.351E-014  2.208E-013  8.628E-005
   1.585E+016  3.702E-004  1.602E-009  2.181E-014  6.316E-012  2.033E-010  8.500E-002  8.602E-010  9.233E-014  1.851E-013  1.021E-004
   1.778E+016  3.727E-004  2.044E-009  2.026E-014  7.941E-012  2.147E-010  8.500E-002  1.118E-009  1.159E-013  1.549E-013  1.204E-004
   1.995E+016  3.751E-004  2.612E-009  1.893E-014  9.983E-012  2.263E-010  8.500E-002  1.461E-009  1.454E-013  1.313E-013  1.417E-004
   2.239E+016  3.773E-004  3.323E-009  1.779E-014  1.255E-011  2.377E-010  8.500E-002  1.923E-009  1.823E-013  1.147E-013  1.667E-004
   2.512E+016  3.794E-004  4.192E-009  1.683E-014  1.576E-011  2.482E-010  8.500E-002  2.554E-009  2.284E-013  1.046E-013  1.966E-004
   2.818E+016  3.815E-004  5.231E-009  1.602E-014  1.979E-011  2.571E-010  8.500E-002  3.434E-009  2.858E-013  1.000E-013  2.330E-004
