  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.500E-002  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.072E+014  8.410E-011  8.137E-016  1.819E-017  7.263E-018  7.083E-015  8.500E-002  8.353E-016  1.070E-019  6.604E-025  9.891E-016
   1.148E+014  1.604E-010  9.290E-016  2.104E-017  8.339E-018  8.107E-015  8.500E-002  9.578E-016  1.229E-019  1.658E-024  1.278E-015
   1.230E+014  2.312E-010  1.061E-015  2.432E-017  9.575E-018  9.280E-015  8.500E-002  1.098E-015  1.411E-019  3.023E-024  1.650E-015
   1.318E+014  2.999E-010  1.211E-015  2.813E-017  1.099E-017  1.062E-014  8.500E-002  1.259E-015  1.620E-019  4.779E-024  2.128E-015
   1.413E+014  3.688E-010  1.382E-015  3.253E-017  1.262E-017  1.216E-014  8.500E-002  1.444E-015  1.860E-019  6.942E-024  2.739E-015
   1.514E+014  4.400E-010  1.578E-015  3.762E-017  1.449E-017  1.391E-014  8.500E-002  1.656E-015  2.135E-019  9.531E-024  3.517E-015
   1.622E+014  5.149E-010  1.801E-015  4.351E-017  1.664E-017  1.593E-014  8.500E-002  1.899E-015  2.452E-019  1.258E-023  4.498E-015
   1.738E+014  5.947E-010  2.056E-015  5.033E-017  1.910E-017  1.823E-014  8.500E-002  2.177E-015  2.815E-019  1.615E-023  5.727E-015
   1.862E+014  6.804E-010  2.347E-015  5.822E-017  2.193E-017  2.086E-014  8.500E-002  2.496E-015  3.232E-019  2.031E-023  7.251E-015
   1.995E+014  7.727E-010  2.678E-015  6.735E-017  2.518E-017  2.387E-014  8.500E-002  2.862E-015  3.711E-019  2.517E-023  9.120E-015
   2.138E+014  8.724E-010  3.057E-015  7.791E-017  2.891E-017  2.731E-014  8.500E-002  3.281E-015  4.260E-019  3.084E-023  1.139E-014
   2.291E+014  9.800E-010  3.489E-015  9.014E-017  3.320E-017  3.126E-014  8.500E-002  3.762E-015  4.892E-019  3.748E-023  1.410E-014
   2.455E+014  1.096E-009  3.982E-015  1.043E-016  3.812E-017  3.577E-014  8.500E-002  4.313E-015  5.616E-019  4.527E-023  1.732E-014
   2.630E+014  1.222E-009  4.544E-015  1.207E-016  4.376E-017  4.092E-014  8.500E-002  4.944E-015  6.448E-019  5.443E-023  2.108E-014
   2.818E+014  1.357E-009  5.186E-015  1.397E-016  5.025E-017  4.683E-014  8.500E-002  5.668E-015  7.404E-019  6.521E-023  2.543E-014
   3.020E+014  1.503E-009  5.918E-015  1.616E-016  5.769E-017  5.358E-014  8.500E-002  6.498E-015  8.500E-019  7.793E-023  3.043E-014
   3.236E+014  1.659E-009  6.753E-015  1.870E-016  6.624E-017  6.130E-014  8.500E-002  7.449E-015  9.760E-019  9.293E-023  3.612E-014
   3.467E+014  1.828E-009  7.705E-015  2.165E-016  7.605E-017  7.013E-014  8.500E-002  8.539E-015  1.121E-018  1.106E-022  4.256E-014
   3.715E+014  2.008E-009  8.792E-015  2.505E-016  8.732E-017  8.023E-014  8.500E-002  9.789E-015  1.287E-018  1.316E-022  4.982E-014
   3.981E+014  2.202E-009  1.003E-014  2.900E-016  1.003E-016  9.178E-014  8.500E-002  1.122E-014  1.477E-018  1.563E-022  5.798E-014
   4.266E+014  2.409E-009  1.144E-014  3.357E-016  1.151E-016  1.050E-013  8.500E-002  1.286E-014  1.696E-018  1.855E-022  6.714E-014
   4.571E+014  2.630E-009  1.306E-014  3.885E-016  1.322E-016  1.201E-013  8.500E-002  1.474E-014  1.947E-018  2.200E-022  7.741E-014
   4.898E+014  2.867E-009  1.490E-014  4.498E-016  1.517E-016  1.374E-013  8.500E-002  1.690E-014  2.236E-018  2.607E-022  8.895E-014
   5.248E+014  3.119E-009  1.699E-014  5.206E-016  1.742E-016  1.571E-013  8.500E-002  1.937E-014  2.567E-018  3.089E-022  1.019E-013
   5.623E+014  3.389E-009  1.939E-014  6.027E-016  2.000E-016  1.797E-013  8.500E-002  2.220E-014  2.947E-018  3.658E-022  1.165E-013
   6.026E+014  3.677E-009  2.211E-014  6.976E-016  2.297E-016  2.056E-013  8.500E-002  2.544E-014  3.384E-018  4.330E-022  1.329E-013
