  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.500E-002  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.072E+014  6.343E-011  1.157E-015  3.391E-017  1.162E-017  1.061E-014  8.500E-002  1.299E-015  1.712E-019  9.177E-025  6.782E-015
   1.148E+014  1.264E-010  1.310E-015  3.966E-017  1.334E-017  1.208E-014  8.500E-002  1.486E-015  1.966E-019  2.001E-024  7.834E-015
   1.230E+014  1.886E-010  1.483E-015  4.639E-017  1.532E-017  1.375E-014  8.500E-002  1.700E-015  2.257E-019  3.236E-024  8.923E-015
   1.318E+014  2.520E-010  1.678E-015  5.427E-017  1.759E-017  1.565E-014  8.500E-002  1.944E-015  2.592E-019  4.613E-024  1.008E-014
   1.413E+014  3.185E-010  1.899E-015  6.349E-017  2.019E-017  1.781E-014  8.500E-002  2.223E-015  2.975E-019  6.127E-024  1.132E-014
   1.514E+014  3.902E-010  2.148E-015  7.428E-017  2.319E-017  2.027E-014  8.500E-002  2.541E-015  3.416E-019  7.779E-024  1.268E-014
   1.622E+014  4.686E-010  2.430E-015  8.689E-017  2.662E-017  2.306E-014  8.500E-002  2.905E-015  3.922E-019  9.576E-024  1.419E-014
   1.738E+014  5.548E-010  2.748E-015  1.016E-016  3.056E-017  2.623E-014  8.500E-002  3.321E-015  4.504E-019  1.153E-023  1.586E-014
   1.862E+014  6.499E-010  3.108E-015  1.188E-016  3.509E-017  2.983E-014  8.500E-002  3.796E-015  5.171E-019  1.368E-023  1.771E-014
   1.995E+014  7.546E-010  3.514E-015  1.389E-016  4.029E-017  3.392E-014  8.500E-002  4.338E-015  5.937E-019  1.605E-023  1.977E-014
   2.138E+014  8.696E-010  3.972E-015  1.623E-016  4.626E-017  3.856E-014  8.500E-002  4.956E-015  6.816E-019  1.867E-023  2.206E-014
