  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.500E-002  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.072E+014  1.381E-007  8.798E-014  1.613E-015  7.263E-016  7.388E-013  8.500E-002  8.488E-014  1.070E-017  1.064E-020  1.941E-014
   1.148E+014  3.186E-007  1.006E-013  1.860E-015  8.339E-016  8.466E-013  8.500E-002  9.738E-014  1.229E-017  3.790E-020  2.365E-014
   1.230E+014  5.489E-007  1.151E-013  2.154E-015  9.575E-016  9.701E-013  8.500E-002  1.117E-013  1.411E-017  9.142E-020  2.888E-014
   1.318E+014  8.390E-007  1.317E-013  2.502E-015  1.099E-015  1.112E-012  8.500E-002  1.282E-013  1.620E-017  1.896E-019  3.537E-014
   1.413E+014  1.201E-006  1.506E-013  2.913E-015  1.262E-015  1.274E-012  8.500E-002  1.470E-013  1.860E-017  3.649E-019  4.353E-014
   1.514E+014  1.646E-006  1.723E-013  3.398E-015  1.449E-015  1.460E-012  8.500E-002  1.687E-013  2.135E-017  6.724E-019  5.396E-014
   1.622E+014  2.192E-006  1.970E-013  3.970E-015  1.664E-015  1.672E-012  8.500E-002  1.935E-013  2.452E-017  1.202E-018  6.760E-014
   1.738E+014  2.853E-006  2.253E-013  4.644E-015  1.910E-015  1.916E-012  8.500E-002  2.220E-013  2.815E-017  2.099E-018  8.611E-014
   1.862E+014  3.650E-006  2.576E-013  5.434E-015  2.193E-015  2.195E-012  8.500E-002  2.547E-013  3.232E-017  3.592E-018  1.124E-013
   1.995E+014  4.602E-006  2.946E-013  6.356E-015  2.518E-015  2.515E-012  8.500E-002  2.922E-013  3.711E-017  6.037E-018  1.515E-013
   2.138E+014  5.734E-006  3.368E-013  7.428E-015  2.891E-015  2.881E-012  8.500E-002  3.353E-013  4.260E-017  9.978E-018  2.133E-013
   2.291E+014  7.071E-006  3.850E-013  8.665E-015  3.320E-015  3.300E-012  8.500E-002  3.846E-013  4.892E-017  1.623E-017  3.150E-013
   2.455E+014  8.640E-006  4.401E-013  1.008E-014  3.812E-015  3.780E-012  8.500E-002  4.412E-013  5.616E-017  2.597E-017  4.890E-013
   2.630E+014  1.047E-005  5.030E-013  1.170E-014  4.376E-015  4.329E-012  8.500E-002  5.062E-013  6.448E-017  4.091E-017  7.931E-013
   2.818E+014  1.260E-005  5.748E-013  1.352E-014  5.025E-015  4.957E-012  8.500E-002  5.807E-013  7.404E-017  6.342E-017  1.331E-012
   3.020E+014  1.507E-005  6.569E-013  1.556E-014  5.769E-015  5.677E-012  8.500E-002  6.662E-013  8.500E-017  9.676E-017  2.285E-012
   3.236E+014  1.790E-005  7.505E-013  1.785E-014  6.624E-015  6.500E-012  8.500E-002  7.642E-013  9.760E-017  1.453E-016  3.971E-012
   3.467E+014  2.115E-005  8.573E-013  2.038E-014  7.605E-015  7.441E-012  8.500E-002  8.768E-013  1.121E-016  2.148E-016  6.925E-012
   3.715E+014  2.486E-005  9.793E-013  2.320E-014  8.732E-015  8.516E-012  8.500E-002  1.006E-012  1.287E-016  3.129E-016  1.205E-011
   3.981E+014  2.907E-005  1.118E-012  2.632E-014  1.003E-014  9.746E-012  8.500E-002  1.154E-012  1.477E-016  4.490E-016  2.083E-011
   4.266E+014  3.385E-005  1.277E-012  2.979E-014  1.151E-014  1.115E-011  8.500E-002  1.324E-012  1.696E-016  6.356E-016  3.569E-011
   4.571E+014  3.924E-005  1.458E-012  3.366E-014  1.322E-014  1.275E-011  8.500E-002  1.519E-012  1.947E-016  8.881E-016  6.052E-011
   4.898E+014  4.530E-005  1.664E-012  3.797E-014  1.517E-014  1.458E-011  8.500E-002  1.742E-012  2.236E-016  1.226E-015  1.015E-010
   5.248E+014  5.210E-005  1.900E-012  4.280E-014  1.742E-014  1.667E-011  8.500E-002  1.999E-012  2.567E-016  1.672E-015  1.684E-010
   5.623E+014  5.971E-005  2.168E-012  4.826E-014  2.000E-014  1.904E-011  8.500E-002  2.293E-012  2.947E-016  2.258E-015  2.763E-010
   6.026E+014  6.819E-005  2.474E-012  5.439E-014  2.297E-014  2.174E-011  8.500E-002  2.631E-012  3.384E-016  3.017E-015  4.483E-010
   6.457E+014  7.762E-005  2.823E-012  6.125E-014  2.637E-014  2.481E-011  8.500E-002  3.019E-012  3.885E-016  3.989E-015  7.197E-010
   6.918E+014  8.808E-005  3.222E-012  6.887E-014  3.028E-014  2.829E-011  8.500E-002  3.464E-012  4.461E-016  5.216E-015  1.143E-009
   7.413E+014  9.965E-005  3.677E-012  7.727E-014  3.476E-014  3.223E-011  8.500E-002  3.975E-012  5.122E-016  6.747E-015  1.798E-009
   7.943E+014  1.124E-004  4.198E-012  8.643E-014  3.991E-014  3.669E-011  8.500E-002  4.562E-012  5.880E-016  8.629E-015  2.799E-009
   8.511E+014  1.265E-004  4.793E-012  9.632E-014  4.582E-014  4.174E-011  8.500E-002  5.236E-012  6.751E-016  1.091E-014  4.313E-009
   9.120E+014  1.420E-004  5.476E-012  1.069E-013  5.261E-014  4.743E-011  8.500E-002  6.009E-012  7.751E-016  1.364E-014  6.581E-009
   9.772E+014  1.590E-004  6.259E-012  1.179E-013  6.040E-014  5.385E-011  8.500E-002  6.898E-012  8.900E-016  1.685E-014  9.944E-009
   1.047E+015  1.775E-004  7.160E-012  1.295E-013  6.935E-014  6.107E-011  8.500E-002  7.918E-012  1.022E-015  2.059E-014  1.488E-008
   1.122E+015  1.978E-004  8.198E-012  1.413E-013  7.962E-014  6.918E-011  8.500E-002  9.091E-012  1.173E-015  2.489E-014  2.206E-008
   1.202E+015  2.200E-004  9.400E-012  1.533E-013  9.142E-014  7.829E-011  8.500E-002  1.044E-011  1.347E-015  2.978E-014  3.239E-008
   1.288E+015  2.441E-004  1.080E-011  1.655E-013  1.050E-013  8.849E-011  8.500E-002  1.199E-011  1.546E-015  3.531E-014  4.713E-008
   1.380E+015  2.702E-004  1.242E-011  1.777E-013  1.205E-013  9.991E-011  8.500E-002  1.377E-011  1.775E-015  4.150E-014  6.799E-008
   1.479E+015  2.986E-004  1.434E-011  1.898E-013  1.384E-013  1.127E-010  8.500E-002  1.582E-011  2.038E-015  4.840E-014  9.725E-008
   1.585E+015  3.292E-004  1.659E-011  2.018E-013  1.589E-013  1.269E-010  8.500E-002  1.817E-011  2.340E-015  5.608E-014  1.380E-007
   1.698E+015  3.623E-004  1.928E-011  2.137E-013  1.824E-013  1.427E-010  8.500E-002  2.088E-011  2.687E-015  6.460E-014  1.944E-007
   1.820E+015  3.978E-004  2.252E-011  2.255E-013  2.094E-013  1.602E-010  8.500E-002  2.400E-011  3.085E-015  7.406E-014  2.719E-007
   1.950E+015  4.359E-004  2.644E-011  2.373E-013  2.404E-013  1.796E-010  8.500E-002  2.759E-011  3.542E-015  8.455E-014  3.778E-007
   2.089E+015  4.765E-004  3.127E-011  2.490E-013  2.760E-013  2.009E-010  8.500E-002  3.174E-011  4.066E-015  9.623E-014  5.219E-007
   2.239E+015  5.197E-004  3.729E-011  2.607E-013  3.169E-013  2.243E-010  8.500E-002  3.652E-011  4.668E-015  1.092E-013  7.172E-007
   2.399E+015  5.654E-004  4.489E-011  2.726E-013  3.638E-013  2.498E-010  8.500E-002  4.203E-011  5.360E-015  1.238E-013  9.809E-007
   2.570E+015  6.135E-004  5.464E-011  2.848E-013  4.177E-013  2.774E-010  8.500E-002  4.841E-011  6.153E-015  1.400E-013  1.336E-006
   2.754E+015  6.638E-004  6.734E-011  2.974E-013  4.796E-013  3.070E-010  8.500E-002  5.578E-011  7.064E-015  1.583E-013  1.811E-006
   2.951E+015  7.161E-004  8.411E-011  3.106E-013  5.506E-013  3.384E-010  8.500E-002  6.433E-011  8.110E-015  1.786E-013  2.445E-006
   3.162E+015  7.700E-004  1.065E-010  3.247E-013  6.321E-013  3.712E-010  8.500E-002  7.423E-011  9.311E-015  2.013E-013  3.287E-006
   3.388E+015  8.252E-004  1.367E-010  3.398E-013  7.257E-013  4.048E-010  8.500E-002  8.571E-011  1.069E-014  2.263E-013  4.398E-006
   3.631E+015  8.813E-004  1.776E-010  3.562E-013  8.332E-013  4.384E-010  8.500E-002  9.905E-011  1.227E-014  2.537E-013  5.850E-006
