  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.500E-002  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.072E+014  1.874E-010  9.019E-016  1.609E-017  7.263E-018  7.472E-015  8.500E-002  8.532E-016  1.070E-019  1.975E-026  1.402E-016
   1.148E+014  3.505E-010  1.032E-015  1.854E-017  8.339E-018  8.564E-015  8.500E-002  9.790E-016  1.229E-019  5.221E-026  1.695E-016
   1.230E+014  5.000E-010  1.181E-015  2.137E-017  9.575E-018  9.817E-015  8.500E-002  1.123E-015  1.411E-019  1.030E-025  2.052E-016
   1.318E+014  6.432E-010  1.352E-015  2.462E-017  1.099E-017  1.125E-014  8.500E-002  1.289E-015  1.620E-019  1.804E-025  2.487E-016
   1.413E+014  7.852E-010  1.547E-015  2.838E-017  1.262E-017  1.290E-014  8.500E-002  1.479E-015  1.860E-019  2.958E-025  3.016E-016
   1.514E+014  9.299E-010  1.770E-015  3.271E-017  1.449E-017  1.478E-014  8.500E-002  1.697E-015  2.135E-019  4.656E-025  3.662E-016
   1.622E+014  1.080E-009  2.025E-015  3.770E-017  1.664E-017  1.694E-014  8.500E-002  1.947E-015  2.452E-019  7.136E-025  4.452E-016
   1.738E+014  1.238E-009  2.317E-015  4.346E-017  1.910E-017  1.942E-014  8.500E-002  2.234E-015  2.815E-019  1.073E-024  5.417E-016
   1.862E+014  1.406E-009  2.652E-015  5.009E-017  2.193E-017  2.226E-014  8.500E-002  2.563E-015  3.232E-019  1.591E-024  6.599E-016
   1.995E+014  1.585E-009  3.034E-015  5.774E-017  2.518E-017  2.551E-014  8.500E-002  2.941E-015  3.711E-019  2.336E-024  8.047E-016
   2.138E+014  1.777E-009  3.471E-015  6.656E-017  2.891E-017  2.924E-014  8.500E-002  3.374E-015  4.260E-019  3.405E-024  9.825E-016
