  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.500E-002  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.072E+014  1.994E-010  1.204E-015  2.381E-017  1.017E-017  1.021E-014  8.500E-002  1.183E-015  1.498E-019  2.330E-025  4.492E-016
   1.148E+014  3.783E-010  1.376E-015  2.749E-017  1.167E-017  1.169E-014  8.500E-002  1.357E-015  1.720E-019  6.622E-025  5.641E-016
   1.230E+014  5.447E-010  1.572E-015  3.174E-017  1.340E-017  1.339E-014  8.500E-002  1.557E-015  1.975E-019  1.396E-024  7.097E-016
   1.318E+014  7.045E-010  1.797E-015  3.665E-017  1.539E-017  1.534E-014  8.500E-002  1.786E-015  2.268E-019  2.596E-024  8.947E-016
   1.413E+014  8.621E-010  2.053E-015  4.233E-017  1.767E-017  1.757E-014  8.500E-002  2.048E-015  2.604E-019  4.486E-024  1.130E-015
   1.514E+014  1.020E-009  2.346E-015  4.888E-017  2.029E-017  2.012E-014  8.500E-002  2.349E-015  2.989E-019  7.372E-024  1.429E-015
   1.622E+014  1.180E-009  2.680E-015  5.645E-017  2.329E-017  2.304E-014  8.500E-002  2.694E-015  3.432E-019  1.165E-023  1.811E-015
   1.738E+014  1.344E-009  3.062E-015  6.519E-017  2.675E-017  2.639E-014  8.500E-002  3.090E-015  3.941E-019  1.781E-023  2.299E-015
   1.862E+014  1.512E-009  3.499E-015  7.529E-017  3.071E-017  3.022E-014  8.500E-002  3.545E-015  4.525E-019  2.641E-023  2.921E-015
   1.995E+014  1.685E-009  3.997E-015  8.696E-017  3.526E-017  3.460E-014  8.500E-002  4.065E-015  5.195E-019  3.805E-023  3.717E-015
   2.138E+014  1.863E-009  4.567E-015  1.004E-016  4.048E-017  3.963E-014  8.500E-002  4.663E-015  5.965E-019  5.331E-023  4.734E-015
   2.291E+014  2.049E-009  5.217E-015  1.160E-016  4.648E-017  4.538E-014  8.500E-002  5.347E-015  6.848E-019  7.272E-023  6.033E-015
   2.455E+014  2.242E-009  5.960E-015  1.340E-016  5.336E-017  5.196E-014  8.500E-002  6.133E-015  7.863E-019  9.675E-023  7.691E-015
   2.630E+014  2.445E-009  6.809E-015  1.549E-016  6.127E-017  5.950E-014  8.500E-002  7.033E-015  9.028E-019  1.258E-022  9.804E-015
   2.818E+014  2.661E-009  7.778E-015  1.789E-016  7.035E-017  6.812E-014  8.500E-002  8.066E-015  1.037E-018  1.605E-022  1.249E-014
   3.020E+014  2.891E-009  8.885E-015  2.067E-016  8.077E-017  7.800E-014  8.500E-002  9.251E-015  1.190E-018  2.013E-022  1.590E-014
   3.236E+014  3.138E-009  1.015E-014  2.388E-016  9.274E-017  8.931E-014  8.500E-002  1.061E-014  1.366E-018  2.491E-022  2.020E-014
   3.467E+014  3.404E-009  1.159E-014  2.760E-016  1.065E-016  1.022E-013  8.500E-002  1.217E-014  1.569E-018  3.049E-022  2.562E-014
   3.715E+014  3.692E-009  1.324E-014  3.189E-016  1.222E-016  1.171E-013  8.500E-002  1.395E-014  1.801E-018  3.701E-022  3.239E-014
   3.981E+014  4.003E-009  1.512E-014  3.685E-016  1.404E-016  1.340E-013  8.500E-002  1.600E-014  2.068E-018  4.464E-022  4.080E-014
   4.266E+014  4.340E-009  1.727E-014  4.259E-016  1.612E-016  1.534E-013  8.500E-002  1.835E-014  2.375E-018  5.359E-022  5.119E-014
   4.571E+014  4.703E-009  1.973E-014  4.922E-016  1.850E-016  1.757E-013  8.500E-002  2.104E-014  2.726E-018  6.411E-022  6.391E-014
   4.898E+014  5.097E-009  2.253E-014  5.689E-016  2.124E-016  2.011E-013  8.500E-002  2.412E-014  3.130E-018  7.651E-022  7.932E-014
   5.248E+014  5.521E-009  2.573E-014  6.575E-016  2.439E-016  2.302E-013  8.500E-002  2.766E-014  3.594E-018  9.115E-022  9.791E-014
   5.623E+014  5.978E-009  2.939E-014  7.600E-016  2.801E-016  2.635E-013  8.500E-002  3.172E-014  4.126E-018  1.084E-021  1.200E-013
   6.026E+014  6.471E-009  3.356E-014  8.784E-016  3.215E-016  3.016E-013  8.500E-002  3.637E-014  4.738E-018  1.289E-021  1.462E-013
   6.457E+014  7.000E-009  3.832E-014  1.015E-015  3.692E-016  3.452E-013  8.500E-002  4.170E-014  5.440E-018  1.531E-021  1.768E-013
   6.918E+014  7.569E-009  4.376E-014  1.174E-015  4.239E-016  3.952E-013  8.500E-002  4.782E-014  6.246E-018  1.817E-021  2.123E-013
   7.413E+014  8.178E-009  4.997E-014  1.357E-015  4.867E-016  4.523E-013  8.500E-002  5.483E-014  7.171E-018  2.156E-021  2.532E-013
   7.943E+014  8.830E-009  5.705E-014  1.569E-015  5.588E-016  5.177E-013  8.500E-002  6.286E-014  8.233E-018  2.556E-021  3.002E-013
   8.511E+014  9.528E-009  6.514E-014  1.813E-015  6.416E-016  5.925E-013  8.500E-002  7.207E-014  9.453E-018  3.030E-021  3.536E-013
   9.120E+014  1.027E-008  7.438E-014  2.096E-015  7.366E-016  6.781E-013  8.500E-002  8.263E-014  1.085E-017  3.591E-021  4.143E-013
   9.772E+014  1.107E-008  8.492E-014  2.423E-015  8.457E-016  7.761E-013  8.500E-002  9.473E-014  1.246E-017  4.254E-021  4.830E-013
   1.047E+015  1.191E-008  9.695E-014  2.802E-015  9.710E-016  8.882E-013  8.500E-002  1.086E-013  1.431E-017  5.037E-021  5.606E-013
   1.122E+015  1.281E-008  1.107E-013  3.239E-015  1.115E-015  1.016E-012  8.500E-002  1.245E-013  1.643E-017  5.962E-021  6.482E-013
   1.202E+015  1.377E-008  1.263E-013  3.744E-015  1.280E-015  1.163E-012  8.500E-002  1.427E-013  1.886E-017  7.055E-021  7.469E-013
   1.288E+015  1.479E-008  1.442E-013  4.329E-015  1.470E-015  1.331E-012  8.500E-002  1.636E-013  2.166E-017  8.347E-021  8.583E-013
   1.380E+015  1.588E-008  1.646E-013  5.004E-015  1.687E-015  1.523E-012  8.500E-002  1.876E-013  2.486E-017  9.873E-021  9.839E-013
   1.479E+015  1.706E-008  1.879E-013  5.785E-015  1.937E-015  1.743E-012  8.500E-002  2.150E-013  2.855E-017  1.168E-020  1.126E-012
   1.585E+015  1.836E-008  2.145E-013  6.687E-015  2.225E-015  1.994E-012  8.500E-002  2.465E-013  3.278E-017  1.384E-020  1.286E-012
   1.698E+015  1.981E-008  2.448E-013  7.728E-015  2.554E-015  2.281E-012  8.500E-002  2.826E-013  3.763E-017  1.642E-020  1.467E-012
   1.820E+015  2.151E-008  2.794E-013  8.932E-015  2.932E-015  2.610E-012  8.500E-002  3.239E-013  4.321E-017  1.957E-020  1.671E-012
   1.950E+015  2.361E-008  3.189E-013  1.032E-014  3.367E-015  2.986E-012  8.500E-002  3.713E-013  4.961E-017  2.349E-020  1.903E-012
   2.089E+015  2.636E-008  3.640E-013  1.192E-014  3.866E-015  3.417E-012  8.500E-002  4.256E-013  5.696E-017  2.854E-020  2.165E-012
   2.239E+015  3.022E-008  4.154E-013  1.376E-014  4.438E-015  3.909E-012  8.500E-002  4.878E-013  6.540E-017  3.535E-020  2.461E-012
   2.399E+015  3.592E-008  4.740E-013  1.588E-014  5.096E-015  4.471E-012  8.500E-002  5.591E-013  7.509E-017  4.502E-020  2.797E-012
   2.570E+015  4.463E-008  5.409E-013  1.831E-014  5.851E-015  5.115E-012  8.500E-002  6.407E-013  8.621E-017  5.954E-020  3.178E-012
   2.754E+015  5.814E-008  6.172E-013  2.109E-014  6.718E-015  5.851E-012  8.500E-002  7.344E-013  9.898E-017  8.253E-020  3.609E-012
   2.951E+015  7.920E-008  7.042E-013  2.424E-014  7.713E-015  6.693E-012  8.500E-002  8.416E-013  1.136E-016  1.207E-019  4.099E-012
   3.162E+015  1.118E-007  8.035E-013  2.778E-014  8.856E-015  7.655E-012  8.500E-002  9.645E-013  1.305E-016  1.867E-019  4.654E-012
   3.388E+015  1.617E-007  9.168E-013  3.173E-014  1.017E-014  8.755E-012  8.500E-002  1.105E-012  1.498E-016  3.046E-019  5.285E-012
   3.631E+015  2.368E-007  1.046E-012  3.607E-014  1.167E-014  1.001E-011  8.500E-002  1.267E-012  1.720E-016  5.199E-019  6.003E-012
   3.890E+015  3.484E-007  1.194E-012  4.073E-014  1.340E-014  1.145E-011  8.500E-002  1.452E-012  1.975E-016  9.179E-019  6.825E-012
   4.169E+015  5.111E-007  1.362E-012  4.561E-014  1.539E-014  1.310E-011  8.500E-002  1.663E-012  2.268E-016  1.653E-018  7.776E-012
   4.467E+015  7.446E-007  1.555E-012  5.054E-014  1.767E-014  1.497E-011  8.500E-002  1.906E-012  2.603E-016  2.992E-018  8.893E-012
   4.786E+015  1.074E-006  1.775E-012  5.529E-014  2.029E-014  1.712E-011  8.500E-002  2.184E-012  2.989E-016  5.380E-018  1.025E-011
   5.129E+015  1.533E-006  2.027E-012  5.960E-014  2.329E-014  1.958E-011  8.500E-002  2.503E-012  3.432E-016  9.526E-018  1.196E-011
   5.495E+015  2.162E-006  2.316E-012  6.318E-014  2.674E-014  2.238E-011  8.500E-002  2.868E-012  3.941E-016  1.652E-017  1.428E-011
   5.888E+015  3.011E-006  2.649E-012  6.578E-014  3.071E-014  2.559E-011  8.500E-002  3.287E-012  4.524E-016  2.800E-017  1.766E-011
   6.310E+015  4.142E-006  3.033E-012  6.725E-014  3.525E-014  2.927E-011  8.500E-002  3.766E-012  5.195E-016  4.641E-017  2.297E-011
   6.761E+015  5.627E-006  3.477E-012  6.755E-014  4.048E-014  3.347E-011  8.500E-002  4.316E-012  5.964E-016  7.543E-017  3.183E-011
   7.244E+015  7.555E-006  3.995E-012  6.676E-014  4.647E-014  3.828E-011  8.500E-002  4.947E-012  6.848E-016  1.206E-016  4.736E-011
   7.762E+015  1.002E-005  4.600E-012  6.507E-014  5.336E-014  4.378E-011  8.500E-002  5.671E-012  7.862E-016  1.906E-016  7.540E-011
   8.318E+015  1.314E-005  5.312E-012  6.274E-014  6.127E-014  5.009E-011  8.500E-002  6.502E-012  9.027E-016  2.995E-016  1.270E-010
   8.913E+015  1.703E-005  6.157E-012  6.003E-014  7.034E-014  5.732E-011  8.500E-002  7.457E-012  1.036E-015  4.702E-016  2.233E-010
   9.550E+015  2.183E-005  7.166E-012  5.719E-014  8.076E-014  6.561E-011  8.500E-002  8.555E-012  1.190E-015  7.418E-016  4.048E-010
   1.023E+016  2.765E-005  8.384E-012  5.445E-014  9.273E-014  7.509E-011  8.500E-002  9.820E-012  1.366E-015  1.181E-015  7.494E-010
   1.096E+016  3.460E-005  9.864E-012  5.199E-014  1.065E-013  8.593E-011  8.500E-002  1.128E-011  1.569E-015  1.899E-015  1.408E-009
   1.175E+016  4.278E-005  1.168E-011  4.998E-014  1.222E-013  9.827E-011  8.500E-002  1.296E-011  1.801E-015  3.080E-015  2.675E-009
   1.259E+016  5.223E-005  1.392E-011  4.852E-014  1.403E-013  1.123E-010  8.500E-002  1.492E-011  2.068E-015  5.005E-015  5.115E-009
   1.349E+016  6.294E-005  1.672E-011  4.768E-014  1.611E-013  1.280E-010  8.500E-002  1.718E-011  2.374E-015  8.083E-015  9.816E-009
   1.445E+016  7.483E-005  2.021E-011  4.747E-014  1.850E-013  1.455E-010  8.500E-002  1.981E-011  2.726E-015  1.288E-014  1.883E-008
   1.549E+016  8.773E-005  2.458E-011  4.785E-014  2.124E-013  1.648E-010  8.500E-002  2.288E-011  3.130E-015  2.012E-014  3.595E-008
   1.660E+016  1.014E-004  3.006E-011  4.876E-014  2.439E-013  1.857E-010  8.500E-002  2.645E-011  3.593E-015  3.072E-014  6.803E-008
   1.778E+016  1.157E-004  3.691E-011  5.016E-014  2.800E-013  2.079E-010  8.500E-002  3.061E-011  4.125E-015  4.577E-014  1.269E-007
   1.905E+016  1.302E-004  4.542E-011  5.204E-014  3.215E-013  2.304E-010  8.500E-002  3.548E-011  4.736E-015  6.648E-014  2.325E-007
   2.042E+016  1.448E-004  5.596E-011  5.442E-014  3.691E-013  2.523E-010  8.500E-002  4.116E-011  5.438E-015  9.405E-014  4.158E-007
   2.188E+016  1.593E-004  6.895E-011  5.738E-014  4.238E-013  2.720E-010  8.500E-002  4.780E-011  6.243E-015  1.294E-013  7.230E-007
   2.344E+016  1.738E-004  8.495E-011  6.098E-014  4.866E-013  2.879E-010  8.500E-002  5.559E-011  7.167E-015  1.729E-013  1.218E-006
   2.512E+016  1.885E-004  1.047E-010  6.525E-014  5.586E-013  2.987E-010  8.500E-002  6.472E-011  8.228E-015  2.238E-013  1.985E-006
   2.692E+016  2.035E-004  1.292E-010  7.014E-014  6.413E-013  3.039E-010  8.500E-002  7.543E-011  9.446E-015  2.801E-013  3.123E-006
   2.884E+016  2.190E-004  1.598E-010  7.549E-014  7.363E-013  3.040E-010  8.500E-002  8.799E-011  1.084E-014  3.385E-013  4.749E-006
   3.090E+016  2.352E-004  1.986E-010  8.105E-014  8.453E-013  3.004E-010  8.500E-002  1.027E-010  1.245E-014  3.950E-013  6.987E-006
   3.311E+016  2.520E-004  2.480E-010  8.649E-014  9.704E-013  2.949E-010  8.500E-002  1.197E-010  1.429E-014  4.452E-013  9.955E-006
   3.548E+016  2.691E-004  3.111E-010  9.147E-014  1.114E-012  2.889E-010  8.500E-002  1.396E-010  1.640E-014  4.851E-013  1.375E-005
   3.802E+016  2.862E-004  3.917E-010  9.566E-014  1.279E-012  2.837E-010  8.500E-002  1.626E-010  1.883E-014  5.118E-013  1.844E-005
   4.074E+016  3.028E-004  4.937E-010  9.881E-014  1.468E-012  2.798E-010  8.500E-002  1.892E-010  2.161E-014  5.231E-013  2.402E-005
   4.365E+016  3.183E-004  6.210E-010  1.007E-013  1.685E-012  2.777E-010  8.500E-002  2.201E-010  2.480E-014  5.184E-013  3.042E-005
   4.677E+016  3.322E-004  7.766E-010  1.011E-013  1.934E-012  2.779E-010  8.500E-002  2.557E-010  2.846E-014  4.983E-013  3.753E-005
   5.012E+016  3.442E-004  9.627E-010  1.001E-013  2.221E-012  2.806E-010  8.500E-002  2.970E-010  3.266E-014  4.648E-013  4.516E-005
   5.370E+016  3.541E-004  1.179E-009  9.760E-014  2.549E-012  2.862E-010  8.500E-002  3.446E-010  3.748E-014  4.212E-013  5.310E-005
   5.754E+016  3.619E-004  1.426E-009  9.388E-014  2.926E-012  2.949E-010  8.500E-002  3.996E-010  4.302E-014  3.717E-013  6.112E-005
   6.166E+016  3.679E-004  1.700E-009  8.920E-014  3.359E-012  3.068E-010  8.500E-002  4.631E-010  4.937E-014  3.205E-013  6.906E-005
   6.607E+016  3.723E-004  2.002E-009  8.387E-014  3.855E-012  3.222E-010  8.500E-002  5.365E-010  5.665E-014  2.714E-013  7.680E-005
   7.079E+016  3.754E-004  2.332E-009  7.824E-014  4.425E-012  3.408E-010  8.500E-002  6.216E-010  6.501E-014  2.273E-013  8.432E-005
   7.586E+016  3.777E-004  2.693E-009  7.257E-014  5.080E-012  3.627E-010  8.500E-002  7.204E-010  7.461E-014  1.897E-013  9.167E-005
   8.128E+016  3.795E-004  3.091E-009  6.711E-014  5.831E-012  3.874E-010  8.500E-002  8.354E-010  8.562E-014  1.593E-013  9.901E-005
   8.710E+016  3.809E-004  3.530E-009  6.199E-014  6.693E-012  4.148E-010  8.500E-002  9.698E-010  9.825E-014  1.357E-013  1.065E-004
   9.333E+016  3.820E-004  4.019E-009  5.730E-014  7.682E-012  4.442E-010  8.500E-002  1.127E-009  1.127E-013  1.181E-013  1.144E-004
   1.000E+017  3.831E-004  4.563E-009  5.308E-014  8.817E-012  4.751E-010  8.500E-002  1.313E-009  1.294E-013  1.053E-013  1.229E-004
   1.072E+017  3.841E-004  5.168E-009  4.933E-014  1.012E-011  5.069E-010  8.500E-002  1.532E-009  1.484E-013  9.650E-014  1.323E-004
   1.148E+017  3.851E-004  5.839E-009  4.602E-014  1.161E-011  5.390E-010  8.500E-002  1.792E-009  1.703E-013  9.070E-014  1.429E-004
   1.230E+017  3.861E-004  6.582E-009  4.312E-014  1.333E-011  5.705E-010  8.500E-002  2.103E-009  1.953E-013  8.719E-014  1.550E-004
   1.318E+017  3.871E-004  7.403E-009  4.058E-014  1.529E-011  6.010E-010  8.500E-002  2.477E-009  2.240E-013  8.541E-014  1.688E-004
   1.413E+017  3.881E-004  8.306E-009  3.838E-014  1.755E-011  6.296E-010  8.500E-002  2.931E-009  2.569E-013  8.495E-014  1.849E-004
   1.514E+017  3.891E-004  9.300E-009  3.646E-014  2.013E-011  6.559E-010  8.500E-002  3.489E-009  2.945E-013  8.552E-014  2.035E-004
   1.622E+017  3.901E-004  1.039E-008  3.479E-014  2.309E-011  6.794E-010  8.500E-002  4.181E-009  3.376E-013  8.690E-014  2.251E-004
   1.738E+017  3.912E-004  1.159E-008  3.333E-014  2.649E-011  6.997E-010  8.500E-002  5.054E-009  3.868E-013  8.899E-014  2.502E-004
   1.862E+017  3.922E-004  1.292E-008  3.206E-014  3.038E-011  7.167E-010  8.500E-002  6.171E-009  4.431E-013  9.170E-014  2.795E-004
   1.995E+017  3.933E-004  1.437E-008  3.095E-014  3.483E-011  7.302E-010  8.500E-002  7.630E-009  5.074E-013  9.495E-014  3.135E-004
   2.138E+017  3.945E-004  1.598E-008  2.997E-014  3.993E-011  7.404E-010  8.500E-002  9.579E-009  5.808E-013  9.836E-014  3.529E-004
