  **  PHYSICAL PARAMETERS  **


   RADIUS      n(Htot)     TEMP        A_UV EFF    RAD. EFF    C K(PH)     C K(IP)     C K(AP)     CO K(PH)    CO K(IP)    CO K(AP)    DELTA_AUV   
   1.202E+015  3.465E+007  5.961E+002  1.036E+002  1.280E-047  2.157E-064  0.000E+000  0.000E+000  3.570E-053  0.000E+000  0.000E+000  3.010E+003
   1.288E+015  3.018E+007  5.818E+002  9.669E+001  1.343E-044  1.225E-060  0.000E+000  0.000E+000  9.281E-051  0.000E+000  0.000E+000  3.017E+003
   1.380E+015  2.629E+007  5.679E+002  9.024E+001  8.927E-042  3.731E-056  0.000E+000  0.000E+000  7.678E-048  0.000E+000  0.000E+000  3.024E+003
   1.479E+015  2.290E+007  5.544E+002  8.421E+001  3.882E-039  1.984E-053  0.000E+000  0.000E+000  4.764E-046  0.000E+000  0.000E+000  3.030E+003
   1.585E+015  1.994E+007  5.411E+002  7.859E+001  1.136E-036  5.152E-051  0.000E+000  0.000E+000  1.900E-044  0.000E+000  0.000E+000  3.035E+003
   1.698E+015  1.737E+007  5.282E+002  7.335E+001  2.300E-034  7.340E-049  0.000E+000  0.000E+000  5.217E-043  0.000E+000  0.000E+000  3.041E+003
   1.820E+015  1.513E+007  5.156E+002  6.845E+001  3.299E-032  2.120E-046  0.000E+000  0.000E+000  2.368E-041  0.000E+000  0.000E+000  3.046E+003
   1.950E+015  1.318E+007  5.033E+002  6.388E+001  3.430E-030  1.177E-043  0.000E+000  0.000E+000  1.740E-039  0.000E+000  0.000E+000  3.050E+003
   2.089E+015  1.148E+007  4.912E+002  5.962E+001  2.640E-028  6.008E-042  0.000E+000  0.000E+000  2.584E-038  0.000E+000  0.000E+000  3.054E+003
   2.239E+015  9.995E+006  4.795E+002  5.564E+001  1.533E-026  1.073E-039  0.000E+000  0.000E+000  9.341E-037  0.000E+000  0.000E+000  3.058E+003
   2.399E+015  8.705E+006  4.681E+002  5.192E+001  6.845E-025  9.490E-038  0.000E+000  0.000E+000  2.142E-035  0.000E+000  0.000E+000  3.062E+003
   2.570E+015  7.582E+006  4.569E+002  4.846E+001  2.387E-023  4.096E-036  0.000E+000  0.000E+000  3.048E-034  0.000E+000  0.000E+000  3.066E+003
   2.754E+015  6.603E+006  4.460E+002  4.522E+001  6.608E-022  2.044E-034  0.000E+000  0.000E+000  4.931E-033  0.000E+000  0.000E+000  3.069E+003
   2.951E+015  5.751E+006  4.353E+002  4.221E+001  1.473E-020  5.798E-033  0.000E+000  0.000E+000  5.458E-032  0.000E+000  0.000E+000  3.072E+003
   3.162E+015  5.009E+006  4.249E+002  3.939E+001  2.681E-019  4.600E-031  0.000E+000  0.000E+000  1.311E-030  0.000E+000  0.000E+000  3.075E+003
   3.388E+015  4.363E+006  4.148E+002  3.676E+001  4.036E-018  5.714E-030  0.000E+000  0.000E+000  8.350E-030  0.000E+000  0.000E+000  3.077E+003
   3.631E+015  3.800E+006  4.049E+002  3.431E+001  5.086E-017  1.010E-028  0.000E+000  0.000E+000  7.030E-029  0.000E+000  0.000E+000  3.080E+003
   3.890E+015  3.310E+006  3.952E+002  3.202E+001  5.428E-016  1.978E-027  0.000E+000  0.000E+000  6.546E-028  0.000E+000  0.000E+000  3.082E+003
   4.169E+015  2.882E+006  3.857E+002  2.988E+001  4.958E-015  1.698E-026  0.000E+000  0.000E+000  3.341E-027  0.000E+000  0.000E+000  3.084E+003
   4.467E+015  2.511E+006  3.765E+002  2.789E+001  3.916E-014  2.100E-025  0.000E+000  0.000E+000  2.293E-026  0.000E+000  0.000E+000  3.086E+003
   4.786E+015  2.187E+006  3.675E+002  2.602E+001  2.700E-013  2.150E-024  0.000E+000  0.000E+000  1.391E-025  0.000E+000  0.000E+000  3.088E+003
   5.129E+015  1.904E+006  3.588E+002  2.429E+001  1.640E-012  1.258E-023  0.000E+000  0.000E+000  5.551E-025  0.000E+000  0.000E+000  3.090E+003
   5.495E+015  1.659E+006  3.502E+002  2.267E+001  8.848E-012  1.032E-022  0.000E+000  0.000E+000  2.937E-024  0.000E+000  0.000E+000  3.091E+003
   5.888E+015  1.445E+006  3.418E+002  2.115E+001  4.275E-011  1.144E-021  0.000E+000  0.000E+000  2.027E-023  0.000E+000  0.000E+000  3.093E+003
   6.310E+015  1.258E+006  3.337E+002  1.974E+001  1.864E-010  2.692E-021  0.000E+000  0.000E+000  4.056E-023  0.000E+000  0.000E+000  3.094E+003
   6.761E+015  1.096E+006  3.257E+002  1.842E+001  7.382E-010  2.545E-020  0.000E+000  0.000E+000  2.560E-022  0.000E+000  0.000E+000  3.096E+003
   7.244E+015  9.545E+005  3.179E+002  1.719E+001  2.675E-009  9.145E-020  0.000E+000  0.000E+000  7.406E-022  0.000E+000  0.000E+000  3.097E+003
   7.762E+015  8.313E+005  3.103E+002  1.605E+001  8.921E-009  2.855E-019  0.000E+000  0.000E+000  1.924E-021  0.000E+000  0.000E+000  3.098E+003
   8.318E+015  7.240E+005  3.029E+002  1.498E+001  2.754E-008  1.269E-018  0.000E+000  0.000E+000  6.808E-021  0.000E+000  0.000E+000  3.099E+003
   8.913E+015  6.306E+005  2.957E+002  1.398E+001  7.915E-008  3.271E-018  0.000E+000  0.000E+000  1.532E-020  0.000E+000  0.000E+000  3.100E+003
   9.550E+015  5.492E+005  2.886E+002  1.304E+001  2.128E-007  1.139E-017  0.000E+000  0.000E+000  4.506E-020  0.000E+000  0.000E+000  3.101E+003
   1.023E+016  4.784E+005  2.817E+002  1.217E+001  5.374E-007  2.931E-017  0.000E+000  0.000E+000  1.029E-019  0.000E+000  0.000E+000  3.102E+003
   1.096E+016  4.166E+005  2.750E+002  1.136E+001  1.281E-006  8.269E-017  0.000E+000  0.000E+000  2.571E-019  0.000E+000  0.000E+000  3.103E+003
   1.175E+016  3.629E+005  2.684E+002  1.060E+001  2.893E-006  2.046E-016  0.000E+000  0.000E+000  5.768E-019  0.000E+000  0.000E+000  3.103E+003
   1.259E+016  3.161E+005  2.620E+002  9.894E+000  6.210E-006  4.322E-016  0.000E+000  0.000E+000  1.131E-018  0.000E+000  0.000E+000  3.104E+003
   1.349E+016  2.753E+005  2.557E+002  9.234E+000  1.272E-005  1.058E-015  0.000E+000  0.000E+000  2.553E-018  0.000E+000  0.000E+000  3.105E+003
   1.445E+016  2.398E+005  2.496E+002  8.617E+000  2.492E-005  2.426E-015  0.000E+000  0.000E+000  5.479E-018  0.000E+000  0.000E+000  3.105E+003
